,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-207.78401,-199.56169,-199.87779,-185.67863,-124.474556,-168.38397,176.43106,186.76366,207.70393,190.92715,126.852425,155.42052,237.56104,187.2904,76.211975,53.51874,0.21706581,215.75064,239.57974,163.28072,106.96283,52.562767,4.6851215,221.05478,663.99225,490.82864,198.09363,76.10599,65.9228,29.43945,805.6259,515.08966,369.40268,77.02297,52.795135,32.55065
1,-208.01073,-199.5363,-199.85844,-185.68207,-124.48226,-168.40958,176.20247,186.66258,207.57024,190.95984,126.82913,155.39229,236.71088,186.7193,76.03608,53.464615,0.17316979,215.75395,238.63016,162.66537,106.78932,52.503902,4.6993475,221.0924,664.10175,490.83823,198.03308,76.025246,65.83077,29.477352,805.74005,515.1176,369.342,76.980064,52.705246,32.538544
2,-208.23994,-199.53757,-199.856,-185.68784,-124.49241,-168.43358,175.9797,186.55649,207.45589,190.98038,126.80672,155.37383,235.8432,186.13269,75.84688,53.409397,0.13279068,215.75606,237.67328,162.02948,106.56249,52.445175,4.7086143,221.12134,664.2238,490.8687,197.98128,75.951294,65.74504,29.51228,805.8489,515.15454,369.30258,76.934845,52.61838,32.533043
3,-208.4773,-199.5862,-199.8824,-185.69832,-124.507866,-168.45457,175.76501,186.44252,207.37288,190.98207,126.78697,155.37335,234.9324,185.51059,75.63285,53.352047,0.09773809,215.75601,236.68445,161.34886,106.2393,52.386482,4.708754,221.13406,664.3703,490.93802,197.94469,75.8889,65.66998,29.542627,805.9518,515.2081,369.2988,76.885925,52.536762,32.539307
4,-208.7262,-199.69131,-199.94118,-185.71486,-124.530426,-168.47174,175.55795,186.3208,207.32251,190.96637,126.77284,155.3954,233.96014,184.83813,75.38836,53.292377,0.06791842,215.75311,235.63736,160.60947,105.80311,52.327995,4.6974745,221.12608,664.54785,491.05618,197.92575,75.83942,65.60687,29.56823,806.0528,515.2821,369.3328,76.83361,52.461174,32.559483
5,-208.98679,-199.84808,-200.02708,-185.73755,-124.560394,-168.48474,175.35545,186.19423,207.296,190.94229,126.76826,155.43922,232.91647,184.10594,75.113884,53.231056,0.041436315,215.74721,234.50575,159.80827,105.264496,52.26991,4.674514,221.0972,664.75684,491.22302,197.92203,75.80039,65.55325,29.589914,806.1601,515.376,369.39502,76.77934,52.39069,32.592186
6,-209.25609,-200.0397,-200.12865,-185.76535,-124.5965,-168.49344,175.15286,186.0671,207.27885,190.92307,126.77745,155.49792,231.79774,183.30862,74.81422,53.169277,0.015347242,215.73877,233.26465,158.94986,104.652565,52.212082,4.641245,221.05267,664.99194,491.4284,197.92673,75.76642,65.50346,29.608498,806.2846,515.4858,369.46902,76.7245,52.322754,32.632824
7,-209.52936,-200.2438,-200.23277,-185.79655,-124.636154,-168.49783,174.94547,185.9432,207.25685,190.92117,126.80376,155.5589,230.6027,182.44267,74.49569,53.108234,-0.013294041,215.72894,231.8913,158.04028,104.00075,52.153732,4.5999823,221.00304,665.2441,491.65564,197.93036,75.73077,65.45007,29.623823,806.4367,515.60596,369.53848,76.66928,52.253647,32.674812
8,-209.80302,-200.44171,-200.32973,-185.82945,-124.676216,-168.49797,174.73009,185.82407,207.22087,190.94414,126.8483,155.60625,229.32796,181.50537,74.163574,53.048634,-0.046507597,215.71916,230.3656,157.08038,103.332664,52.093426,4.5532594,220.96266,665.5034,491.88727,197.92355,75.687454,65.38604,29.63433,806.62335,515.7316,369.5934,76.61233,52.1792,32.71134
9,-210.07803,-200.62662,-200.41682,-185.86302,-124.71382,-168.49426,174.50655,185.70801,207.16884,190.99208,126.909,155.62463,227.96475,180.49492,73.82069,52.990498,-0.08489001,215.71072,228.66986,156.06123,102.652855,52.029396,4.503329,220.94641,665.76227,492.11102,197.89969,75.63286,65.3069,29.637478,806.8457,515.8598,369.63342,76.55131,52.095695,32.7373
