,0
0,358.14722
1,358.09515
2,358.04913
3,358.01224
4,357.98544
5,357.96735
6,357.9548
7,357.94394
8,357.93216
9,357.91953
10,357.90872
11,357.90472
12,357.9125
13,357.93542
14,357.97174
15,358.0152
16,358.0565
17,358.08658
18,358.10095
19,358.1033
20,358.1064
21,358.12857
22,358.18985
23,358.30646
24,358.48718
25,358.73285
26,359.03583
27,359.3812
28,359.75058
29,360.12833
30,360.50555
31,360.88336
32,361.26874
33,361.66855
34,362.08344
35,362.50504
36,362.91782
37,363.30444
38,363.64886
39,363.94092
40,364.1749
41,364.3486
42,364.461
43,364.5117
44,364.50067
45,364.42917
46,364.29803
47,364.1058
48,363.8451
49,363.50308
50,363.06522
51,362.52103
52,361.8701
53,361.12216
54,360.29355
55,359.39844
56,358.44205
57,357.41394
58,356.29193
59,355.04846
60,353.66162
61,352.12277
62,350.4372
63,348.62122
64,346.69476
65,344.67606
66,342.58096
67,340.42465
68,338.2252
69,336.00726
70,333.80182
71,331.64438
72,329.57086
73,327.61377
74,325.80014
75,324.15112
76,322.68164
77,321.3995
78,320.30347
79,319.3824
80,318.61533
81,317.9742
82,317.428
83,316.94812
84,316.5147
85,316.12122
86,315.77548
87,315.49734
88,315.31192
89,315.24362
90,315.31165
91,315.52774
92,315.89432
93,316.4003
94,317.01654
95,317.69617
96,318.3834
97,319.03015
98,319.6132
99,320.14038
100,320.645
101,358.6791
102,358.68198
103,358.6856
104,358.68893
105,358.68994
106,358.68527
107,358.66953
108,358.63745
109,358.58334
110,358.50443
111,358.40012
112,358.274
113,358.1328
114,357.9852
115,357.84045
116,357.7055
117,357.5849
118,357.47986
119,357.39026
120,357.31567
121,357.2571
122,357.2179
123,357.2033
124,357.21887
125,357.26825
126,357.35144
127,357.4646
128,357.5993
129,357.7455
130,357.8922
131,358.02942
132,358.14966
133,358.24805
134,358.32248
135,358.37378
136,358.40497
137,358.4204
138,358.42587
139,358.42603
140,358.4241
141,358.42062
142,358.41382
143,358.4009
144,358.3796
145,358.3499
146,358.31522
147,358.28174
148,358.2573
149,358.2501
150,358.26675
151,358.31073
152,358.38107
153,358.47342
154,358.57974
155,358.69086
156,358.7979
157,358.89468
158,358.9788
159,359.0515
160,359.1186
161,359.18704
162,359.26456
163,359.3568
164,359.4664
165,359.59213
166,359.7295
167,359.873
168,360.01724
169,360.15842
170,360.29468
171,360.4255
172,360.55112
173,360.67203
174,360.78854
175,360.90036
176,361.00763
177,361.11084
178,361.21136
179,361.3112
180,361.4124
181,361.51614
182,361.62125
183,361.72385
184,361.8185
185,361.90012
186,361.96576
187,362.01602
188,362.05426
189,362.08524
190,362.11267
191,362.13797
192,362.1597
193,362.1747
194,362.17966
195,362.1731
196,362.1569
197,362.1367
198,362.12057
199,362.11783
200,362.1379
201,362.19263
202,357.7506
203,357.771
204,357.79105
205,357.8114
206,357.8322
207,357.85474
208,357.87955
209,357.90646
210,357.9344
211,357.9609
212,357.983
213,357.99738
214,358.0016
215,357.99503
216,357.97955
217,357.9605
218,357.94537
219,357.9439
220,357.96616
221,358.02045
222,358.11246
223,358.24506
224,358.41815
225,358.6292
226,358.87448
227,359.14917
228,359.44766
229,359.7636
230,360.09076
231,360.4239
232,360.75958
233,361.09656
234,361.43475
235,361.77405
236,362.11108
237,362.4385
238,362.74478
239,363.0174
240,363.24594
241,363.42508
242,363.5562
243,363.6458
244,363.70322
245,363.7369
246,363.75125
247,363.74652
248,363.71768
249,363.65836
