,0
0,264.52603
1,264.5125
2,264.50317
3,264.4998
4,264.50226
5,264.5087
6,264.51718
7,264.5262
8,264.53607
9,264.54895
10,264.56793
11,264.596
12,264.63474
13,264.68314
14,264.73795
15,264.79434
16,264.84775
17,264.896
18,264.94034
19,264.9849
20,265.03625
21,265.1004
22,265.18158
23,265.28085
24,265.3961
25,265.52237
26,265.6532
27,265.78064
28,265.89746
29,265.99878
30,266.08447
31,266.16013
32,266.2353
33,266.32028
34,266.4212
35,266.53647
36,266.6562
37,266.76486
38,266.84677
39,266.8931
40,266.9056
41,266.8969
42,266.887
43,266.89563
44,266.93674
45,267.01382
46,267.12048
47,267.24365
48,267.36996
49,267.49094
50,267.60767
51,267.73193
52,267.8836
53,268.08588
54,268.35764
55,268.70734
56,269.12704
57,269.59225
58,270.06598
59,270.50696
60,270.8811
61,271.17014
62,271.37515
63,271.51355
64,271.611
65,271.6935
66,271.78183
67,271.88974
68,272.02533
69,272.19302
70,272.39484
71,272.62854
72,272.8853
73,273.14764
74,273.3923
75,273.59793
76,273.75525
77,273.86963
78,273.95633
79,274.0286
80,274.0888
81,274.12582
82,274.12146
83,274.0594
84,273.93326
85,273.74948
86,273.5244
87,273.27814
88,273.02664
89,272.77725
90,272.52716
91,272.26672
92,271.98557
93,271.67865
94,271.35056
95,271.0159
96,270.69586
97,270.41214
98,270.17957
99,269.99973
100,269.85895
101,264.0871
102,264.05518
103,264.02826
104,264.00937
105,263.9996
106,263.9981
107,264.00272
108,264.01077
109,264.02036
110,264.03055
111,264.04156
112,264.0543
113,264.06952
114,264.08768
115,264.10736
116,264.12637
117,264.1412
118,264.14825
119,264.14484
120,264.13028
121,264.1075
122,264.08212
123,264.06174
124,264.05304
125,264.05988
126,264.08102
127,264.11057
128,264.14093
129,264.16455
130,264.17715
131,264.17865
132,264.17154
133,264.15988
134,264.14737
135,264.1353
136,264.12485
137,264.11572
138,264.109
139,264.10617
140,264.10907
141,264.11902
142,264.13605
143,264.1589
144,264.18506
145,264.21088
146,264.2326
147,264.2467
148,264.25107
149,264.24597
150,264.23465
151,264.2236
152,264.22208
153,264.24066
154,264.2892
155,264.37448
156,264.49728
157,264.6513
158,264.8223
159,264.99023
160,265.13254
161,265.2317
162,265.2854
163,265.31738
164,265.38107
165,265.5474
166,265.8773
167,266.39136
168,267.0576
169,267.8087
170,268.57788
171,269.32574
172,270.03995
173,270.71097
174,271.31326
175,271.80725
176,272.16132
177,272.37045
178,272.45688
179,272.45532
180,272.39755
181,272.30838
182,272.21024
183,272.1268
184,272.08023
185,272.0809
186,272.11835
187,272.16217
188,272.17297
189,272.12015
190,271.9965
191,271.821
192,271.63083
193,271.46497
194,271.35147
195,271.29984
196,271.30273
197,271.34177
198,271.3953
199,271.44562
200,271.48193
201,271.50113
202,266.18652
203,266.21042
204,266.2344
205,266.26154
206,266.3011
207,266.36606
208,266.46777
209,266.61032
210,266.7878
211,266.98477
212,267.17978
213,267.35165
214,267.48462
215,267.57446
216,267.6302
217,267.67108
218,267.72073
219,267.79907
220,267.91745
221,268.07645
222,268.2687
223,268.48187
224,268.70294
225,268.9205
226,269.12683
227,269.31775
228,269.49298
229,269.6552
230,269.8084
231,269.95642
232,270.102
233,270.2462
234,270.3894
235,270.53226
236,270.67615
237,270.8228
238,270.97363
239,271.12766
240,271.27994
241,271.42163
242,271.54037
243,271.62424
244,271.6643
245,271.6583
246,271.6118
247,271.53732
248,271.45154
249,271.3716
250,271.31207
251,271.28235
252,271.28568
253,271.31973
254,271.3772
255,271.44827
256,271.52283
257,271.59235
258,271.65118
259,271.69766
260,271.7339
261,271.76544
262,271.80096
263,271.8494
264,271.91846
265,272.01202
266,272.12906
267,272.2638
268,272.4076
269,272.5512
270,272.6884
271,272.81775
272,272.94354
273,273.07428
274,273.2195
275,273.38672
276,273.57834
277,273.7911
278,274.01706
279,274.24612
280,274.46933
281,274.68127
282,274.88245
283,275.0773
284,275.2725
285,275.47327
286,275.68094
287,275.89172
288,276.09967
289,276.29932
290,276.48883
291,276.67157
292,276.8546
293,277.0473
294,277.25735
295,277.4885
296,277.73773
297,277.99496
298,278.24536
299,278.4742
300,278.6727
301,278.8409
