,0
0,278.6948
1,278.74304
2,278.79333
3,278.84686
4,278.90506
5,278.96982
6,279.04245
7,279.12338
8,279.2117
9,279.30505
10,279.3999
11,279.49237
12,279.57925
13,279.65988
14,279.7363
15,279.81366
16,279.89755
17,279.992
18,280.09656
19,280.20526
20,280.30795
21,280.39343
22,280.4537
23,280.4873
24,280.50104
25,280.5081
26,280.52457
27,280.56485
28,280.63742
29,280.74246
30,280.87177
31,281.01114
32,281.1454
33,281.263
34,281.36148
35,281.44888
36,281.54245
37,281.66345
38,281.82892
39,282.04434
40,282.30023
41,282.57278
42,282.83163
43,283.04907
44,283.21
45,283.31693
46,283.38986
47,283.4596
48,283.55798
49,283.7085
50,283.92072
51,284.18927
52,284.4989
53,284.82922
54,285.16043
55,285.47595
56,285.7636
57,286.01523
58,286.22855
59,286.4074
60,286.56345
61,286.71466
62,286.88208
63,287.0848
64,287.33456
65,287.6323
66,287.96777
67,288.32263
68,288.67572
69,289.00888
70,289.3104
71,289.5763
72,289.808
73,290.00928
74,290.1839
75,290.3344
76,290.4625
77,290.57
78,290.65942
79,290.73257
80,290.78928
81,290.82635
82,290.83878
83,290.82187
84,290.77383
85,290.69464
86,290.58392
87,290.43832
88,290.25143
89,290.01727
90,289.73535
91,289.41467
92,289.07437
93,288.74103
94,288.44278
95,288.20383
96,288.0404
97,287.95877
98,287.95496
99,288.01443
100,288.11218
101,279.64474
102,279.72253
103,279.8001
104,279.87448
105,279.93808
106,279.98114
107,279.99512
108,279.97794
109,279.9357
110,279.88214
111,279.83435
112,279.80795
113,279.8122
114,279.84857
115,279.912
116,279.99402
117,280.08612
118,280.1837
119,280.28546
120,280.39343
121,280.5101
122,280.63638
123,280.77054
124,280.9085
125,281.04535
126,281.17572
127,281.2958
128,281.4043
129,281.5022
130,281.5921
131,281.67694
132,281.7583
133,281.83554
134,281.90717
135,281.97272
136,282.03552
137,282.10385
138,282.1892
139,282.3025
140,282.4488
141,282.62387
142,282.81226
143,282.99042
144,283.1317
145,283.2146
146,283.22955
147,283.18542
148,283.11005
149,283.04562
150,283.0385
151,283.12515
152,283.31958
153,283.6071
154,283.94736
155,284.28818
156,284.58267
157,284.80533
158,284.96008
159,285.07626
160,285.19644
161,285.36032
162,285.59122
163,285.8911
164,286.24353
165,286.62296
166,287.00604
167,287.38074
168,287.74957
169,288.127
170,288.53094
171,288.97287
172,289.4511
173,289.9501
174,290.44617
175,290.9177
176,291.3553
177,291.76764
178,292.1812
179,292.6299
180,293.13953
181,293.7096
182,294.3048
183,294.8621
184,295.31363
185,295.615
186,295.76392
187,295.79825
188,295.7773
189,295.7568
190,295.77133
191,295.82846
192,295.915
193,296.00803
194,296.0862
195,296.136
196,296.15143
197,296.13187
198,296.08038
199,296.00436
200,295.91476
201,295.82312
202,283.59937
203,283.62808
204,283.6607
205,283.696
206,283.73114
207,283.76266
208,283.78787
209,283.80582
210,283.81882
211,283.8318
212,283.85226
213,283.88788
214,283.9452
215,284.02673
216,284.12988
217,284.2465
218,284.36444
219,284.47052
220,284.55438
221,284.6114
222,284.64304
223,284.65564
224,284.65665
225,284.6513
226,284.64233
227,284.63174
228,284.62436
229,284.63
230,284.6619
231,284.73196
232,284.8438
233,284.98944
234,285.1502
235,285.30252
236,285.42685
237,285.51617
238,285.5791
239,285.63705
240,285.71463
241,285.82983
242,285.98618
243,286.17203
244,286.3662
245,286.54797
246,286.70624
247,286.84457
248,286.9801
249,287.13748
250,287.33917
251,287.5979
252,287.91193
253,288.2652
254,288.63245
255,288.98663
256,289.30795
257,289.59027
258,289.842
259,290.0827
260,290.33386
261,290.6111
262,290.91898
263,291.25192
264,291.59927
265,291.95102
266,292.30112
267,292.6482
268,292.99335
269,293.3374
270,293.67902
271,294.01364
272,294.3336
273,294.62897
274,294.88907
275,295.10583
276,295.27454
277,295.39386
278,295.46426
279,295.48718
280,295.46652
281,295.4116
282,295.33817
283,295.26416
284,295.2049
285,295.16943
286,295.16238
287,295.1852
288,295.23438
289,295.29465
290,295.33365
291,295.30453
292,295.15863
293,294.86328
294,294.41602
295,293.8471
296,293.207
297,292.54785
298,291.9064
299,291.2984
300,290.7222
301,290.1679
302,289.62396
303,281.74622
304,281.64127
305,281.55585
306,281.50375
307,281.48996
308,281.51004
309,281.55173
310,281.5998
311,281.63925
312,281.65997
313,281.65793
314,281.63605
315,281.60303
316,281.5708
317,281.55188
318,281.5553
319,281.58398
320,281.63333
321,281.69168
322,281.74384
323,281.77698
324,281.78503
325,281.77274
326,281.75415
327,281.74768
328,281.77
329,281.83163
330,281.93494
331,282.07684
332,282.25134
333,282.45248
334,282.6742
335,282.90793
336,283.14206
337,283.36215
338,283.5545
339,283.70984
340,283.82608
341,283.90894
342,283.9688
343,284.01764
344,284.0657
345,284.11987
346,284.1844
347,284.2618
348,284.3548
349,284.46616
350,284.59738
351,284.74707
352,284.9089
353,285.07202
354,285.22287
355,285.35037
356,285.4503
357,285.52893
358,285.6038
359,285.69864
360,285.8364
361,286.0308
362,286.2803
363,286.56772
364,286.8649
365,287.14218
366,287.37857
367,287.56964
368,287.72977
369,287.88922
370,288.0845
371,288.34714
372,288.69257
373,289.11337
