,0
0,438.45386
1,438.36563
2,438.28406
3,438.21524
4,438.16623
5,438.14365
6,438.1513
7,438.18823
8,438.24707
9,438.31543
10,438.37875
11,438.424
12,438.44287
13,438.43323
14,438.39774
15,438.34183
16,438.27103
17,438.1895
18,438.10056
19,438.00745
20,437.91425
21,437.8254
22,437.74408
23,437.67093
24,437.60364
25,437.53833
26,437.47186
27,437.40402
28,437.33823
29,437.2807
30,437.2386
31,437.21698
32,437.2168
33,437.23325
34,437.25638
35,437.27292
36,437.2701
37,437.23965
38,437.1807
39,437.10062
40,437.01306
41,436.9336
42,436.87497
43,436.84274
44,436.83386
45,436.83768
46,436.83932
47,436.82425
48,436.78204
49,436.7087
50,436.60678
51,436.4836
52,436.3485
53,436.2098
54,436.07245
55,435.93777
56,435.80396
57,435.6674
58,435.5242
59,435.3712
60,435.20676
61,435.03134
62,434.84842
63,434.66446
64,434.48825
65,434.3289
66,434.19315
67,434.0828
68,433.99316
69,433.9138
70,433.83078
71,433.73032
72,433.60263
73,433.44464
74,433.26028
75,433.0592
76,432.85373
77,432.65546
78,432.4727
79,432.309
80,432.16318
81,432.03003
82,431.90253
83,431.77414
84,431.64124
85,431.50467
86,431.36935
87,431.242
88,431.12753
89,431.02603
90,430.93195
91,430.83627
92,430.73065
93,430.61264
94,430.4896
95,430.37842
96,430.3017
97,430.27936
98,430.32065
99,430.419
100,430.5523
101,438.06122
102,438.2971
103,438.49374
104,438.62274
105,438.67514
106,438.6618
107,438.60715
108,438.54
109,438.48447
110,438.45474
111,438.45413
112,438.4773
113,438.51447
114,438.55533
115,438.59174
116,438.61877
117,438.63443
118,438.63818
119,438.63055
120,438.61197
121,438.58322
122,438.54526
123,438.49976
124,438.44925
125,438.39716
126,438.34744
127,438.3036
128,438.2669
129,438.23566
130,438.2043
131,438.16513
132,438.1108
133,438.03836
134,437.9511
135,437.85873
136,437.7729
137,437.70132
138,437.64102
139,437.57416
140,437.46838
141,437.28238
142,436.97678
143,436.52536
144,435.9248
145,435.19757
146,434.38745
147,433.54852
148,432.73074
149,431.96698
150,431.26508
151,430.60773
152,429.95938
153,429.27887
154,428.53284
155,427.70663
156,426.8088
157,425.868
158,424.924
159,424.01532
160,423.16806
161,422.39014
162,421.67148
163,420.99036
164,420.32358
165,419.65506
166,418.98148
167,418.31158
168,417.66156
169,417.04758
170,416.47903
171,415.9557
172,415.46863
173,415.0043
174,414.5499
175,414.09766
176,413.64682
177,413.20282
178,412.7743
179,412.3686
180,411.98935
181,411.63638
182,411.30774
183,411.0043
184,410.7323
185,410.50366
186,410.33237
187,410.2286
188,410.1932
189,410.2151
190,410.27292
191,410.34067
192,410.39505
193,410.42133
194,410.4158
195,410.38498
196,410.34122
197,410.2978
198,410.26447
199,410.24554
200,410.2396
201,410.24142
202,438.3498
203,438.3446
204,438.33392
205,438.31525
206,438.29056
207,438.26566
208,438.2475
209,438.24063
210,438.24512
211,438.25662
212,438.26843
213,438.27472
214,438.27347
215,438.2666
216,438.25937
217,438.2574
218,438.26422
219,438.27948
220,438.29944
221,438.3177
222,438.32825
223,438.327
224,438.31363
225,438.2913
226,438.26508
227,438.2396
228,438.2175
229,438.19833
230,438.17993
231,438.16016
232,438.13858
233,438.11688
234,438.09833
235,438.0856
236,438.07944
237,438.07782
238,438.07626
239,438.06964
