,0
0,465.19635
1,465.31232
2,465.40958
3,465.47208
4,465.49133
5,465.46805
6,465.41217
7,465.34024
8,465.27173
9,465.22357
10,465.20596
11,465.21896
12,465.25226
13,465.28735
14,465.30365
15,465.2844
16,465.22256
17,465.12424
18,465.00696
19,464.89493
20,464.81165
21,464.77188
22,464.777
23,464.81363
24,464.85815
25,464.88303
26,464.86502
27,464.7901
28,464.65533
29,464.46713
30,464.23718
31,463.9788
32,463.70425
33,463.42477
34,463.15097
35,462.8939
36,462.66406
37,462.4692
38,462.3122
39,462.18948
40,462.09186
41,462.00705
42,461.92316
43,461.83182
44,461.72958
45,461.6184
46,461.50394
47,461.3933
48,461.29285
49,461.2056
50,461.1303
51,461.06137
52,460.9902
53,460.90805
54,460.80875
55,460.69104
56,460.56046
57,460.42804
58,460.30847
59,460.2169
60,460.1656
61,460.16034
62,460.19995
63,460.27515
64,460.37054
65,460.4672
66,460.54626
67,460.5932
68,460.60156
69,460.57486
70,460.52652
71,460.47675
72,460.4471
73,460.4543
74,460.5057
75,460.5963
76,460.7093
77,460.82022
78,460.90308
79,460.93768
80,460.9158
81,460.84406
82,460.74182
83,460.6347
84,460.54517
85,460.48535
86,460.45374
87,460.43762
88,460.41974
89,460.38593
90,460.33
91,460.2542
92,460.1656
93,460.07047
94,459.97055
95,459.8615
96,459.7348
97,459.58212
98,459.39954
99,459.19025
100,458.96472
101,466.44617
102,466.52383
103,466.58755
104,466.62784
105,466.64413
106,466.6445
107,466.64233
108,466.65103
109,466.67905
110,466.7272
111,466.78876
112,466.8521
113,466.9045
114,466.935
115,466.93643
116,466.90613
117,466.84555
118,466.7598
119,466.657
120,466.547
121,466.43936
122,466.34177
123,466.258
124,466.18762
125,466.1266
126,466.06915
127,466.00937
128,465.94287
129,465.8671
130,465.78107
131,465.68448
132,465.57733
133,465.46036
134,465.33475
135,465.20264
136,465.06693
137,464.93027
138,464.79425
139,464.65952
140,464.52386
141,464.38293
142,464.22995
143,464.0568
144,463.85638
145,463.62518
146,463.3649
147,463.08304
148,462.79025
149,462.4968
150,462.20813
151,461.92188
152,461.62762
153,461.30872
154,460.9471
155,460.5295
156,460.05212
157,459.52267
158,458.95865
159,458.38107
160,457.8083
161,457.25082
162,456.71005
163,456.18048
164,455.65372
165,455.1222
166,454.5816
167,454.03165
168,453.47522
169,452.91763
170,452.3654
171,451.82483
172,451.30133
173,450.79846
174,450.318
175,449.86023
176,449.42523
177,449.01358
178,448.62827
179,448.2749
180,447.96146
181,447.696
182,447.48358
183,447.3229
184,447.20532
185,447.11618
186,447.03824
187,446.95673
188,446.8629
189,446.75644
190,446.64484
191,446.54132
192,446.4611
193,446.41733
194,446.41776
195,446.4629
196,446.54617
197,446.65665
198,446.78265
199,446.9159
200,447.05353
201,447.19797
202,466.27902
203,466.36227
204,466.4322
205,466.4775
206,466.49203
207,466.47632
208,466.43738
209,466.3868
210,466.3374
211,466.30017
212,466.2813
213,466.2804
214,466.29092
215,466.30142
216,466.29913
217,466.2731
218,466.21783
219,466.13483
220,466.0325
221,465.92383
222,465.82242
223,465.73828
224,465.67474
225,465.6263
226,465.58063
227,465.52176
228,465.43564
229,465.3144
230,465.15857
231,464.97537
232,464.77438
233,464.56262
234,464.3424
235,464.1119
236,463.86963
237,463.6183
238,463.36737
239,463.13156
240,462.92584
241,462.76013
242,462.63474
243,462.54
244,462.45865
245,462.37122
246,462.2619
247,462.12378
248,461.96054
249,461.78564
250,461.61807
251,461.47647
252,461.37372
253,461.31265
254,461.28604
255,461.27893
256,461.27383
257,461.2565
258,461.2201
259,461.16638
260,461.10403
261,461.04462
262,460.99777
263,460.96838
264,460.9551
265,460.95148
266,460.9493
267,460.94217
268,460.92844
269,460.91232
270,460.90338
271,460.91278
272,460.94983
273,461.0184
274,461.1149
275,461.22803
276,461.34195
277,461.43967
278,461.50705
279,461.53574
280,461.52356
281,461.47394
282,461.39462
283,461.29608
284,461.1913
285,461.0947
286,461.021
287,460.98257
288,460.9869
289,461.03375
290,461.1146
291,461.2148
292,461.31696
293,461.40533
294,461.46854
295,461.50034
296,461.4984
297,461.46252
298,461.39355
299,461.29327
300,461.16534
301,461.01605
302,460.85446
303,465.65543
304,465.69867
305,465.735
306,465.7576
307,465.76215
308,465.7474
309,465.71606
310,465.67426
311,465.62985
312,465.59113
313,465.56467
314,465.55432
315,465.5611
316,465.58347
317,465.61734
318,465.6567
319,465.69412
320,465.7219
321,465.73386
322,465.7267
323,465.70123
324,465.6621
325,465.617
326,465.57486
327,465.5444
328,465.53223
329,465.54156
330,465.5713
331,465.61517
332,465.66098
333,465.6921
334,465.6902
335,465.63892
336,465.52905
337,465.36072
338,465.1439
339,464.89487
340,464.63104
341,464.3651
342,464.10056
343,463.8303
344,463.5389
345,463.2071
346,462.81836
347,462.36435
348,461.84744
349,461.27988
350,460.67935
351,460.0633
352,459.44284
353,458.81985
354,458.18686
355,457.53003
356,456.83502
357,456.09158
358,455.2965
359,454.45325
360,453.5681
361,452.64563
362,451.6852
363,450.68073
364,449.62415
365,448.51172
366,447.35016
367,446.15973
368,444.9727
369,443.8268
370,442.756
371,441.781
372,440.90475
373,440.11334
374,439.3835
375,438.69284
376,438.0287
377,437.3931
378,436.80103
379,436.2743
380,435.8335
381,435.48984
382,435.24118
383,435.0715
384,434.955
385,434.86295
386,434.77124
387,434.66696
388,434.55038
389,434.43384
390,434.33566
391,434.27307
392,434.2553
393,434.28015
394,434.3337
395,434.39563
396,434.44553
397,434.46942
398,434.46368
399,434.4346
400,434.39453
401,434.3562
402,434.32758
403,434.3094
404,465.37204
405,465.3847
406,465.40683
407,465.44382
408,465.4964
409,465.5606
410,465.6289
411,465.69193
412,465.7415
413,465.7715
414,465.77933
415,465.76526
416,465.73257
417,465.6868
418,465.63608
419,465.5905
420,465.56155
421,465.5598
422,465.59204
423,465.6575
424,465.74622
425,465.83917
426,465.91235
427,465.94345
428,465.91992
429,465.84427
430,465.73492
431,465.62097
432,465.5332
433,465.49393
434,465.51004
435,465.5716
436,465.65604
437,465.7359
438,465.7881
439,465.80008
440,465.77203
441,465.71448
442,465.6429
443,465.5715
444,465.5083
445,465.45337
446,465.3996
447,465.33624
448,465.25397
449,465.14847
450,465.0228
451,464.88705
452,464.75577
453,464.64322
454,464.5595
455,464.5068
456,464.47794
457,464.45844
458,464.43005
459,464.37628
460,464.2864
461,464.15726
462,463.99298
463,463.8033
464,463.6011
465,463.3996
466,463.2103
467,463.04102
468,462.89502
469,462.77136
470,462.66595
471,462.5741
472,462.49173
473,462.4157
474,462.34357
475,462.2725
476,462.1993
477,462.12183
478,462.0408
479,461.96225
480,461.89636
481,461.85504
482,461.84586
483,461.86664
484,461.9023
485,461.92712
486,461.91077
487,461.82925
488,461.6738
489,461.45605
490,461.20636
491,460.96448
492,460.7673
493,460.63785
494,460.58017
495,460.58145
496,460.61868
497,460.6672
498,460.70764
499,460.72983
500,460.73312
501,460.72467
502,460.71457
503,460.7114
504,460.71896
505,466.11887
506,466.00128
507,465.91815
508,465.88715
509,465.90784
510,465.962
511,466.0199
512,466.0503
513,466.03073
514,465.95508
515,465.83582
516,465.7
517,465.5804
518,465.50473
519,465.48593
520,465.51794
521,465.57733
522,465.63174
523,465.6518
524,465.62155
525,465.54263
526,465.431
527,465.30807
528,465.19196
529,465.0916
530,465.00696
531,464.93216
532,464.85934
533,464.7818
534,464.69485
535,464.59586
536,464.48425
537,464.3613
538,464.2301
539,464.0943
540,463.95767
541,463.82263
542,463.68988
543,463.55865
544,463.4278
545,463.2966
546,463.16617
547,463.03842
548,462.9157
549,462.799
550,462.6872
551,462.57776
552,462.46814
553,462.35837
554,462.2516
555,462.1545
556,462.07495
557,462.01837
558,461.98523
559,461.96924
560,461.95868
561,461.9398
562,461.90103
563,461.83795
564,461.75458
565,461.66315
566,461.57953
567,461.51785
568,461.48502
569,461.4774
570,461.48322
571,461.4855
572,461.4684
573,461.42188
574,461.3438
575,461.24005
576,461.12228
577,461.00406
578,460.8983
579,460.81375
580,460.75403
581,460.71677
582,460.69547
583,460.6819
584,460.6688
585,460.65164
586,460.6298
587,460.60495
588,460.579
589,460.55252
590,460.52353
591,460.4884
592,460.44397
593,460.3901
594,460.33154
595,460.2774
596,460.23907
597,460.2261
598,460.2416
599,460.27997
600,460.32693
601,460.36322
602,460.3711
603,460.3407
604,460.27454
605,460.18686
606,466.62082
607,466.552
608,466.49887
609,466.47012
610,466.466
611,466.47772
612,466.491
613,466.49097
614,466.46762
615,466.41928
616,466.35345
617,466.28378
618,466.2242
619,466.18323
620,466.1603
621,466.14536
622,466.12344
623,466.08136
624,466.01364
625,465.92596
626,465.83316
627,465.7536
628,465.70175
629,465.68213
630,465.68762
631,465.70233
632,465.70773
633,465.68918
634,465.64056
635,465.56412
636,465.46707
637,465.35703
638,465.23816
639,465.1095
640,464.96698
641,464.80585
642,464.62335
643,464.42038
644,464.20105
645,463.9716
646,463.7381
647,463.5057
648,463.27777
649,463.05667
650,462.8455
651,462.6483
652,462.47064
653,462.3176
654,462.19156
655,462.09033
656,462.0055
657,461.9239
