,0
0,465.74033
1,465.81464
2,465.8786
3,465.92303
4,465.94266
5,465.93723
6,465.91098
7,465.8717
8,465.82852
9,465.79
10,465.76212
11,465.74777
12,465.74625
13,465.75375
14,465.76443
15,465.77148
16,465.7683
17,465.74927
18,465.71063
19,465.65073
20,465.57034
21,465.47217
22,465.36044
23,465.24014
24,465.11612
25,464.9923
26,464.87134
27,464.75464
28,464.64227
29,464.53317
30,464.42514
31,464.3158
32,464.20258
33,464.08383
34,463.95944
35,463.83078
36,463.7003
37,463.5709
38,463.44458
39,463.32224
40,463.20395
41,463.09012
42,462.9824
43,462.8836
44,462.79724
45,462.72556
46,462.66812
47,462.6216
48,462.58057
49,462.5391
50,462.49292
51,462.44046
52,462.38333
53,462.32516
54,462.2706
55,462.22406
56,462.18845
57,462.16483
58,462.15216
59,462.14746
60,462.14673
61,462.1461
62,462.14246
63,462.1342
64,462.12134
65,462.10498
66,462.08698
67,462.06924
68,462.05368
69,462.04224
70,462.0366
71,462.03812
72,462.0474
73,462.0632
74,462.08304
75,462.1033
76,462.12
77,462.1303
78,462.1327
79,462.12674
80,462.11255
81,462.0901
82,462.0594
83,462.02054
84,461.97452
85,461.92398
86,461.8725
87,461.82382
88,461.78006
89,461.74075
90,461.7026
91,461.66052
92,461.60974
93,461.54858
94,461.47955
95,461.4092
96,461.3467
97,461.30066
98,461.27606
99,461.2719
100,461.28125
101,465.73483
102,465.65204
103,465.57654
104,465.51318
105,465.4644
106,465.43008
107,465.409
108,465.39972
109,465.40158
110,465.4145
111,465.4378
112,465.46918
113,465.5039
114,465.53525
115,465.55634
116,465.5622
117,465.5517
118,465.52814
119,465.49893
120,465.47357
121,465.4616
122,465.47
123,465.50186
124,465.55527
125,465.62393
126,465.6979
127,465.765
128,465.8136
129,465.8335
130,465.81857
131,465.76703
132,465.68185
133,465.56973
134,465.43933
135,465.29922
136,465.1567
137,465.01654
138,464.8807
139,464.74875
140,464.61752
141,464.48242
142,464.33783
143,464.1788
144,464.00272
145,463.81064
146,463.6075
147,463.40097
148,463.19867
149,463.00388
150,462.8126
151,462.61163
152,462.38046
153,462.09607
154,461.73965
155,461.30255
156,460.78952
157,460.21692
158,459.60785
159,458.9851
160,458.36578
161,457.7591
162,457.1679
163,456.5925
164,456.03436
165,455.49728
166,454.98648
167,454.50568
168,454.05472
169,453.6291
170,453.22122
171,452.8233
172,452.43
173,452.0398
174,451.65466
175,451.27924
176,450.91895
177,450.57935
178,450.2654
179,449.98132
180,449.72952
181,449.50916
182,449.3152
183,449.13858
184,448.96844
185,448.7952
186,448.61447
187,448.42914
188,448.24905
189,448.08896
190,447.9645
191,447.88818
192,447.86597
193,447.89587
194,447.96866
195,448.07043
196,448.18625
197,448.30362
198,448.41498
199,448.51868
200,448.6183
201,448.72052
202,463.72797
203,463.71707
204,463.7059
205,463.69293
206,463.676
207,463.65274
208,463.62085
209,463.57895
210,463.52692
211,463.46613
212,463.3997
213,463.332
214,463.2682
215,463.21313
216,463.16965
217,463.13687
218,463.1093
219,463.077
220,463.02722
221,462.9473
222,462.82776
223,462.66425
224,462.45825
225,462.2159
226,461.946
227,461.65753
228,461.35843
229,461.05438
230,460.74963
231,460.44763
232,460.15186
233,459.86603
234,459.59363
235,459.33694
236,459.09644
237,458.87064
238,458.6568
239,458.45178
240,458.25302
241,458.05884
242,457.86856
243,457.6821
244,457.50003
245,457.32385
246,457.15543
247,456.99725
248,456.85187
249,456.7214
250,456.6075
251,456.5119
252,456.43658
253,456.386
254,456.36655
255,456.387
256,456.45657
257,456.58307
258,456.77072
259,457.01828
260,457.3187
261,457.65924
262,458.02332
263,458.39267
264,458.74985
265,459.08047
266,459.37473
267,459.6276
268,459.83908
269,460.01276
270,460.1547
271,460.27213
272,460.3725
273,460.46246
274,460.54718
275,460.62976
276,460.7111
277,460.79065
278,460.86688
279,460.93848
280,461.0046
281,461.06522
282,461.11987
283,461.1675
284,461.20584
285,461.23166
286,461.24167
287,461.23373
288,461.20746
289,461.16483
290,461.1098
291,461.04803
292,460.98557
293,460.92825
294,460.88
295,460.84235
296,460.8138
297,460.79034
298,460.76675
299,460.7382
300,460.70197
301,460.65866
302,460.61154
303,466.4712
304,466.46008
305,466.4473
306,466.43195
307,466.41498
308,466.39847
309,466.38452
310,466.37408
311,466.36642
312,466.35922
313,466.34937
314,466.3338
315,466.31055
316,466.27924
317,466.2409
318,466.19788
319,466.15305
320,466.10956
321,466.07056
322,466.03894
323,466.0169
324,466.00507
325,466.0023
326,466.00543
327,466.01065
328,466.015
329,466.01816
330,466.02283
331,466.03424
332,466.05692
333,466.09192
334,466.13498
335,466.176
336,466.2021
337,466.2013
338,466.16663
339,466.09848
340,466.00427
341,465.8957
342,465.78485
343,465.6797
344,465.58047
345,465.4789
346,465.35904
347,465.20013
348,464.98083
349,464.68304
350,464.29483
351,463.8123
352,463.23932
353,462.58643
354,461.8675
355,461.09598
356,460.28058
357,459.4225
358,458.5152
359,457.54752
360,456.50876
361,455.39365
362,454.2057
363,452.95728
364,451.66742
365,450.35806
366,449.05032
367,447.76163
368,446.50473
369,445.2877
370,444.1156
371,442.99158
372,441.91837
373,440.8988
374,439.93597
375,439.033
376,438.1929
377,437.41855
378,436.71237
379,436.07605
380,435.50983
381,435.0119
382,434.57773
383,434.20026
384,433.87082
385,433.58105
386,433.32492
387,433.09943
388,432.9042
389,432.73975
390,432.6053
391,432.4977
392,432.41135
393,432.33942
394,432.27606
395,432.2175
396,432.1631
397,432.1145
398,432.0747
399,432.0469
400,432.03302
401,432.03317
402,432.04556
403,432.06665
404,466.60236
405,466.60675
406,466.61047
407,466.61243
408,466.61343
409,466.6154
410,466.61972
411,466.62616
412,466.63126
413,466.62964
414,466.61493
415,466.58264
416,466.532
417,466.46643
418,466.39224
419,466.3172
420,466.24814
421,466.1895
422,466.14352
423,466.11002
424,466.0871
425,466.07233
426,466.06296
427,466.0564
428,466.0504
429,466.04352
430,466.03488
431,466.02457
432,466.01352
433,466.0031
434,465.99484
435,465.98978
436,465.98804
437,465.98917
438,465.99207
439,465.99527
440,465.99725
441,465.9962
442,465.98962
443,465.97427
444,465.94604
445,465.9009
446,465.83545
447,465.74792
448,465.63968
449,465.51486
450,465.3799
451,465.24197
452,465.10712
453,464.9785
454,464.85583
455,464.7359
456,464.6146
457,464.48877
458,464.35776
459,464.2241
460,464.0921
461,463.96646
462,463.85083
463,463.74716
464,463.6553
465,463.5736
466,463.49927
467,463.4288
468,463.35907
469,463.28757
470,463.21295
471,463.13544
472,463.0566
473,462.979
474,462.90567
475,462.83875
476,462.77896
477,462.7246
478,462.67227
479,462.61728
480,462.55573
481,462.48593
482,462.4094
483,462.33038
484,462.25494
485,462.18918
486,462.13718
487,462.10034
488,462.0775
489,462.06592
490,462.06262
491,462.06564
492,462.07404
493,462.08755
494,462.10577
495,462.12784
496,462.15234
497,462.17865
498,462.2074
499,462.2407
500,462.28168
501,462.33304
502,462.3958
503,462.46838
504,462.54678
505,466.1574
506,466.25842
507,466.347
508,466.4126
509,466.44882
510,466.45468
511,466.43448
512,466.39633
513,466.3501
514,466.30496
515,466.26773
516,466.2423
517,466.2298
518,466.22928
519,466.23798
520,466.2515
521,466.26407
522,466.26898
523,466.25958
524,466.23056
525,466.17923
526,466.10574
527,466.01303
528,465.9058
529,465.78915
530,465.66837
531,465.54752
532,465.4298
533,465.3173
534,465.2103
535,465.10803
536,465.00803
537,464.90744
538,464.80313
539,464.6928
540,464.5754
541,464.4514
542,464.32208
543,464.18988
544,464.05737
545,463.928
546,463.80563
547,463.69403
548,463.59634
549,463.5135
550,463.44403
551,463.38434
552,463.33
553,463.27744
554,463.2254
555,463.17615
556,463.1346
557,463.10696
558,463.0986
559,463.11215
560,463.14655
561,463.19748
562,463.2587
563,463.32358
564,463.38702
565,463.4457
566,463.49744
567,463.54083
568,463.5738
569,463.59363
570,463.5979
571,463.5853
572,463.55774
573,463.51996
574,463.4791
575,463.44205
576,463.41312
577,463.39255
578,463.37607
579,463.3574
580,463.3307
581,463.29312
582,463.2462
583,463.19507
584,463.14624
585,463.1051
586,463.07336
587,463.04886
588,463.02652
589,463.00058
590,462.96692
591,462.9244
592,462.87537
593,462.8238
594,462.77362
595,462.7277
596,462.6869
597,462.6511
598,462.62
599,462.5938
600,462.5734
601,462.55994
602,462.55396
603,462.55533
604,462.56265
605,462.57413
606,466.51254
607,466.46268
608,466.42343
609,466.40326
610,466.40692
611,466.43375
612,466.47772
613,466.5285
614,466.57376
615,466.60254
616,466.60785
617,466.58844
618,466.54825
619,466.4953
620,466.43945
621,466.38998
622,466.35397
623,466.33478
624,466.3319
625,466.3417
626,466.35803
627,466.37524
628,466.38934
629,466.4003
630,466.41132
631,466.4282
632,466.45566
633,466.49454
634,466.53958
635,466.58014
636,466.60217
637,466.59256
638,466.54294
639,466.45218
640,466.32587
641,466.17456
642,466.00955
643,465.83908
644,465.6662
645,465.48856
646,465.30093
647,465.09787
648,464.877
649,464.6406
650,464.3955
651,464.15134
652,463.91763
653,463.701
654,463.5032
655,463.32092
656,463.14636
657,462.96964
658,462.78113
659,462.57343
660,462.34302
661,462.09018
662,461.81918
663,461.53674
664,461.25018
665,460.96497
666,460.68225
667,460.39697
668,460.09836
669,459.77167
670,459.402
671,458.9786
672,458.4995
673,457.97348
674,457.41968
675,456.86343
676,456.3307
677,455.8414
678,455.40585
679,455.02377
680,454.6861
681,454.37952
682,454.0906
683,453.8097
684,453.53305
685,453.26318
686,453.0071
687,452.77325
688,452.5681
689,452.39352
690,452.2463
691,452.1197
692,452.00598
693,451.89972
694,451.79965
695,451.70938
696,451.6355
697,451.5855
698,451.5652
699,451.57632
700,451.6161
701,451.67743
702,451.75085
703,451.8274
704,451.90125
705,451.97144
706,452.04123
707,466.62836
708,466.52063
709,466.42072
710,466.33524
711,466.2696
712,466.2277
713,466.2116
714,466.22076
715,466.25156
716,466.29602
717,466.34274
718,466.37836
719,466.39075
720,466.37222
721,466.32224
722,466.2477
723,466.16138
724,466.07846
725,466.0126
726,465.9724
727,465.96014
728,465.9715
729,465.99777
730,466.02826
731,466.054
732,466.06937
733,466.0745
734,466.0742
735,466.0764
736,466.089
737,466.11624
738,466.15665
739,466.20224
740,466.24
741,466.25653
742,466.24246
743,466.19623
744,466.12463
745,466.03946
746,465.95163
747,465.86603
748,465.77902
749,465.6811
750,465.5616
751,465.41525
752,465.24625
753,465.0682
754,464.8979
755,464.74435
756,464.59827
757,464.4299
758,464.2007
759,463.88608
760,463.49646
761,463.0835
762,462.72412
763,462.48828
764,462.40848
765,462.46375
766,462.58408
767,462.66974
768,462.61624
769,462.33707
770,461.77966
771,460.93066
772,459.80905
773,458.45224
774,456.90262
775,455.20084
776,453.38867
777,451.51462
778,449.63712
779,447.82056
