,0
0,386.74136
1,386.76318
2,386.78613
3,386.8126
4,386.8443
5,386.88312
6,386.93002
7,386.98654
8,387.0546
9,387.13678
10,387.23712
11,387.3598
12,387.50806
13,387.68365
14,387.88623
15,388.11337
16,388.36105
17,388.62357
18,388.8934
19,389.16083
20,389.41238
21,389.63306
22,389.8063
23,389.91736
24,389.95663
25,389.92123
26,389.81516
27,389.64688
28,389.42422
29,389.1488
30,388.8119
31,388.39447
32,387.8719
33,387.22162
34,386.43063
35,385.50125
36,384.4515
37,383.31128
38,382.11548
39,380.89496
40,379.66937
41,378.44302
42,377.20517
43,375.9353
44,374.60883
45,373.20538
46,371.7134
47,370.13327
48,368.47653
49,366.76172
50,365.00748
51,363.225
52,361.4147
53,359.56635
54,357.66504
55,355.70016
56,353.6742
57,351.6065
58,349.53058
59,347.4867
60,345.51083
61,343.62753
62,341.8486
63,340.1766
64,338.61288
65,337.16312
66,335.84012
67,334.66104
68,333.64215
69,332.79245
70,332.1098
71,331.58
72,331.1796
73,330.88028
74,330.65436
75,330.47946
76,330.341
77,330.23425
78,330.1641
79,330.1436
80,330.1909
81,330.32397
82,330.5541
83,330.88138
84,331.2935
85,331.76932
86,332.28503
87,332.82095
88,333.36615
89,333.91934
90,334.48697
91,335.07956
92,335.70773
93,336.37924
94,337.09814
95,337.86386
96,338.67212
97,339.5147
98,340.38034
99,341.25656
100,342.13177
101,384.93076
102,384.93805
103,384.94604
104,384.95508
105,384.96594
106,384.97916
107,384.99567
108,385.01596
109,385.04007
110,385.06732
111,385.09665
112,385.12677
113,385.15723
114,385.18805
115,385.22025
116,385.25433
117,385.2907
118,385.3285
119,385.36584
120,385.4014
121,385.43323
122,385.46115
123,385.4857
124,385.50845
125,385.5313
126,385.55508
127,385.5804
128,385.60632
129,385.6311
130,385.65338
131,385.6727
132,385.68985
133,385.7076
134,385.73022
135,385.76297
136,385.81018
137,385.87546
138,385.95947
139,386.06027
140,386.17398
141,386.29572
142,386.42114
143,386.5469
144,386.67227
145,386.79962
146,386.93304
147,387.0783
148,387.24045
149,387.42236
150,387.62146
151,387.83
152,388.03558
153,388.22467
154,388.38657
155,388.51923
156,388.6321
157,388.7451
158,388.882
159,389.06036
160,389.2821
161,389.52814
162,389.7637
163,389.94907
164,390.0537
165,390.06635
166,389.99707
167,389.87024
168,389.71167
169,389.53625
170,389.34235
171,389.1158
172,388.8414
173,388.51627
174,388.15765
175,387.80078
176,387.48825
177,387.25488
178,387.1152
179,387.0581
180,387.0524
181,387.0588
182,387.04398
183,386.9902
184,386.89713
185,386.77686
186,386.64667
187,386.52185
188,386.41245
189,386.3226
190,386.25214
191,386.19855
192,386.15817
193,386.12732
194,386.10245
195,386.08017
196,386.05725
197,386.03055
198,385.9972
199,385.95416
200,385.89832
201,385.8274
202,387.27075
203,387.32043
204,387.37122
205,387.42407
206,387.47824
207,387.5326
208,387.58563
209,387.63733
210,387.68878
211,387.74356
212,387.80695
213,387.88388
214,387.97867
215,388.09338
216,388.22705
217,388.3771
218,388.54025
219,388.71365
220,388.89478
221,389.08112
222,389.26855
223,389.45035
224,389.61752
225,389.7603
226,389.87073
227,389.9451
228,389.9848
229,389.99487
230,389.98166
231,389.9488
232,389.89365
233,389.80667
234,389.6705
235,389.4633
236,389.16058
237,388.741
238,388.18875
239,387.49747
240,386.6722
241,385.72775
242,384.68588
243,383.56937
244,382.39682
245,381.17776
246,379.91248
247,378.59583
248,377.22214
249,375.7922
250,374.31607
251,372.8117
252,371.29922
253,369.79343
254,368.29797
255,366.80447
256,365.29633
257,363.75806
258,362.18494
259,360.58945
260,359.00183
261,357.4645
262,356.0219
263,354.71008
264,353.54755
265,352.53156
266,351.63818
267,350.82666
268,350.04742
269,349.25177
270,348.40222
271,347.4801
272,346.49048
273,345.46066
274,344.43417
275,343.46082
276,342.58633
277,341.84378
278,341.24875
279,340.79858
280,340.47577
281,340.25436
282,340.1066
283,340.0097
284,339.94876
285,339.91733
286,339.91348
287,339.9364
288,339.98233
289,340.04385
290,340.11047
291,340.17203
292,340.2207
293,340.25223
294,340.26654
295,340.26636
296,340.25558
297,340.2392
