,0
0,465.78015
1,465.76566
2,465.7545
3,465.74857
4,465.74802
5,465.7512
6,465.7559
7,465.76
8,465.7629
9,465.76508
10,465.7682
11,465.7744
12,465.78537
13,465.80182
14,465.82352
15,465.84903
16,465.87628
17,465.90353
18,465.93
19,465.95676
20,465.98746
21,466.0274
22,466.0827
23,466.158
24,466.2541
25,466.36655
26,466.485
27,466.5948
28,466.68002
29,466.7285
30,466.73553
31,466.70667
32,466.65552
33,466.59995
34,466.55588
35,466.53226
36,466.52927
37,466.53894
38,466.54877
39,466.5456
40,466.51843
41,466.461
42,466.37207
43,466.2556
44,466.11914
45,465.9727
46,465.8258
47,465.68634
48,465.5588
49,465.44482
50,465.34363
51,465.25342
52,465.17218
53,465.0978
54,465.0287
55,464.9633
56,464.90097
57,464.84174
58,464.78647
59,464.73685
60,464.6952
61,464.6638
62,464.64462
63,464.6391
64,464.64755
65,464.66992
66,464.70544
67,464.75278
68,464.80923
69,464.87045
70,464.93048
71,464.98264
72,465.02023
73,465.0377
74,465.0312
75,464.99915
76,464.94296
77,464.86658
78,464.77634
79,464.6798
80,464.58395
81,464.49463
82,464.41565
83,464.34897
84,464.2952
85,464.2543
86,464.22614
87,464.211
88,464.2105
89,464.228
90,464.26862
91,464.33804
92,464.44028
93,464.57452
94,464.7335
95,464.90323
96,465.0664
97,465.20715
98,465.31662
99,465.39633
100,465.4584
101,463.23932
102,463.20508
103,463.1745
104,463.15002
105,463.1324
106,463.1208
107,463.1136
108,463.10913
109,463.10715
110,463.10907
111,463.1176
112,463.13596
113,463.16528
114,463.20395
115,463.24677
116,463.28622
117,463.3146
118,463.32663
119,463.32156
120,463.30353
121,463.28
122,463.25958
123,463.249
124,463.25156
125,463.2667
126,463.29047
127,463.31717
128,463.34067
129,463.35602
130,463.3596
131,463.3495
132,463.32596
133,463.29114
134,463.24893
135,463.20453
136,463.16318
137,463.1295
138,463.1062
139,463.0944
140,463.09363
141,463.10352
142,463.1246
143,463.1595
144,463.21152
145,463.28293
146,463.37265
147,463.47397
148,463.57532
149,463.66214
150,463.72192
151,463.74814
152,463.74377
153,463.72122
154,463.69888
155,463.69543
156,463.72397
157,463.7871
158,463.87683
159,463.97647
160,464.06616
161,464.1287
162,464.15396
163,464.14102
164,464.0973
165,464.03552
166,463.9691
167,463.90762
168,463.85303
169,463.79837
170,463.7287
171,463.62595
172,463.4751
173,463.2692
174,463.0125
175,462.71927
176,462.40912
177,462.10062
178,461.8062
179,461.5299
180,461.26825
181,461.0147
182,460.76428
183,460.51782
184,460.283
185,460.07285
186,459.90207
187,459.7815
188,459.7137
189,459.6913
190,459.69772
191,459.7116
192,459.7134
193,459.69095
194,459.64267
195,459.57693
196,459.50793
197,459.45053
198,459.41528
199,459.4056
200,459.41757
201,459.44153
202,466.2188
203,466.20044
204,466.18
205,466.15558
206,466.1265
207,466.09323
208,466.0581
209,466.0246
210,465.99667
211,465.97696
212,465.96628
213,465.96234
214,465.9606
215,465.9561
216,465.94528
217,465.9278
218,465.90692
219,465.8886
220,465.87915
221,465.88208
222,465.89648
223,465.9161
224,465.9301
225,465.92563
226,465.89005
227,465.813
228,465.68732
229,465.50864
230,465.27472
231,464.9844
232,464.63718
233,464.23273
234,463.77057
235,463.24954
236,462.66818
237,462.0259
