,0
0,274.96994
1,274.92148
2,274.88278
3,274.8624
4,274.86862
5,274.90646
6,274.97516
7,275.0662
8,275.16376
9,275.24814
10,275.3002
11,275.30756
12,275.26703
13,275.18658
14,275.08292
15,274.97766
16,274.89148
17,274.84082
18,274.83337
19,274.8669
20,274.92935
21,275.0028
22,275.06766
23,275.10965
24,275.12347
25,275.11423
26,275.09555
27,275.08414
28,275.09467
29,275.136
30,275.2087
31,275.30505
32,275.41043
33,275.50665
34,275.57715
35,275.61136
36,275.60873
37,275.5796
38,275.54205
39,275.51712
40,275.52203
41,275.5646
42,275.64188
43,275.74057
44,275.8429
45,275.93155
46,275.9963
47,276.03665
48,276.06177
49,276.08765
50,276.13242
51,276.2115
52,276.33383
53,276.49985
54,276.70108
55,276.9234
56,277.1522
57,277.378
58,277.60098
59,277.82974
60,278.0767
61,278.35056
62,278.65128
63,278.96826
64,279.2825
65,279.57306
66,279.82388
67,280.03018
68,280.20276
69,280.36688
70,280.5578
71,280.81113
72,281.154
73,281.5953
74,282.12143
75,282.69476
76,283.2597
77,283.75134
78,284.10947
79,284.29254
80,284.28757
81,284.11282
82,283.8118
83,283.44012
84,283.05173
85,282.68695
86,282.36658
87,282.0916
88,281.8473
89,281.61008
90,281.35535
91,281.06384
92,280.72705
93,280.34833
94,279.941
95,279.52475
96,279.1208
97,278.74847
98,278.4212
99,278.144
100,277.91245
101,272.3919
102,272.4345
103,272.47247
104,272.50156
105,272.51877
106,272.52335
107,272.51636
108,272.5008
109,272.48065
110,272.46042
111,272.44412
112,272.43466
113,272.43405
114,272.44247
115,272.45883
116,272.48138
117,272.5072
118,272.53333
119,272.55618
120,272.57242
121,272.57874
122,272.57306
123,272.55524
124,272.52692
125,272.49222
126,272.45697
127,272.42688
128,272.40683
129,272.39972
130,272.40555
131,272.42215
132,272.44583
133,272.4723
134,272.4973
135,272.51846
136,272.53445
137,272.5454
138,272.55252
139,272.5578
140,272.56403
141,272.57416
142,272.59027
143,272.61343
144,272.6422
145,272.673
146,272.70123
147,272.72287
148,272.7356
149,272.7399
150,272.73846
151,272.7353
152,272.73395
153,272.73676
154,272.7441
155,272.75552
156,272.77026
157,272.788
158,272.80826
159,272.82956
160,272.8489
161,272.86185
162,272.86496
163,272.85876
164,272.8499
165,272.8526
166,272.88663
167,272.97162
168,273.1227
169,273.34576
170,273.6358
171,273.97635
172,274.34268
173,274.70535
174,275.037
175,275.31787
176,275.54
177,275.70654
178,275.82693
179,275.91187
180,275.96912
181,276.0027
182,276.01413
183,276.00452
184,275.97635
185,275.93546
186,275.891
187,275.8544
188,275.83603
189,275.8405
190,275.8628
191,275.88794
192,275.89633
193,275.87225
194,275.8128
195,275.73196
196,275.6576
197,275.62195
198,275.65076
199,275.75415
200,275.9218
201,276.12555
202,274.21838
203,274.33096
204,274.42795
205,274.4982
206,274.54034
207,274.56384
208,274.5854
209,274.62347
210,274.6924
211,274.79855
212,274.93695
213,275.09427
214,275.2511
215,275.38885
216,275.49466
217,275.56503
218,275.60767
219,275.6368
220,275.66983
221,275.72125
222,275.79977
223,275.90686
224,276.03702
225,276.18027
226,276.32468
227,276.46
228,276.57944
229,276.68225
230,276.77332
231,276.8608
232,276.95407
233,277.0609
234,277.18542
235,277.3281
236,277.48676
237,277.65674
238,277.83298
239,278.01065
240,278.1855
241,278.35434
242,278.51422
243,278.6627
244,278.79733
245,278.91617
246,279.01794
247,279.10306
248,279.1732
249,279.23114
250,279.2804
251,279.32498
252,279.36905
253,279.41727
254,279.47403
255,279.54312
256,279.62662
257,279.7241
258,279.83392
259,279.95438
260,280.08545
261,280.2292
262,280.38678
263,280.55557
264,280.72644
265,280.88507
266,281.01578
267,281.10757
268,281.15952
269,281.182
270,281.1935
