,0
0,497.2591
1,497.32257
2,497.3835
3,497.4396
4,497.4895
5,497.53244
6,497.56778
7,497.59424
8,497.6102
9,497.61456
10,497.6078
11,497.59213
12,497.57086
13,497.54736
14,497.524
15,497.50192
16,497.48145
17,497.46313
18,497.4485
19,497.43964
20,497.43878
21,497.4469
22,497.4636
23,497.48672
24,497.5136
25,497.54178
26,497.56985
27,497.59705
28,497.6221
29,497.6417
30,497.64877
31,497.63297
32,497.58112
33,497.48093
34,497.3249
35,497.11414
36,496.86017
37,496.58298
38,496.30505
39,496.04388
40,495.8067
41,495.5888
42,495.37784
43,495.16055
44,494.9298
45,494.6875
46,494.44403
47,494.21393
48,494.01
49,493.83902
50,493.70004
51,493.58487
52,493.48206
53,493.38058
54,493.27417
55,493.1629
56,493.05307
57,492.9547
58,492.87817
59,492.8306
60,492.8136
61,492.82272
62,492.84845
63,492.87955
64,492.90552
65,492.91962
66,492.92007
67,492.9093
68,492.89288
69,492.8774
70,492.86868
71,492.87036
72,492.8825
73,492.90164
74,492.9216
75,492.93524
76,492.93747
77,492.9271
78,492.90817
79,492.8887
80,492.8781
81,492.8834
82,492.90683
83,492.9448
84,492.98898
85,493.02975
86,493.0595
87,493.0757
88,493.0817
89,493.0855
90,493.0974
91,493.12622
92,493.17715
93,493.25024
94,493.34113
95,493.44278
96,493.54846
97,493.65323
98,493.75482
99,493.8538
100,493.9519
101,495.65033
102,495.64877
103,495.64615
104,495.642
105,495.6369
106,495.63226
107,495.63007
108,495.63184
109,495.63806
110,495.6475
111,495.65765
112,495.66547
113,495.66846
114,495.6659
115,495.65875
116,495.64954
117,495.64136
118,495.637
119,495.63776
120,495.64438
121,495.6566
122,495.6744
123,495.69855
124,495.7302
125,495.77066
126,495.8202
127,495.87766
128,495.93994
129,496.00253
130,496.05997
131,496.10706
132,496.14023
133,496.15826
134,496.1625
135,496.15628
136,496.14383
137,496.12823
138,496.11102
139,496.09155
140,496.06863
141,496.04172
142,496.01242
143,495.98538
144,495.96732
145,495.9651
146,495.9831
147,496.02167
148,496.07578
149,496.13586
150,496.19
151,496.22736
152,496.24136
153,496.2323
154,496.20737
155,496.17844
156,496.15787
157,496.15347
158,496.16602
159,496.18808
160,496.2063
161,496.20465
162,496.168
163,496.08383
164,495.9425
165,495.7369
166,495.46277
167,495.1193
168,494.71048
169,494.245
170,493.73416
171,493.18954
172,492.62122
173,492.03745
174,491.44696
175,490.86057
176,490.2923
177,489.75812
178,489.27304
179,488.8476
180,488.48508
181,488.18185
182,487.9305
183,487.72464
184,487.56207
185,487.4447
186,487.37396
187,487.34628
188,487.3522
189,487.38055
190,487.4241
191,487.4822
192,487.55798
193,487.65216
194,487.75818
195,487.8626
196,487.94873
197,488.00174
198,488.01346
199,487.98434
200,487.92316
201,487.845
202,499.21912
203,499.1256
204,499.04523
205,498.98816
206,498.95996
207,498.96027
208,498.9833
209,499.01917
210,499.05603
211,499.08197
212,499.087
213,499.06412
214,499.01044
215,498.928
216,498.8235
217,498.70764
218,498.5932
219,498.49213
220,498.41245
221,498.3564
222,498.31985
223,498.29327
224,498.2644
225,498.22137
226,498.1552
227,498.06158
228,497.94052
229,497.7947
230,497.62756
231,497.44028
232,497.22995
233,496.98843
234,496.70364
235,496.3603
236,495.9428
237,495.43756
238,494.835
239,494.13058
240,493.32574
241,492.42697
242,491.4462
243,490.4002
244,489.31036
245,488.20078
246,487.09543
247,486.01465
248,484.97156
249,483.97128
250,483.0127
251,482.0926
252,481.2113
253,480.3751
254,479.59503
255,478.88156
256,478.236
257,477.64417
258,477.07483
259,476.48447
260,475.82788
261,475.07025
262,474.19742
263,473.22006
264,472.1714
265,471.09915
266,470.05536
267,469.08487
268,468.21835
269,467.46866
270,466.83286
271,466.2971
272,465.84302
273,465.45337
274,465.11533
275,464.82123
276,464.56854
277,464.35822
278,464.19363
279,464.07983
280,464.0218
281,464.02347
282,464.08582
283,464.20596
284,464.37674
285,464.5874
286,464.8252
287,465.07816
288,465.3372
289,465.59848
290,465.86496
291,466.14545
292,466.45212
293,466.79602
294,467.18225
295,467.6061
296,468.0515
297,468.49283
298,468.90137
299,469.2526
300,469.53445
301,469.75287
302,469.93143
303,496.3742
304,496.05957
305,495.78455
306,495.55667
307,495.3714
308,495.21213
309,495.053
310,494.86472
311,494.62027
312,494.30057
313,493.897
314,493.41113
315,492.85223
316,492.23282
317,491.5642
318,490.85272
319,490.0972
320,489.28827
321,488.41064
322,487.4471
323,486.38312
324,485.21176
325,483.93564
326,482.56665
327,481.12302
328,479.62534
329,478.093
330,476.54065
331,474.97766
332,473.40823
333,471.83347
334,470.25366
335,468.66928
336,467.08163
337,465.49118
338,463.89667
339,462.29437
340,460.6789
341,459.04507
342,457.39072
343,455.7188
344,454.03815
345,452.363
346,450.71033
347,449.0968
348,447.53497
349,446.0311
350,444.5847
351,443.18954
352,441.83682
353,440.51752
354,439.2248
355,437.95438
356,436.70444
357,435.47388
358,434.26093
359,433.06265
360,431.8743
361,430.69138
362,429.51144
363,428.3364
364,427.17346
365,426.0337
366,424.9286
367,423.8651
368,422.8421
369,421.84912
370,420.86923
371,419.88437
372,418.88242
373,417.86145
374,416.83154
375,415.8117
376,414.8237
377,413.88553
378,413.0062
379,412.1849
380,411.41394
381,410.68423
382,409.9899
383,409.332
384,408.71848
385,408.1615
386,407.6738
387,407.2647
388,406.93753
389,406.68918
390,406.51123
391,406.3925
392,406.32132
393,406.28778
394,406.2841
395,406.3045
396,406.34415
397,406.39795
398,406.45996
399,406.52408
400,406.58502
401,406.6398
402,406.68884
403,406.7354
404,497.7438
405,497.68127
406,497.6217
407,497.5681
408,497.52402
409,497.4932
410,497.47845
411,497.48083
412,497.4987
413,497.52805
414,497.56305
415,497.59674
416,497.62198
417,497.63342
