,0
0,358.13354
1,358.17557
2,358.2226
3,358.26813
4,358.3043
5,358.32507
6,358.32758
7,358.314
8,358.28986
9,358.2621
10,358.23782
11,358.22354
12,358.2247
13,358.2474
14,358.29666
15,358.3748
16,358.47873
17,358.5997
18,358.7234
19,358.83542
20,358.9263
21,358.99377
22,359.04364
23,359.08527
24,359.1278
25,359.17435
26,359.22147
27,359.2588
28,359.27042
29,359.2389
30,359.14868
31,358.9919
32,358.76953
33,358.49106
34,358.17084
35,357.82535
36,357.46838
37,357.1096
38,356.75275
39,356.39563
40,356.02924
41,355.6412
42,355.21884
43,354.75296
44,354.2396
45,353.67957
46,353.0769
47,352.43582
48,351.75717
49,351.03763
50,350.27078
51,349.44867
52,348.56442
53,347.61267
54,346.59106
55,345.50003
56,344.3451
57,343.1392
58,341.90564
59,340.67682
60,339.4892
61,338.3725
62,337.3373
63,336.36426
64,335.4018
65,334.37405
66,333.2005
67,331.8174
68,330.197
69,328.35513
70,326.34818
71,324.26154
72,322.19174
73,320.23044
74,318.44904
75,316.8894
76,315.56064
77,314.4402
78,313.48282
79,312.63113
80,311.8292
81,311.0348
82,310.227
83,309.40872
84,308.60236
85,307.84222
86,307.1639
87,306.5954
88,306.1518
89,305.83276
90,305.62665
91,305.51627
92,305.4877
93,305.53787
94,305.67822
95,305.93448
96,306.33975
97,306.92175
98,307.68762
99,308.61215
100,309.63614
101,357.28616
102,357.28305
103,357.28098
104,357.27936
105,357.2772
106,357.2726
107,357.2641
108,357.2503
109,357.2331
110,357.21744
111,357.21204
112,357.22638
113,357.26712
114,357.3338
115,357.4173
116,357.50195
117,357.5714
118,357.6142
119,357.62897
120,357.62265
121,357.60504
122,357.5836
123,357.56088
124,357.53394
125,357.49738
126,357.44666
127,357.3794
128,357.29477
129,357.19247
130,357.07065
131,356.92615
132,356.7536
133,356.54852
134,356.30792
135,356.03244
136,355.72568
137,355.39435
138,355.04404
139,354.67838
140,354.29886
141,353.90482
142,353.4962
143,353.07645
144,352.65375
145,352.23993
146,351.84885
147,351.49173
148,351.1748
149,350.89734
150,350.6512
151,350.4235
152,350.19928
153,349.9639
154,349.70554
155,349.41565
156,349.09012
157,348.72852
158,348.33475
159,347.91602
160,347.4813
161,347.03973
162,346.59863
163,346.16464
164,345.74057
165,345.32758
166,344.9214
167,344.51215
168,344.0816
169,343.604
170,343.0485
171,342.38718
172,341.6051
173,340.7095
174,339.73434
175,338.73672
176,337.78473
177,336.9384
178,336.2289
179,335.64026
180,335.0984
181,334.4744
182,333.61337
183,332.38513
184,330.7489
185,328.79333
186,326.72604
187,324.80792
188,323.27005
189,322.2548
190,321.7968
191,321.82535
192,322.1727
193,322.60007
194,322.8535
195,322.73856
196,322.1732
197,321.1933
198,319.91287
199,318.4703
200,316.98398
201,315.53433
202,356.4012
203,356.37463
204,356.3528
205,356.33942
206,356.33688
207,356.34613
208,356.3671
209,356.39847
210,356.4381
211,356.4834
212,356.53125
213,356.57785
214,356.61954
215,356.6529
216,356.67725
217,356.6954
218,356.71463
219,356.74557
220,356.8008
221,356.89136
222,357.02515
223,357.2034
224,357.41962
225,357.65973
226,357.9009
227,358.1161
228,358.27887
229,358.36923
230,358.3788
231,358.3133
232,358.18942
233,358.02975
234,357.8541
235,357.67416
236,357.49005
237,357.2919
238,357.06406
239,356.79227
240,356.46817
241,356.092
242,355.67108
243,355.21576
244,354.73447
245,354.2308
246,353.7037
247,353.15012
248,352.5689
249,351.96588
250,351.35565
251,350.75964
252,350.20135
253,349.69943
254,349.26086
255,348.8769
256,348.52298
257,348.1653
258,347.76932
259,347.30963
260,346.77585
261,346.172
262,345.51053
263,344.80432
264,344.0592
265,343.27237
266,342.43643
267,341.547
268,340.60883
269,339.63864
270,338.66223
271,337.70697
272,336.79395
273,335.93082
274,335.10892
275,334.3065
276,333.49457
277,332.64764
278,331.75015
279,330.8009
280,329.813
281,328.81174
282,327.82858
283,326.8945
284,326.0329
285,325.25146
286,324.53793
287,323.86188
288,323.182
289,322.4593
290,321.6701
291,320.81567
