,0
0,267.6394
1,267.96997
2,268.34543
3,268.6934
4,268.98328
5,269.2195
6,269.423
7,269.61035
8,269.78293
9,269.93112
10,270.04443
11,270.12158
12,270.17142
13,270.208
14,270.24347
15,270.28467
16,270.33206
17,270.38034
18,270.41885
19,270.4329
20,270.40622
21,270.32568
22,270.185
23,269.9875
24,269.74615
25,269.4806
26,269.2143
27,268.97128
28,268.7728
29,268.63443
30,268.5639
31,268.56012
32,268.61258
33,268.70322
34,268.81018
35,268.91205
36,268.99347
37,269.0489
38,269.0829
39,269.10742
40,269.13733
41,269.184
42,269.25217
43,269.33942
44,269.43863
45,269.54153
46,269.64206
47,269.73727
48,269.82648
49,269.90942
50,269.98535
51,270.05255
52,270.1098
53,270.15805
54,270.20065
55,270.24313
56,270.29172
57,270.35178
58,270.42572
59,270.5123
60,270.60608
61,270.6993
62,270.7831
63,270.8508
64,270.89914
65,270.9296
66,270.94733
67,270.96017
68,270.97543
69,270.99847
70,271.03073
71,271.07034
72,271.11328
73,271.15543
74,271.19467
75,271.23096
76,271.26566
77,271.2994
78,271.33102
79,271.35547
80,271.36536
81,271.35135
82,271.30548
83,271.22345
84,271.1071
85,270.96454
86,270.8087
87,270.6545
88,270.51605
89,270.40295
90,270.31735
91,270.25098
92,270.1846
93,270.0927
94,269.9511
95,269.74564
96,269.4774
97,269.1611
98,268.81937
99,268.47458
100,268.14343
101,270.35648
102,270.35324
103,270.34695
104,270.33417
105,270.31546
106,270.29477
107,270.27823
108,270.27164
109,270.27887
110,270.3003
111,270.33264
112,270.36957
113,270.40182
114,270.41843
115,270.40836
116,270.36258
117,270.27682
118,270.15414
119,270.00616
120,269.85028
121,269.70633
122,269.5912
123,269.51456
124,269.4777
125,269.4742
126,269.49377
127,269.5254
128,269.56073
129,269.5952
130,269.6272
131,269.6572
132,269.6856
133,269.7134
134,269.74286
135,269.77878
136,269.829
137,269.9025
138,270.0067
139,270.14474
140,270.31366
141,270.50412
142,270.70227
143,270.89157
144,271.05457
145,271.17587
146,271.24463
147,271.2579
148,271.22318
149,271.15848
150,271.0898
151,271.04572
152,271.05017
153,271.11722
154,271.24744
155,271.4285
156,271.63852
157,271.8513
158,272.0425
159,272.19412
160,272.29703
161,272.35202
162,272.36758
163,272.35757
164,272.33804
165,272.3252
166,272.33234
167,272.36874
168,272.43762
