,0
0,373.32584
1,373.40082
2,373.47046
3,373.53168
4,373.58783
5,373.647
6,373.71957
7,373.8129
8,373.929
9,374.06384
10,374.2106
11,374.36215
12,374.51517
13,374.67
14,374.82947
15,374.9964
16,375.171
17,375.34866
18,375.52167
19,375.68002
20,375.8139
21,375.9157
22,375.9794
23,376.00174
24,375.97983
25,375.9111
26,375.7938
27,375.62744
28,375.4134
29,375.15494
30,374.8572
31,374.52588
32,374.16708
33,373.7867
34,373.39117
35,372.98688
36,372.579
37,372.17014
38,371.75934
39,371.34225
40,370.91248
41,370.46387
42,369.9914
43,369.49176
44,368.96133
45,368.39462
46,367.7832
47,367.11652
48,366.38425
49,365.57855
50,364.6962
51,363.73868
52,362.71136
53,361.62256
54,360.48163
55,359.29868
56,358.08292
57,356.84238
58,355.58398
59,354.31253
60,353.03156
61,351.7429
62,350.4449
63,349.13266
64,347.79605
65,346.42184
66,344.99603
67,343.50806
68,341.9557
69,340.3476
70,338.7028
71,337.0481
72,335.4128
73,333.82373
74,332.30154
75,330.85748
76,329.49316
77,328.2015
78,326.9712
79,325.79047
80,324.65372
81,323.56308
82,322.52988
83,321.57025
84,320.70093
85,319.93295
86,319.26794
87,318.69833
88,318.2091
89,317.78284
90,317.4038
91,317.05966
92,316.74127
93,316.44107
94,316.15106
95,315.86304
96,315.56866
97,315.26297
98,314.9459
99,314.6236
100,314.3072
101,374.671
102,374.70715
103,374.7539
104,374.8129
105,374.88385
106,374.96497
107,375.05222
108,375.14102
109,375.22678
110,375.30536
111,375.37396
112,375.43195
113,375.47876
114,375.51437
115,375.5369
116,375.5422
117,375.5244
118,375.4759
119,375.39133
120,375.2694
121,375.11627
122,374.94577
123,374.77805
124,374.635
125,374.53455
126,374.48764
127,374.4968
128,374.55753
129,374.66074
130,374.79312
131,374.93546
132,375.0602
133,375.13165
134,375.1088
135,374.9523
136,374.63312
137,374.14005
138,373.4835
139,372.6936
140,371.81418
141,370.8927
142,369.9705
143,369.0762
144,368.22052
145,367.39853
146,366.59244
147,365.77814
148,364.93124
149,364.03122
150,363.06686
151,362.03674
152,360.94882
153,359.8187
154,358.66455
155,357.50314
156,356.3463
157,355.1987
158,354.0586
159,352.92007
160,351.77658
161,350.62625
162,349.47418
163,348.33365
164,347.22293
165,346.16016
166,345.15643
167,344.2128
168,343.32013
169,342.46265
170,341.62415
171,340.79355
172,339.96796
173,339.15244
174,338.3571
175,337.5936
176,336.87097
177,336.19434
178,335.56445
179,334.97906
180,334.43463
181,333.92865
182,333.45975
183,333.02737
184,332.63092
185,332.2681
186,331.93436
187,331.6246
188,331.33432
189,331.06116
190,330.80484
191,330.56512
192,330.33896
193,330.1191
194,329.89566
195,329.65985
196,329.40967
197,329.15158
198,328.89902
199,328.66592
200,328.45926
201,328.27682
202,376.40256
203,376.3793
204,376.3618
205,376.35306
206,376.3532
207,376.35907
208,376.36664
209,376.37207
210,376.37396
211,376.37314
212,376.3721
213,376.37415
214,376.38132
215,376.39398
216,376.41183
217,376.43375
218,376.46112
219,376.4969
220,376.54572
221,376.61084
222,376.69278
223,376.78632
224,376.8822
225,376.9689
226,377.03696
227,377.08118
228,377.10193
229,377.104
230,377.0949
231,377.08102
232,377.0682
233,377.0594
234,377.05444
235,377.04965
236,377.0373
237,377.00684
238,376.94678
239,376.84943
240,376.7124
241,376.54086
242,376.34653
243,376.1438
244,375.94635
245,375.76254
246,375.59308
247,375.43066
248,375.263
249,375.07568
250,374.85553
251,374.59402
252,374.2865
253,373.93216
254,373.53146
255,373.0849
256,372.59348
257,372.05902
258,371.48788
259,370.88962
260,370.2773
261,369.6629
262,369.05276
263,368.44397
264,367.8242
265,367.17438
266,366.47443
267,365.70804
268,364.86584
269,363.94574
270,362.9493
271,361.87885
272,360.73392
273,359.511
274,358.20428
275,356.81015
276,355.33066
277,353.77744
278,352.17032
279,350.5337
280,348.88806
281,347.24347
282,345.5973
283,343.93787
284,342.254
285,340.54285
286,338.816
287,337.09756
288,335.41727
289,333.80374
290,332.27765
291,330.8483
292,329.5126
293,328.25687
294,327.06073
295,325.9047
296,324.77637
297,323.67484
298,322.60986
299,321.5969
300,320.64862
301,319.768
302,318.94492
303,376.47095
304,376.69788
305,376.9
306,377.0492
307,377.13074
308,377.14664
309,377.11523
310,377.06485
311,377.02496
312,377.01758
313,377.0501
314,377.11414
315,377.1899
316,377.25443
317,377.29224
318,377.30133
319,377.29446
320,377.29333
321,377.31854
322,377.38065
323,377.47507
324,377.5835
325,377.68042
326,377.74078
327,377.7491
328,377.70297
329,377.61417
330,377.50415
331,377.39767
332,377.31644
333,377.27252
334,377.2675
335,377.29163
336,377.32745
337,377.35443
338,377.3524
339,377.30615
340,377.206
341,377.0482
342,376.83337
343,376.5648
344,376.2464
345,375.88144
346,375.4724
347,375.0213
348,374.52936
349,373.9996
350,373.43762
351,372.853
352,372.2588
353,371.6702
354,371.10217
355,370.56497
356,370.06256
357,369.59174
358,369.14426
359,368.71094
360,368.28677
361,367.87405
362,367.4812
363,367.11905
364,366.79367
365,366.50195
366,366.22955
367,365.9548
368,365.65424
369,365.30862
370,364.90732
371,364.44876
372,363.93845
373,363.38565
374,362.80035
375,362.19025
376,361.56073
377,360.91608
378,360.26108
379,359.60382
380,358.95706
381,358.3381
382,357.76547
383,357.25604
384,356.8195
385,356.45663
386,356.15894
387,355.91083
388,355.695
389,355.49728
390,355.31
391,355.13358
392,354.9761
393,354.84967
394,354.76633
395,354.73105
396,354.73737
397,354.76474
398,354.78107
399,354.75043
400,354.64487
401,354.45493
402,354.19565
403,353.90356
404,375.2767
405,375.31198
406,375.34354
407,375.36804
408,375.3834
409,375.39023
410,375.3906
411,375.3883
412,375.3884
413,375.3959
414,375.4155
415,375.44992
416,375.49933
417,375.56238
418,375.63535
419,375.71478
420,375.79688
421,375.87927
422,375.96036
423,376.03897
424,376.11404
425,376.18362
426,376.2456
427,376.29736
428,376.33728
429,376.36496
430,376.38113
431,376.38626
432,376.37946
433,376.357
434,376.31155
435,376.2333
436,376.11142
437,375.93695
438,375.70508
439,375.41574
440,375.07373
441,374.6886
442,374.27228
443,373.83667
444,373.38992
445,372.93408
446,372.46234
447,371.95972
448,371.40652
449,370.7821
450,370.06833
451,369.25293
452,368.32758
453,367.28732
454,366.12592
455,364.83643
456,363.4125
457,361.8533
458,360.1678
459,358.3773
460,356.5135
461,354.61224
462,352.70602
463,350.81943
464,348.96786
465,347.16086
466,345.40625
467,343.71167
468,342.0818
469,340.51114
470,338.97623
471,337.43503
472,335.83466
473,334.13156
474,332.31583
475,330.4318
476,328.58713
477,326.9407
478,325.66772
479,324.90137
480,324.6677
481,324.8417
482,325.1568
483,325.27917
484,324.91943
485,323.93274
486,322.36462
487,320.42905
488,318.4317
489,316.67313
490,315.3656
491,314.58786
492,314.28748
493,314.32132
494,314.51434
495,314.71255
496,314.81488
497,314.7786
498,314.6058
499,314.32114
500,313.95294
501,313.52313
502,313.0475
503,312.54044
504,312.02197
505,377.35315
506,377.38507
507,377.41803
508,377.45218
509,377.4898
510,377.5355
511,377.593
512,377.66434
513,377.7482
514,377.83932
515,377.93005
516,378.01273
517,378.08133
518,378.13354
519,378.1695
520,378.19162
521,378.20236
522,378.20227
523,378.19006
524,378.16272
525,378.11832
526,378.05682
527,377.98215
528,377.90234
529,377.8268
