,0
0,259.35184
1,259.6753
2,260.02933
3,260.38788
4,260.73776
5,261.07922
6,261.42203
7,261.78046
8,262.16727
9,262.58954
10,263.04556
11,263.5257
12,264.01315
13,264.4881
14,264.9315
15,265.3288
16,265.6711
17,265.95572
18,266.18344
19,266.3568
20,266.47842
21,266.55142
22,266.58118
23,266.57614
24,266.54877
25,266.51312
26,266.48254
27,266.46704
28,266.47168
29,266.4965
30,266.5369
31,266.58597
32,266.63562
33,266.6783
34,266.7086
35,266.7236
36,266.72403
37,266.71393
38,266.69992
39,266.6888
40,266.68616
41,266.69376
42,266.70993
43,266.7305
44,266.75052
45,266.76678
46,266.7783
47,266.7866
48,266.7938
49,266.80118
50,266.80856
51,266.81412
52,266.81577
53,266.8125
54,266.80508
55,266.79648
56,266.79065
57,266.791
58,266.79907
59,266.81482
60,266.8365
61,266.86252
62,266.89224
63,266.92563
64,266.9628
65,267.00275
66,267.04263
67,267.07834
68,267.10556
69,267.12137
70,267.12637
71,267.12424
72,267.12143
73,267.1253
74,267.14166
75,267.1739
76,267.2222
77,267.2851
78,267.35934
79,267.44138
80,267.5265
81,267.60944
82,267.6852
83,267.75113
84,267.80896
85,267.86646
86,267.93686
87,268.0349
88,268.17062
89,268.34222
90,268.53098
91,268.7013
92,268.80753
93,268.80472
94,268.66074
95,268.36374
96,267.924
97,267.369
98,266.73608
99,266.0643
100,265.38977
101,266.80145
102,266.93414
103,267.0632
104,267.18158
105,267.28156
106,267.35474
107,267.39432
108,267.39676
109,267.36334
110,267.30173
111,267.22495
112,267.14874
113,267.0876
114,267.0487
115,267.02887
116,267.01358
117,266.9806
118,266.9081
119,266.78268
120,266.60693
121,266.4009
122,266.1972
123,266.03043
124,265.92548
125,265.89017
126,265.91342
127,265.9714
128,266.03583
129,266.0826
130,266.09686
131,266.0753
132,266.0256
133,265.96426
134,265.9128
135,265.893
136,265.92184
137,266.0069
138,266.14487
139,266.3226
140,266.52057
141,266.7176
142,266.8955
143,267.04065
144,267.14536
145,267.20667
146,267.22552
147,267.20596
148,267.15475
149,267.08182
150,266.99844
151,266.9164
152,266.8464
153,266.79596
154,266.7686
155,266.7634
156,266.776
157,266.79984
158,266.82794
159,266.85446
160,266.87518
161,266.88696
162,266.88745
163,266.87357
164,266.84174
165,266.78864
166,266.71356
167,266.61984
168,266.51672
169,266.41754
170,266.33774
171,266.28955
172,266.27884
173,266.30237
174,266.34814
175,266.39783
176,266.432
177,266.4358
178,266.4034
179,266.34036
180,266.26236
181,266.1906
182,266.14627
183,266.14484
184,266.1918
185,266.28235
186,266.40424
187,266.54153
188,266.6792
189,266.8048
190,266.9091
191,266.98428
192,267.02423
193,267.0244
194,266.98306
195,266.9031
196,266.79288
197,266.6676
198,266.54706
199,266.4516
200,266.39594
201,266.3828
202,258.5401
203,258.4648
204,258.3965
205,258.3401
206,258.29742
207,258.26886
208,258.25266
209,258.24667
210,258.24808
211,258.25424
212,258.26288
213,258.2721
214,258.28094
215,258.28955
216,258.29813
217,258.30725
218,258.3164
219,258.32382
220,258.32733
221,258.32532
222,258.31827
223,258.30917
224,258.30435
225,258.3115
226,258.3383
227,258.39026
228,258.4685
229,258.56842
230,258.67865
231,258.78345
232,258.86588
233,258.91434
234,258.92734
235,258.91714
236,258.9082
237,258.93152
238,259.0155
239,259.17615
240,259.41064
241,259.69614
242,259.9961
243,260.27164
244,260.4934
245,260.65005
246,260.75073
247,260.8189
248,260.8827
249,260.9641
250,261.07278
251,261.2039
252,261.34338
253,261.4749
254,261.58685
255,261.67725
256,261.7531
257,261.82785
258,261.91537
259,262.0258
260,262.1615
261,262.31653
262,262.47897
263,262.6346
264,262.77106
265,262.8818
266,262.9677
267,263.03677
268,263.1023
269,263.17905
270,263.28043
271,263.41467
272,263.5841
273,263.78384
274,264.00394
275,264.23236
276,264.45813
277,264.67474
278,264.88174
279,265.08554
280,265.29785
281,265.5322
282,265.79898
283,266.1003
284,266.42862
285,266.768
286,267.0982
287,267.39917
288,267.65454
289,267.853
290,267.9896
291,268.06738
292,268.0981
293,268.10132
294,268.10046
295,268.11688
296,268.16394
297,268.24496
298,268.35382
299,268.48035
300,268.61588
301,268.75638
302,268.9021
303,267.5974
304,267.80988
305,268.0481
306,268.2658
307,268.41705
308,268.47217
309,268.42508
310,268.29065
311,268.09534
312,267.86853
313,267.63712
314,267.42435
315,267.24774
316,267.11966
317,267.045
318,267.02197
319,267.04266
320,267.09604
321,267.16953
322,267.25134
323,267.3303
324,267.39618
325,267.44064
326,267.45917
327,267.45294
328,267.42963
329,267.40198
330,267.38425
331,267.38818
332,267.41815
333,267.4699
334,267.5303
335,267.58127
336,267.60455
337,267.58713
338,267.525
339,267.42392
340,267.29663
341,267.15768
342,267.01913
343,266.88812
344,266.76782
345,266.66122
346,266.5733
347,266.51154
348,266.48413
349,266.49548
350,266.54337
351,266.6181
352,266.70563
353,266.7915
354,266.8654
355,266.92422
356,266.97086
357,267.01126
358,267.05124
359,267.09335
360,267.1355
361,267.1714
362,267.19327
363,267.19373
364,267.1681
365,267.1163
366,267.04294
367,266.9564
368,266.86783
369,266.78925
370,266.73224
371,266.70624
372,266.71716
373,266.76663
374,266.85132
375,266.96423
376,267.0956
377,267.23538
378,267.37424
379,267.50418
380,267.61923
381,267.7143
382,267.78638
383,267.83514
384,267.86414
385,267.88077
386,267.89523
387,267.9183
388,267.95813
389,268.01712
390,268.0915
391,268.17133
392,268.2428
393,268.29187
394,268.3072
395,268.28366
396,268.22388
397,268.13898
398,268.04663
399,267.96777
400,267.92062
401,267.91464
402,267.94724
403,268.00385
404,258.27936
405,258.24606
406,258.22726
407,258.23474
408,258.2891
409,258.41714
410,258.645
411,258.9891
412,259.4498
413,260.0128
414,260.65463
415,261.3516
416,262.0851
417,262.84146
418,263.60767
419,264.36435
420,265.08286
421,265.72626
422,266.25638
423,266.64337
424,266.87466
425,266.95837
426,266.9223
427,266.80566
428,266.65054
429,266.49304
430,266.35928
431,266.26404
432,266.21143
433,266.1981
434,266.21738
435,266.26218
436,266.32846
437,266.41556
438,266.5254
439,266.6593
440,266.81537
441,266.98642
442,267.16013
443,267.32156
444,267.45657
445,267.55487
446,267.61273
447,267.63354
448,267.62598
449,267.60178
450,267.57278
451,267.54794
452,267.5319
453,267.52435
454,267.52203
455,267.52008
456,267.515
457,267.50552
458,267.49316
459,267.481
460,267.47177
461,267.4672
462,267.4671
463,267.47055
464,267.47736
465,267.48807
466,267.5052
467,267.5308
468,267.5657
469,267.6084
470,267.65433
471,267.69727
472,267.7313
473,267.75253
474,267.76053
475,267.75803
476,267.74966
477,267.7405
478,267.73398
479,267.73087
480,267.7287
481,267.7217
482,267.7027
483,267.6644
484,267.60165
485,267.5139
486,267.40668
487,267.29144
488,267.18372
489,267.10016
490,267.05298
491,267.04474
492,267.0648
493,267.0885
494,267.08072
495,267.00333
496,266.82425
497,266.52722
498,266.11752
499,265.62363
500,265.09192
501,264.57538
502,264.11847
503,263.74335
504,263.44174
505,262.0899
506,262.10883
507,262.14645
508,262.21097
509,262.30035
510,262.40207
511,262.4982
512,262.5722
513,262.61664
514,262.63608
515,262.6459
516,262.6655
517,262.7104
518,262.7866
519,262.8895
520,263.00723
521,263.12686
522,263.23972
523,263.3431
524,263.43997
525,263.5348
526,263.63092
527,263.7284
528,263.82397
529,263.91275
530,263.99017
531,264.054
532,264.10522
533,264.14767
534,264.1866
535,264.227
536,264.27243
537,264.32468
538,264.3849
539,264.45456
540,264.53473
541,264.62616
542,264.727
543,264.83395
544,264.94214
545,265.0474
546,265.1462
547,265.23773
548,265.32367
549,265.40933
550,265.5021
551,265.6108
552,265.7422
553,265.89954
554,266.08115
555,266.28043
556,266.4881
557,266.69324
558,266.8855
559,267.0567
560,267.20175
561,267.31958
562,267.41278
563,267.48618
564,267.54578
565,267.5963
566,267.64017
567,267.6769
568,267.70325
569,267.7149
570,267.70792
571,267.68124
572,267.6383
573,267.5872
574,267.53943
575,267.50723
576,267.5002
577,267.5228
578,267.57407
579,267.6487
580,267.73993
581,267.8417
582,267.95023
583,268.06396
584,268.18213
585,268.30328
586,268.42383
587,268.53818
588,268.63895
