,0
0,271.29425
1,271.40933
2,271.53308
3,271.66656
4,271.80972
5,271.9616
6,272.11935
7,272.2792
8,272.43738
9,272.5903
10,272.73642
11,272.8765
12,273.0131
13,273.14972
14,273.28873
15,273.43
16,273.5707
17,273.70547
18,273.82883
19,273.93768
20,274.03195
21,274.115
22,274.19147
23,274.26657
24,274.34286
25,274.42117
26,274.49973
27,274.57565
28,274.64597
29,274.70886
30,274.76434
31,274.81458
32,274.86353
33,274.91666
34,274.97888
35,275.05338
36,275.14017
37,275.23587
38,275.334
39,275.42676
40,275.50723
41,275.57138
42,275.61945
43,275.65546
44,275.68616
45,275.71844
46,275.7581
47,275.80826
48,275.86975
49,275.94205
50,276.0241
51,276.1157
52,276.21707
53,276.32877
54,276.4502
55,276.57962
56,276.71326
57,276.84583
58,276.97144
59,277.0851
60,277.18457
61,277.27133
62,277.35056
63,277.42932
64,277.5148
65,277.61047
66,277.7149
67,277.821
68,277.91724
69,277.99115
70,278.03265
71,278.0367
72,278.00482
73,277.94492
74,277.86917
75,277.79178
76,277.72546
77,277.6787
78,277.65363
79,277.64517
80,277.64252
81,277.63138
82,277.5984
83,277.53412
84,277.43677
85,277.31268
86,277.17377
87,277.0333
88,276.8997
89,276.77313
90,276.64606
91,276.50732
92,276.34964
93,276.17545
94,275.99722
95,275.832
96,275.69296
97,275.58353
98,275.49893
99,275.43176
100,275.3776
101,268.5065
102,268.5291
103,268.5503
104,268.57074
105,268.59192
106,268.615
107,268.64035
108,268.6671
109,268.6933
110,268.71823
111,268.7429
112,268.77112
113,268.81052
114,268.87033
115,268.95987
116,269.08725
117,269.25687
118,269.46896
119,269.71954
120,270.0016
121,270.3072
122,270.62973
123,270.9655
124,271.3136
125,271.6737
126,272.04382
127,272.41782
128,272.78497
129,273.13327
130,273.4517
131,273.7343
132,273.98172
133,274.19925
134,274.39532
135,274.57733
136,274.75055
137,274.91776
138,275.0803
139,275.2405
140,275.401
141,275.56372
142,275.72836
143,275.88983
144,276.03915
145,276.16483
146,276.25735
147,276.313
148,276.33636
149,276.34036
150,276.34247
151,276.35864
152,276.3987
153,276.46304
154,276.54388
155,276.62955
156,276.70892
157,276.77502
158,276.82623
159,276.8658
160,276.8998
161,276.9355
162,276.97955
163,277.03735
164,277.1123
165,277.2058
166,277.31833
167,277.4497
168,277.59976
169,277.76813
170,277.953
171,278.1507
172,278.35526
173,278.55942
174,278.75635
175,278.942
176,279.11655
177,279.28543
178,279.4582
179,279.64572
180,279.85608
181,280.08923
182,280.3343
183,280.5695
184,280.7677
185,280.90405
186,280.9638
187,280.9468
188,280.86655
189,280.74432
190,280.60117
191,280.45108
192,280.29852
193,280.14157
194,279.9767
195,279.80475
196,279.63254
197,279.47263
198,279.33923
199,279.24396
200,279.19174
201,279.17908
202,271.62756
203,271.66977
204,271.70364
205,271.72256
206,271.7242
207,271.71152
208,271.6905
209,271.6687
210,271.65237
211,271.64493
212,271.64664
213,271.6548
214,271.6653
215,271.6736
216,271.67624
217,271.67154
218,271.65967
219,271.6424
220,271.62244
221,271.6025
222,271.5846
223,271.56982
224,271.5582
225,271.54886
226,271.54
227,271.5306
228,271.5198
229,271.5084
230,271.49863
231,271.4938
232,271.498
233,271.51492
234,271.54663
235,271.5931
236,271.65106
237,271.71414
238,271.77405
239,271.82275
240,271.8548
241,271.86884
242,271.86865
243,271.86154
244,271.85614
245,271.8587
246,271.87186
247,271.89343
248,271.91843
249,271.9404
250,271.95447
251,271.95828
252,271.95166
253,271.93674
254,271.9165
255,271.89465
256,271.875
257,271.86105
258,271.85504
259,271.8573
260,271.8662
261,271.8781
262,271.88892
263,271.89542
264,271.89612
265,271.89197
266,271.8851
267,271.8784
268,271.87408
269,271.87335
270,271.87637
271,271.88272
272,271.89133
273,271.9016
274,271.91263
275,271.92447
276,271.9381
277,271.95462
278,271.97513
279,271.99908
280,272.024
281,272.04593
282,272.06155
283,272.06903
284,272.06943
285,272.06546
286,272.05997
287,272.05472
288,272.0506
289,272.0482
290,272.04855
291,272.05273
292,272.0602
293,272.0687
294,272.07407
295,272.0727
296,272.06302
297,272.0468
298,272.02884
299,272.01617
300,272.0168
301,272.03873
302,272.08813
303,269.61295
304,269.63684
305,269.66232
306,269.6892
307,269.71686
308,269.74472
309,269.772
310,269.7978
311,269.82193
312,269.8446
313,269.86777
314,269.89355
315,269.9244
316,269.96143
317,270.00348
318,270.04718
319,270.08743
320,270.11887
321,270.13736
322,270.14328
323,270.14212
324,270.1446
325,270.16577
326,270.2218
327,270.3264
328,270.48627
329,270.69952
330,270.95728
331,271.2477
332,271.5613
333,271.89337
334,272.2412
335,272.59927
336,272.95416
337,273.28555
338,273.57233
339,273.80106
340,273.97092
341,274.09375
342,274.18896
343,274.27667
344,274.37167
345,274.48108
346,274.60455
347,274.7366
348,274.86954
349,274.9959
350,275.10968
351,275.20755
352,275.289
353,275.35678
354,275.41672
355,275.47595
356,275.54138
357,275.61694
358,275.70172
359,275.78882
360,275.86777
361,275.9285
362,275.96573
363,275.983
364,275.99274
365,276.01404
366,276.0669
367,276.16702
368,276.32062
369,276.52252
370,276.7575
371,277.00403
372,277.24045
373,277.4507
374,277.6278
375,277.7743
376,277.90015
377,278.01874
378,278.1422
379,278.27753
380,278.42352
381,278.5703
382,278.70126
383,278.7982
384,278.84732
385,278.84613
386,278.80728
387,278.75943
388,278.74268
389,278.798
390,278.95258
391,279.20697
392,279.52975
393,279.8655
394,280.152
395,280.33948
396,280.40402
397,280.35123
398,280.2113
399,280.0278
400,279.844
401,279.69147
402,279.58438
403,279.5197
404,269.711
405,269.71918
406,269.73203
407,269.75174
408,269.7777
409,269.80667
410,269.83377
411,269.85425
412,269.86545
413,269.86783
414,269.86472
415,269.86115
416,269.8629
417,269.8742
418,269.89648
419,269.92847
420,269.966
421,270.00403
422,270.03714
423,270.06174
424,270.07706
425,270.08536
426,270.0919
427,270.1037
428,270.12772
429,270.16956
430,270.2318
431,270.314
432,270.4133
433,270.52667
434,270.65213
435,270.78955
436,270.94025
437,271.10504
438,271.28174
439,271.46527
440,271.64685
441,271.81763
442,271.97064
443,272.10382
444,272.2205
445,272.32877
446,272.43857
