,0
0,356.72006
1,356.8874
2,357.05334
3,357.2173
4,357.3788
5,357.53778
6,357.69437
7,357.84958
8,358.00464
9,358.16068
10,358.31943
11,358.48126
12,358.6465
13,358.81406
14,358.9822
15,359.14862
16,359.3111
17,359.46796
18,359.61804
19,359.76093
20,359.89664
21,360.0234
22,360.13745
23,360.23062
24,360.29056
25,360.301
26,360.24454
27,360.10583
28,359.8747
29,359.54752
30,359.12766
31,358.62317
32,358.04398
33,357.39917
34,356.6954
35,355.937
36,355.12796
37,354.27396
38,353.38373
39,352.4696
40,351.54547
41,350.62534
42,349.72028
43,348.83627
44,347.97113
45,347.11423
46,346.24713
47,345.3477
48,344.39496
49,343.3755
50,342.28662
51,341.138
52,339.9472
53,338.7363
54,337.52527
55,336.32846
56,335.15274
57,333.999
58,332.86465
59,331.74777
60,330.64893
61,329.57254
62,328.52557
63,327.5155
64,326.54825
65,325.62692
66,324.75223
67,323.9235
68,323.14035
69,322.40463
70,321.72128
71,321.0965
72,320.5368
73,320.0468
74,319.62704
75,319.2745
76,318.98273
77,318.7417
78,318.5366
79,318.3493
80,318.1608
81,317.95828
82,317.74158
83,317.52432
84,317.3305
85,317.18466
86,317.10345
87,317.09073
88,317.13843
89,317.232
90,317.3562
91,317.5
92,317.65726
93,317.82394
94,317.99384
95,318.1564
96,318.29776
97,318.4056
98,318.47516
99,318.51224
100,318.53305
101,355.7403
102,355.75604
103,355.7665
104,355.76895
105,355.7651
106,355.75922
107,355.75723
108,355.76266
109,355.77634
110,355.79535
111,355.81586
112,355.8343
113,355.8509
114,355.86926
115,355.89575
116,355.9387
117,356.0054
118,356.10077
119,356.2262
120,356.37994
121,356.5584
122,356.75742
123,356.9733
124,357.20303
125,357.4438
126,357.69257
127,357.94586
128,358.1991
129,358.44788
130,358.68842
131,358.91815
132,359.1349
133,359.33737
134,359.52246
135,359.68448
136,359.81387
137,359.89838
138,359.9243
139,359.8787
140,359.75308
141,359.54367
142,359.25262
143,358.8857
144,358.4522
145,357.9608
146,357.41956
147,356.83374
148,356.20523
149,355.53317
150,354.81482
151,354.04837
152,353.23486
153,352.37933
154,351.49115
155,350.58215
156,349.6644
157,348.7459
158,347.828
159,346.90323
160,345.95728
161,344.97357
162,343.9395
163,342.85284
164,341.72552
165,340.58466
166,339.47003
167,338.42838
168,337.50552
169,336.73904
170,336.151
171,335.74536
172,335.50775
173,335.4098
174,335.41516
175,335.48663
176,335.5919
177,335.70557
178,335.80933
179,335.89026
180,335.93817
181,335.94598
182,335.90973
183,335.82825
184,335.70148
185,335.52994
186,335.31375
187,335.05814
188,334.77625
189,334.4911
190,334.2303
191,334.01797
192,333.86615
193,333.77103
194,333.71222
195,333.65692
196,333.567
197,333.40787
198,333.16022
199,332.8282
200,332.44168
201,332.0487
202,358.38193
203,358.38647
204,358.41043
205,358.46695
206,358.56335
207,358.69916
208,358.86737
209,359.058
210,359.26074
211,359.46786
212,359.67535
213,359.8832
214,360.09177
215,360.30103
216,360.50708
217,360.70145
218,360.87122
219,361.00223
220,361.08124
221,361.0998
222,361.05597
223,360.9538
224,360.80148
225,360.60867
226,360.38284
227,360.1264
228,359.83768
229,359.51077
230,359.1388
231,358.71536
232,358.23727
233,357.7045
234,357.1195
235,356.48508
236,355.8041
237,355.0779
238,354.30856
239,353.4991
240,352.65668
241,351.79092
242,350.9132
243,350.034
244,349.16003
245,348.29337
246,347.4321
247,346.5719
248,345.70767
249,344.8349
250,343.95004
251,343.05032
252,342.1338
253,341.19977
254,340.25107
255,339.29382
256,338.3377
257,337.39484
258,336.47626
259,335.58902
260,334.73413
261,333.90564
262,333.0933
263,332.2858
264,331.47543
265,330.6612
266,329.84982
267,329.0537
268,328.28815
269,327.56778
270,326.9053
271,326.30988
272,325.78815
273,325.3447
274,324.98578
275,324.72144
276,324.56882
277,324.54892
278,324.68018
279,324.96686
280,325.39188
281,325.91666
282,326.48743
283,327.04468
284,327.52917
285,327.8854
286,328.0677
287,328.05072
288,327.84247
289,327.48996
290,327.07187
291,326.6789
292,326.38992
293,326.25528
294,326.2916
295,326.4857
296,326.80273
297,327.1951
298,327.6106
299,328.00424
300,328.34985
301,328.64746
302,328.92184
303,357.3886
304,357.32983
305,357.28125
306,357.24728
307,357.22736
308,357.21692
309,357.20953
310,357.1987
311,357.18027
312,357.15408
313,357.1232
314,357.09314
315,357.07007
316,357.05893
317,357.06253
318,357.08066
319,357.10986
320,357.1446
321,357.17813
322,357.20517
323,357.22336
324,357.23495
325,357.2469
326,357.26953
327,357.316
328,357.39948
329,357.53165
330,357.7203
331,357.96848
332,358.27338
333,358.6269
334,359.01685
335,359.4293
336,359.85007
337,360.26602
338,360.66653
339,361.0444
340,361.39432
341,361.71323
342,361.99893
343,362.25018
344,362.46622
345,362.64832
346,362.7986
347,362.91962
348,363.01123
349,363.06934
350,363.0862
351,363.05078
352,362.9523
353,362.7845
354,362.54697
355,362.24564
356,361.88928
357,361.48645
358,361.04108
359,360.5513
360,360.0108
361,359.41138
362,358.746
363,358.01266
364,357.2156
365,356.36633
366,355.48126
367,354.5774
368,353.66763
369,352.75586
370,351.83575
371,350.89432
372,349.91748
373,348.89883
374,347.84415
375,346.77307
376,345.71652
377,344.71033
378,343.7887
379,342.97858
380,342.29648
381,341.74707
382,341.32538
383,341.0184
384,340.80743
385,340.6697
386,340.58072
387,340.516
388,340.4549
389,340.38162
390,340.28574
391,340.1593
392,339.99484
393,339.78415
394,339.51965
395,339.1989
396,338.82776
397,338.4211
398,338.00104
399,337.59198
400,337.21378
401,336.8768
402,336.57806
403,336.3025
404,357.65863
405,357.66364
406,357.67453
407,357.68652
408,357.69296
409,357.68707
410,357.6647
411,357.62613
412,357.5754
413,357.52005
414,357.4683
415,357.42535
416,357.39325
417,357.36987
418,357.35068
419,357.33273
420,357.31552
421,357.30212
422,357.29697
423,357.30362
424,357.32138
425,357.34546
426,357.36642
427,357.37393
428,357.36002
429,357.3217
430,357.2628
431,357.19366
432,357.1286
433,357.08264
434,357.06796
435,357.09164
436,357.1547
437,357.25235
438,357.37622
439,357.51627
440,357.66388
441,357.81274
442,357.96033
443,358.1075
444,358.25705
445,358.41177
446,358.57208
447,358.73514
448,358.89377
449,359.03854
450,359.1598
451,359.25003
452,359.3051
453,359.32425
454,359.30908
455,359.26166
456,359.18216
457,359.06757
458,358.91074
459,358.7013
460,358.42743
461,358.07886
462,357.6498
463,357.14008
464,356.5563
465,355.90915
466,355.21112
467,354.47302
468,353.70163
469,352.89932
470,352.06598
471,351.20032
472,350.3042
473,349.38278
474,348.44513
475,347.50003
476,346.55344
477,345.6042
478,344.6428
479,343.65347
480,342.6183
481,341.52255
482,340.3608
483,339.1389
484,337.8733
485,336.58685
486,335.30273
487,334.03998
488,332.8096
489,331.61548
490,330.4548
491,329.32224
492,328.21283
493,327.1248
494,326.06104
495,325.02914
496,324.03836
497,323.0974
498,322.21106
499,321.37918
500,320.59796
501,319.86136
502,319.16348
503,318.49936
504,317.86438
505,356.23544
506,356.30008
507,356.3633
508,356.4249
509,356.48773
510,356.55652
511,356.63727
512,356.73563
513,356.85605
514,357.00165
515,357.17386
516,357.3721
517,357.5933
518,357.8314
519,358.07602
520,358.31448
521,358.53232
522,358.71716
523,358.8592
524,358.95367
525,358.99896
526,358.9964
527,358.94772
528,358.85556
529,358.722
530,358.55002
531,358.34415
532,358.11005
533,357.8536
534,357.57913
535,357.2873
536,356.97482
537,356.63568
538,356.26318
539,355.85242
540,355.40182
541,354.9134
542,354.39175
543,353.84283
544,353.27325
545,352.68927
546,352.09683
547,351.50128
548,350.90848
549,350.3233
550,349.74927
551,349.187
552,348.63425
553,348.0861
554,347.53683
555,346.98175
556,346.4184
557,345.84784
558,345.27386
559,344.70224
560,344.13785
561,343.58322
562,343.0367
563,342.4923
564,341.94073
565,341.37085
566,340.77316
567,340.14136
568,339.47464
569,338.77817
570,338.06137
571,337.33676
572,336.617
573,335.91217
574,335.2289
575,334.57007
576,333.9358
577,333.32547
578,332.74002
579,332.18286
580,331.6594
581,331.17465
582,330.7308
583,330.32498
584,329.949
585,329.59125
586,329.23886
587,328.88162
588,328.51486
589,328.14078
590,327.76715
591,327.4046
592,327.06265
593,326.74774
594,326.46213
595,326.20663
596,325.98395
597,325.80148
598,325.67233
599,325.61426
600,325.64426
601,325.77493
602,326.0099
603,326.34198
604,326.7532
605,327.21594
606,354.73407
607,354.67603
608,354.62967
609,354.60394
610,354.60196
611,354.62143
612,354.6547
613,354.69153
614,354.72223
615,354.73987
616,354.74222
617,354.73145
618,354.713
619,354.69464
620,354.6836
621,354.68637
622,354.70728
623,354.74902
624,354.81287
625,354.89972
626,355.0099
627,355.14374
628,355.30206
629,355.4841
630,355.68835
631,355.9118
632,356.1507
633,356.40112
634,356.66028
635,356.92548
636,357.19403
637,357.4618
638,357.72284
639,357.96985
640,358.19473
641,358.38943
642,358.54688
643,358.65976
644,358.72025
645,358.71936
646,358.64755
647,358.49545
648,358.2562
649,357.9254
650,357.50427
651,356.99835
652,356.4171
653,355.77414
654,355.08365
655,354.35947
656,353.61258
657,352.8492
658,352.07156
659,351.2779
660,350.46463
661,349.63034
662,348.77704
663,347.91144
664,347.043
665,346.1805
666,345.3282
667,344.48453
668,343.64233
669,342.79163
670,341.92392
671,341.03546
672,340.12943
673,339.21545
674,338.30884
675,337.42834
676,336.5949
677,335.82852
678,335.1465
679,334.56036
680,334.0743
681,333.6846
682,333.38135
683,333.15164
684,332.9826
685,332.8646
686,332.79166
687,332.76035
688,332.76788
689,332.81033
690,332.87924
691,332.95953
692,333.0264
693,333.0465
694,332.98312
695,332.80768
696,332.51025
697,332.10754
698,331.6388
699,331.15567
700,330.71066
701,330.34653
702,330.09137
703,329.95663
704,329.9356
705,330.00436
706,330.12363
707,354.87744
708,354.85013
709,354.82538
710,354.80484
711,354.7884
712,354.77423
713,354.7601
714,354.74408
715,354.72552
716,354.70538
717,354.68518
718,354.6675
719,354.65457
720,354.64893
721,354.65237
722,354.66678
723,354.6922
724,354.72757
725,354.77017
726,354.81726
727,354.86664
728,354.91962
729,354.98196
730,355.06387
731,355.17905
732,355.34207
733,355.56494
734,355.8544
735,356.2102
736,356.6252
737,357.0865
738,357.57785
739,358.08136
740,358.57895
741,359.05383
742,359.4911
743,359.87885
744,360.20898
745,360.47733
746,360.68246
747,360.824
748,360.90137
749,360.91116
750,360.848
751,360.70343
752,360.46683
753,360.12585
754,359.66733
755,359.0792
756,358.35544
757,357.5005
758,356.5342
759,355.4908
760,354.41446
761,353.34814
762,352.32437
763,351.35812
764,350.44604
765,349.57162
766,348.7119
767,347.8469
768,346.96725
769,346.0778
770,345.19754
771,344.35483
772,343.57846
773,342.89005
774,342.29825
775,341.7977
776,341.37195
777,340.99805
778,340.65222
779,340.3138
780,339.96768
781,339.6043
782,339.2184
783,338.80655
784,338.3659
785,337.89368
786,337.38916
787,336.85684
788,336.30673
789,335.75568
790,335.224
791,334.73248
792,334.29758
793,333.9287
794,333.62573
795,333.37958
796,333.17206
797,332.98007
798,332.78036
799,332.5554
800,332.29822
801,332.01556
802,331.72647
803,331.4576
804,331.23706
805,331.0858
806,331.01025
807,330.99774
808,356.78442
809,356.6871
810,356.60175
811,356.53696
812,356.49567
813,356.47534
814,356.47
815,356.47244
816,356.47696
817,356.48035
818,356.48294
819,356.48776
820,356.49924
821,356.5226
822,356.5622
823,356.62003
824,356.6956
825,356.78625
826,356.88797
827,356.99765
828,357.11395
829,357.23846
830,357.3751
831,357.52817
832,357.7003
833,357.89014
834,358.09192
835,358.2954
836,358.48853
837,358.6584
838,358.79456
839,358.89035
840,358.94324
841,358.95416
842,358.92645
843,358.86453
844,358.77213
845,358.65137
846,358.50162
847,358.31964
848,358.0995
849,357.8329
850,357.51074
851,357.12527
852,356.67175
853,356.15002
854,355.56442
855,354.92233
856,354.23224
857,353.50183
858,352.73645
859,351.94003
860,351.1147
861,350.26126
862,349.37823
863,348.46213
864,347.50864
865,346.51373
866,345.47745
867,344.40582
868,343.31213
869,342.21506
870,341.1333
871,340.08005
872,339.05707
873,338.05365
874,337.04932
875,336.02075
876,334.95035
877,333.83264
878,332.67743
879,331.505
880,330.3399
881,329.203
882,328.1058
883,327.0506
884,326.03348
885,325.05063
886,324.10294
887,323.1981
888,322.34857
889,321.56677
890,320.85965
891,320.2238
892,319.64532
893,319.1023
894,318.5726
895,318.04303
896,317.5157
897,317.01178
898,316.56656
899,316.22012
900,316.0023
901,315.91882
902,315.94174
903,316.00925
904,316.03964
905,315.957
906,315.7193
907,315.3374
908,314.87354
909,356.44205
910,356.49036
911,356.53253
912,356.5627
913,356.57657
914,356.57205
915,356.55066
916,356.51694
917,356.47806
918,356.44257
919,356.41733
920,356.40677
921,356.41135
922,356.4281
923,356.452
924,356.47742
925,356.50092
926,356.52115
927,356.53992
928,356.56088
929,356.58908
930,356.6289
931,356.6848
932,356.75888
933,356.8521
934,356.964
935,357.0939
936,357.24194
937,357.4086
938,357.59442
939,357.7997
940,358.02213
941,358.25656
942,358.4944
943,358.72427
944,358.93372
945,359.11194
946,359.24973
947,359.34238
948,359.38803
949,359.38705
950,359.3414
951,359.2523
952,359.11942
953,358.94116
954,358.71518
955,358.43872
956,358.10965
957,357.72644
958,357.28653
959,356.78677
960,356.22226
961,355.58817
962,354.88165
963,354.1045
964,353.2642
965,352.37418
966,351.452
967,350.5162
968,349.5819
969,348.65744
970,347.74146
971,346.82455
972,345.89267
973,344.93307
974,343.93896
975,342.9144
976,341.87335
977,340.83917
978,339.8398
979,338.90317
980,338.05276
981,337.3033
982,336.65854
983,336.11005
984,335.63693
985,335.20883
986,334.7898
987,334.34488
988,333.8478
989,333.28745
990,332.67072
991,332.0202
992,331.3688
993,330.75272
994,330.20563
995,329.75452
996,329.41812
997,329.2053
998,329.11502
999,329.13602
1000,329.24823
1001,329.4253
1002,329.63617
1003,329.8478
1004,330.02744
1005,330.14618
1006,330.18567
1007,330.1431
1008,330.03528
1009,329.89658
1010,355.1337
1011,355.18893
1012,355.2399
1013,355.28293
1014,355.31696
1015,355.3436
1016,355.36655
1017,355.39117
1018,355.4219
1019,355.4623
1020,355.51367
1021,355.57532
1022,355.6452
1023,355.72162
1024,355.80405
1025,355.89307
1026,355.99106
1027,356.09988
1028,356.22147
1029,356.3561
1030,356.50287
1031,356.6586
1032,356.8185
1033,356.97647
1034,357.12512
1035,357.258
1036,357.37018
1037,357.45847
1038,357.52243
1039,357.56274
1040,357.58145
1041,357.5794
1042,357.5563
1043,357.50922
1044,357.4327
1045,357.32007
1046,357.16364
1047,356.9571
1048,356.69608
1049,356.37747
1050,356.00046
1051,355.56516
1052,355.07315
1053,354.52707
1054,353.92966
1055,353.28326
1056,352.58826
1057,351.84286
1058,351.0439
1059,350.18762
1060,349.2722
1061,348.30054
1062,347.281
1063,346.22815
1064,345.1608
1065,344.09863
1066,343.05835
1067,342.05035
1068,341.07758
1069,340.13614
1070,339.2188
1071,338.31952
1072,337.43597
1073,336.571
1074,335.73062
1075,334.9218
1076,334.14978
1077,333.41782
1078,332.7291
1079,332.0905
1080,331.51584
1081,331.02716
1082,330.6526
1083,330.42078
1084,330.35345
1085,330.45816
1086,330.72513
1087,331.12772
1088,331.62698
1089,332.17795
1090,332.7357
1091,333.26062
1092,333.72247
1093,334.10394
1094,334.40076
1095,334.62164
1096,334.78433
1097,334.91132
1098,335.02356
1099,335.13522
1100,335.2484
1101,335.35403
1102,335.43594
1103,335.47806
1104,335.4715
1105,335.41678
1106,335.3233
1107,335.20505
1108,335.07614
1109,334.94736
1110,334.825
1111,355.12216
1112,355.124
1113,355.12994
1114,355.1425
1115,355.1611
1116,355.1821
1117,355.20084
1118,355.21304
1119,355.21716
1120,355.21484
1121,355.21082
1122,355.21112
1123,355.22116
1124,355.24368
1125,355.27875
1126,355.32343
1127,355.37265
1128,355.42184
1129,355.46844
1130,355.51373
1131,355.56268
1132,355.62305
1133,355.7037
1134,355.81274
1135,355.95557
1136,356.13522
1137,356.3519
1138,356.60367
1139,356.88696
1140,357.1981
1141,357.53415
1142,357.89374
1143,358.2763
1144,358.67984
1145,359.09805
