X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
368.640045,230.342865,1680.859131,536.290527,225.328537,1684.894043,386.020691,103.629524,1724.008423,522.289612,101.690895,1718.502197,454.785492,41.827717,1553.858521,464.275024,4.21326,1230.272095,445.465759,161.280304,1473.773315,450.893433,202.812851,1303.234985,559.366211,-37.351486,1354.270142,466.464935,17.615536,1187.848877,468.45932,22.339891,1075.314941,295.848663,53.507477,1492.554932,240.626511,66.109192,1343.734985,229.5466,27.828524,1132.844727,223.120804,136.862717,975.236694,259.40332,179.813766,902.996582,216.662231,119.113617,888.549072,227.52153,203.560501,817.154968,614.912659,84.086372,1488.786865,690.908569,51.978329,1254.52124,697.729797,28.907986,1141.534546,713.583923,118.973213,1055.85437,686.939026,200.543747,908.215088,730.776794,137.162857,899.306519,731.613831,219.425537,816.376099,347.145447,182.479202,1046.04895,594.053345,186.067612,1051.248779,411.833466,26.998262,1078.569092,522.900208,33.172817,1084.734131,311.322479,112.858315,705.509644,341.122772,98.143623,532.619873,341.368591,40.105278,216.938034,355.160828,21.75729,73.032608,405.400482,-16.202129,54.357681,337.12796,185.776215,30.466177,645.674927,174.338318,891.06897,626.059875,124.208084,530.350708,646.475159,84.849899,405.034515,607.900146,43.63134,71.72126,544.875916,14.196527,48.676361,621.01947,209.945877,30.632242
368.748596,230.352707,1680.907715,536.344727,225.506393,1684.922607,386.131409,103.667267,1724.037231,522.442017,101.811264,1718.449707,454.832489,41.868855,1553.831055,464.317688,4.247856,1230.278198,445.516754,161.413025,1473.649292,450.962189,202.862869,1303.18811,559.360107,-37.108391,1354.24231,466.474091,17.675331,1187.853394,468.466858,22.407692,1075.309204,295.802673,53.610897,1492.740845,240.753296,66.164284,1343.75,229.557144,28.05912,1132.956787,223.118225,137.22496,975.373962,259.616577,180.217285,903.158142,216.892395,119.665184,888.858398,227.730606,204.108978,817.354858,614.974548,84.155701,1488.785278,690.916748,52.117184,1254.389648,697.77179,29.019075,1141.412109,713.686768,119.038177,1055.839844,686.983459,200.152313,908.009399,730.807068,137.256302,899.294922,731.662903,219.520996,816.362305,347.203003,182.636047,1046.130371,594.143738,186.119705,1051.212891,411.835022,27.081831,1078.550171,522.917114,33.293606,1084.713867,311.912323,113.246109,705.433716,341.129669,98.221619,532.61792,341.31842,40.119419,216.937103,355.169739,21.79134,73.045792,405.453247,-16.223097,54.344688,337.029114,185.812561,30.595375,645.702209,174.357437,891.055176,626.11261,124.254829,530.287842,646.940002,84.915649,405.242706,607.871033,43.659153,71.674881,544.87262,14.228274,48.670902,621.033264,209.955231,30.618658
368.920319,230.418808,1680.929932,536.481812,225.577515,1684.828247,386.118103,103.667999,1724.136353,522.53595,101.903816,1718.394775,454.943359,41.886066,1553.815308,464.353333,4.332052,1230.266113,445.696014,161.368546,1473.543457,451.054352,202.938751,1303.145142,559.416016,-37.020401,1354.22229,466.509125,17.758125,1187.802979,468.498016,22.522806,1075.242065,296.01355,53.578701,1492.546509,240.838867,66.284431,1343.697876,229.651031,28.277473,1132.908813,223.35202,137.537811,975.52832,259.85495,180.882843,903.247437,217.110321,120.187195,888.731445,228.023712,204.646927,817.476807,615.082031,84.333748,1488.734253,691.012939,52.192837,1254.316284,697.845581,29.052977,1141.472412,713.772095,119.179878,1055.742676,687.069031,200.263107,908.045471,730.851013,137.411682,899.245178,731.664368,219.671921,816.339661,347.29422,182.796997,1046.102539,594.203125,186.179169,1051.223145,411.883057,27.157146,1078.505493,522.924988,33.349365,1084.681396,311.940033,113.361443,705.414001,341.160583,98.268417,532.605774,341.014404,40.331692,217.346909,355.230743,21.781487,73.039803,405.513641,-16.224173,54.337578,337.245361,185.795929,30.412302,645.755798,174.419357,891.027466,626.146912,124.326401,530.398987,646.514954,84.514549,405.1008,607.911133,43.675755,71.68116,544.876587,14.228558,48.657375,621.121704,209.93869,30.62989
368.985748,230.465637,1680.920898,536.501831,225.644638,1684.790161,386.227295,103.745216,1724.138062,522.690796,102.065025,1718.344727,455.002045,42.034996,1553.816895,464.35788,4.396014,1230.253784,445.668793,161.517303,1473.534058,451.06955,203.017685,1303.073242,559.474304,-36.963367,1354.185181,466.521088,17.818501,1187.787354,468.51358,22.546322,1075.219482,295.95047,53.813602,1492.665283,240.930328,66.410553,1343.677124,229.810791,28.450277,1132.857178,223.593506,137.923218,975.47699,260.055878,181.108444,903.3479,217.232697,120.529388,888.822937,228.322983,205.227066,817.602661,615.15863,84.156204,1488.622925,690.909546,52.40992,1254.268677,697.883606,29.1695,1141.365601,713.764526,119.298904,1055.705566,687.118652,200.875336,908.047668,730.825134,137.529022,899.19574,731.595337,219.834305,816.302917,347.255554,182.91069,1046.016235,594.193481,186.285629,1051.235352,411.862183,27.223736,1078.476807,522.913208,33.422092,1084.654419,311.921021,113.490555,705.401855,341.130981,98.329742,532.581604,341.390625,40.177532,216.886612,355.180756,21.788025,73.050117,405.256897,-16.417776,54.693913,337.217133,185.746475,30.38958,645.742554,174.643448,890.999512,626.137634,124.356224,530.34259,646.981262,84.970352,405.104492,607.943909,43.672531,71.71357,544.864929,14.248091,48.653332,621.06543,209.987198,30.60416
368.929413,230.395523,1680.999756,536.495605,225.708481,1684.773926,386.503021,103.756683,1724.109497,522.804749,102.183197,1718.30835,455.049622,42.063686,1553.781372,464.372345,4.420235,1230.263062,445.672485,161.560638,1473.515991,450.99588,203.009216,1303.075439,559.520935,-36.919498,1354.162109,466.537048,17.844749,1187.794556,468.5224,22.613932,1075.205811,296.085938,53.727459,1492.562134,240.942429,66.458946,1343.697388,230.1698,28.644947,1132.598267,223.774689,138.414459,975.62323,260.223877,181.600128,903.546875,217.523712,121.043083,888.748474,228.521515,205.760452,817.824097,615.163147,84.343544,1488.607056,690.977295,52.497078,1254.241821,697.909363,29.17894,1141.313599,713.7229,119.412262,1055.687988,686.934448,200.522278,907.94397,730.790344,137.658249,899.164856,731.674072,220.78569,816.21228,347.238525,183.010834,1046.109497,594.149292,186.331085,1051.257446,411.880737,27.248913,1078.452881,522.951172,33.452801,1084.637939,311.929688,113.574112,705.39856,340.640778,98.474968,532.797485,341.378174,40.168049,216.916718,355.203796,21.763029,73.01239,405.425018,-16.168606,54.363129,337.139343,185.794022,30.386662,645.731445,174.712204,891.013489,626.100281,124.421425,530.300537,646.911682,84.98674,405.20163,607.883362,43.705387,71.668083,544.882874,14.218212,48.66605,621.023743,209.980789,30.595646
368.941223,230.420181,1681.003418,536.504883,225.62886,1684.769287,386.63562,103.78315,1724.123657,522.987244,102.238274,1718.265503,455.144806,42.071674,1553.784058,464.446594,4.454897,1230.238647,445.666779,161.634995,1473.534058,450.990143,203.120483,1303.066895,559.565613,-36.859798,1354.158569,466.568329,17.920841,1187.734375,468.562866,22.757347,1075.124146,296.022491,53.912586,1492.718384,240.958282,66.56501,1343.73291,230.105179,28.746449,1132.646973,223.845093,138.905334,975.646667,260.457977,182.072647,903.74707,217.837509,121.615845,888.877808,228.827774,206.366577,818.022888,615.190796,84.672585,1488.674316,690.946777,52.74979,1254.172485,697.981323,29.901028,1141.133057,713.469055,119.183304,1055.580566,686.996155,200.650497,907.976562,730.816711,137.80394,899.162903,731.63147,220.952164,816.178711,347.195587,183.024551,1046.134155,594.147583,186.410431,1051.263916,411.893097,27.331799,1078.439941,523.792236,30.998137,1085.606812,311.947052,113.643806,705.35376,341.164062,98.42128,532.546753,341.353668,40.163368,216.939331,355.195465,21.767923,73.014305,405.4328,-16.487879,54.430031,336.901337,185.868347,30.647757,645.754578,174.749222,891.064331,626.106934,124.504997,530.26709,646.546997,84.906906,404.966187,607.926025,43.657124,71.705589,544.903015,14.222898,48.626488,621.064575,209.784668,30.633509
369.131744,230.528595,1681.002319,536.580139,225.990128,1684.702148,386.605103,103.808044,1724.219727,523.153931,102.335449,1718.252808,455.179382,42.183857,1553.712158,464.42926,4.557777,1230.183472,445.758087,161.688843,1473.503174,451.051178,203.174393,1303.08252,559.590637,-36.777969,1354.13623,466.555664,17.955978,1187.737793,468.536926,22.813944,1075.098755,296.097748,53.921108,1492.745483,241.0896,66.677361,1343.702026,230.109863,29.006695,1132.711548,224.100159,139.23082,975.752747,260.712555,182.532303,903.888184,218.282562,122.03009,888.79657,229.145447,206.981979,818.221924,615.27948,84.495888,1488.530273,691.010132,52.731155,1254.182129,698.065247,29.888163,1141.151367,713.843628,119.62542,1055.595215,687.056396,201.252289,907.988586,730.857056,137.908218,899.108521,731.63092,221.040741,816.182068,347.277985,183.219055,1046.151611,594.282776,186.474564,1051.222412,411.918091,27.429668,1078.388794,523.81781,30.959566,1085.637085,311.926056,113.796562,705.387146,340.628876,98.613129,532.831055,341.318207,40.2057,216.928665,355.162048,21.783302,73.049294,405.444244,-16.196283,54.404781,336.994324,185.875076,30.596891,645.821594,174.81337,891.054688,626.19574,124.479515,530.283447,646.955505,84.946152,405.30722,607.930115,43.669907,71.725777,544.862427,14.234886,48.651108,621.064026,209.942871,30.60622
369.190948,230.4729,1681.026489,536.172119,226.38382,1684.714722,386.765533,103.820801,1724.221558,523.286987,102.456512,1718.205566,455.230591,42.260715,1553.75061,464.457184,4.580224,1230.184937,445.86087,161.727325,1473.446777,451.138123,203.238052,1303.022949,559.639221,-36.689968,1354.119141,466.596069,17.97753,1187.735107,468.563904,22.872818,1075.06665,296.279816,53.910397,1492.545654,241.250519,66.778305,1343.651733,230.245041,29.245527,1132.643921,224.46373,139.661102,975.808105,260.615051,183.043167,904.074097,218.380859,122.747116,888.947815,229.535553,207.572708,818.388245,615.369873,84.923256,1488.546875,691.092285,52.833546,1254.15625,698.06189,29.584993,1141.19165,713.63739,119.357224,1055.499268,687.200134,201.334625,907.938232,730.863342,138.129929,898.93811,731.659912,221.161011,816.119019,347.368042,183.349808,1046.079834,594.302002,186.513229,1051.247803,412.362183,27.570513,1078.402832,523.853027,30.975542,1085.621948,311.952789,113.911613,705.352478,340.696747,98.68161,532.776001,341.346436,40.222359,216.930588,355.182312,21.796839,73.01284,405.276276,-16.374207,54.680298,337.20224,185.818237,30.413479,645.893127,174.871826,890.981384,626.265198,124.519806,530.232544,647.008789,84.979012,405.299469,607.983459,43.673489,71.683434,544.876892,14.218798,48.640789,621.178345,209.807343,30.527893
369.282837,230.521667,1681.051758,536.230713,226.505646,1684.598022,386.978333,103.903099,1724.173828,523.388855,102.542068,1718.119263,455.261932,42.48864,1553.653442,464.476746,4.638016,1230.182983,445.892487,161.786331,1473.41748,451.123688,203.236908,1302.953247,559.678955,-36.625107,1354.114014,466.588531,18.043278,1187.697266,468.583832,22.891857,1075.052979,296.298279,53.989017,1492.52832,241.292191,66.933647,1343.635986,230.325699,29.445053,1132.598755,224.901169,139.922058,975.890198,261.19339,183.793564,904.164795,218.607986,123.163216,889.126221,229.795471,208.206406,818.518066,615.417786,84.716942,1488.44043,691.199707,52.934135,1254.018433,698.125549,29.736216,1141.104004,713.886108,119.939491,1055.554688,687.126038,201.453781,907.937439,730.853516,138.336151,898.869019,731.638489,221.306961,816.117249,347.32373,183.498795,1046.059204,594.25592,186.597,1051.269775,411.998657,27.541084,1078.33606,523.797791,31.125692,1085.520752,311.947754,114.079575,705.3302,340.699707,98.747353,532.757263,341.38324,40.249283,216.935043,355.18576,21.820492,73.031998,405.295441,-16.657433,54.780697,336.98526,185.911453,30.543415,645.853516,175.041779,890.958984,626.20636,124.741119,530.224426,647.023315,85.022194,405.184082,607.88623,43.694866,71.727806,544.88739,14.233816,48.671234,621.0802,209.948318,30.522655
369.271271,230.503387,1681.150879,536.238342,225.922516,1684.585327,386.655975,103.851097,1724.12561,523.516541,102.564774,1718.131104,455.354767,42.569611,1553.619141,464.49353,4.662586,1230.158813,445.828308,161.920471,1473.416138,451.136902,203.37706,1302.939453,559.689758,-36.5434,1354.090942,466.602692,18.096228,1187.658691,468.589081,23.009985,1074.972656,296.337067,54.068367,1492.532471,241.242218,67.05294,1343.650146,230.432205,29.651751,1132.553589,224.772507,140.400253,975.991455,261.467133,184.065002,904.350647,218.990219,123.698654,889.049133,230.019562,208.818909,818.748718,615.419556,85.101646,1488.462891,691.229431,53.032135,1254.009155,698.126892,30.411051,1140.952515,713.651428,119.65316,1055.496216,686.988586,201.205353,907.796875,730.82843,138.381561,898.895081,731.558472,221.463364,816.129333,347.192688,183.805618,1046.093506,594.250549,186.718277,1051.30188,411.994904,27.646282,1078.291138,522.983643,33.68074,1084.442261,311.953705,114.183479,705.350525,340.724518,98.806679,532.73175,341.359009,40.309994,216.898407,355.140076,21.804462,73.016678,405.265137,-16.380964,54.692917,336.951813,185.876266,30.544487,645.847473,175.111938,890.995911,625.939819,125.226883,530.176025,646.93988,85.109116,405.044556,607.875366,43.703308,71.627762,544.868103,14.217405,48.63884,621.04657,209.968124,30.595415
