X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
385.786346,183.416824,1706.300781,551.904297,183.522858,1704.907104,406.997986,51.593658,1723.682007,542.842285,55.578621,1713.664429,470.264069,18.718298,1551.176392,472.887177,11.273357,1227.107544,460.863953,147.458679,1488.054077,464.254791,209.039337,1320.855469,568.375671,-38.645153,1347.257446,474.030853,25.205992,1186.296021,477.144226,27.987635,1079.643433,308.584625,39.919212,1496.620117,253.329071,54.705616,1348.023804,261.152802,14.957146,1138.913574,195.310867,71.606178,972.686951,168.121857,121.321289,906.794922,235.582108,91.831383,884.633667,161.308533,109.509453,811.098328,630.459106,67.445381,1494.387207,691.684998,41.719135,1256.112183,686.705933,22.132437,1145.550781,750.67688,70.046997,1056.249268,803.689087,120.550415,907.549377,742.189087,78.868797,888.592224,813.401184,106.473175,804.533203,358.312622,188.821838,1044.774536,603.620667,189.183228,1047.637085,420.151123,34.337349,1082.820312,532.25885,38.53965,1088.865845,323.026398,115.364151,704.749023,352.210724,99.451218,532.515137,351.274841,40.434547,217.163162,365.338806,21.180155,73.16153,414.495667,-18.655493,54.640171,352.379272,185.560837,30.47023,654.596497,174.540558,887.854187,630.133972,127.83532,529.287537,649.237732,88.002853,402.926147,607.933411,43.847462,71.333092,544.76001,13.487589,47.776676,619.401306,209.444366,31.154137
385.941193,184.471939,1705.892578,552.059265,184.124176,1704.414429,406.231537,52.420052,1723.938721,542.712402,56.546799,1713.909424,470.226135,19.148727,1551.240967,472.940033,11.213407,1227.152344,460.592224,147.688721,1487.931519,464.308014,209.184296,1320.723145,568.506165,-38.518753,1347.346436,474.057922,25.114645,1186.333618,477.211517,27.859968,1079.673828,308.546783,40.010658,1496.762207,253.145569,54.753384,1348.023926,261.191101,14.865045,1138.966553,195.443817,71.662682,972.720093,168.23819,121.521683,906.850464,235.590622,91.58918,884.628418,161.367554,109.612892,811.146301,630.625549,67.517868,1494.574341,691.819397,42.061096,1256.178101,686.976318,22.338629,1145.603027,750.903015,70.462975,1056.332886,803.762756,121.081093,907.450745,742.536926,78.765572,888.766235,813.671143,106.568428,804.635193,358.305389,188.6026,1044.610718,603.741272,188.987106,1047.603882,420.244354,34.165443,1082.88147,532.993774,36.391529,1089.768066,323.108063,115.387741,704.813232,352.244476,99.506149,532.522522,351.308258,40.513702,217.168488,365.372498,21.133873,73.160866,414.744781,-18.493334,54.319077,352.46582,185.552673,30.401783,654.740662,174.287643,887.828796,630.350159,127.853531,529.287231,649.325378,88.050598,402.864807,607.936157,43.827408,71.512695,544.727417,13.498653,47.753044,619.479492,209.521622,31.019215
385.979889,185.51561,1705.378296,552.172241,184.942368,1703.915405,406.535492,53.809071,1724.396729,542.639832,57.763348,1714.292603,470.294983,19.236158,1551.375244,473.009491,11.065695,1227.235229,460.550201,147.940598,1487.834473,464.229614,209.119293,1320.570801,568.656189,-38.415791,1347.463257,474.082123,25.024439,1186.379028,477.329712,27.638365,1079.746704,308.531494,40.105713,1496.778809,253.247375,54.765553,1348.009033,261.23764,14.765979,1139.016968,195.478149,71.72271,972.764832,168.470261,121.78405,906.925415,235.580261,91.310341,884.609375,161.340637,109.779442,811.206238,630.631897,67.939445,1494.599609,691.970276,42.481392,1256.212769,687.273254,22.532713,1145.74707,751.079895,70.991257,1056.415405,803.85675,121.660034,907.570007,742.794495,79.451759,888.806519,813.98999,107.355331,804.633118,358.34201,188.40451,1044.56665,603.802856,188.819489,1047.584473,420.332886,34.000931,1082.941162,533.100098,36.107571,1089.856567,323.206635,115.301903,704.854553,352.296051,99.500832,532.495544,351.267883,40.542385,217.104919,365.331085,21.202396,73.146133,414.758087,-18.469898,54.296387,352.4711,185.640045,30.426729,654.836548,174.091751,887.7901,629.298523,127.482132,529.107788,649.41217,88.04071,402.811035,608.041931,43.874104,71.42421,544.72998,13.481894,47.751091,619.381653,209.408173,31.208902
385.838013,186.738037,1704.722412,552.186523,185.716675,1703.423706,406.518951,55.122177,1724.821045,542.57196,58.472637,1714.898315,470.329468,19.723961,1551.516846,473.009613,10.960485,1227.328613,460.372833,148.243347,1487.676025,464.11499,209.143387,1320.399292,568.791199,-38.249939,1347.571655,474.065643,24.844419,1186.476929,477.339142,27.420345,1079.812988,308.542542,40.202904,1496.876099,253.088593,54.771271,1348.056519,261.246094,14.572018,1139.118652,195.476074,71.876053,972.918762,168.60379,122.084114,906.992371,235.43396,90.870285,884.637573,161.301117,109.977524,811.364929,630.636597,68.288048,1494.600586,692.125793,42.839516,1256.258301,687.610962,22.725548,1145.838257,751.254211,71.53566,1056.511353,803.915771,122.599655,907.697815,743.002563,79.388977,888.823425,814.240234,108.010849,804.75061,358.225739,188.261505,1044.592163,603.837341,188.511185,1047.553711,420.370117,33.784107,1082.990967,533.13092,35.91264,1089.925049,323.28241,115.253036,704.903381,352.305145,99.456673,532.55249,351.28476,40.517876,217.136414,365.29953,21.145618,73.080551,414.666412,-18.462475,54.313511,352.397369,185.242355,30.509407,654.886658,173.756042,887.662048,629.397583,127.737312,529.124084,649.418518,88.033905,402.824585,607.9021,43.943306,71.277855,544.728638,13.473988,47.732937,619.29718,209.460892,31.203102
385.961395,188.083511,1704.192871,552.221985,187.157349,1702.736938,406.378571,56.521915,1725.195312,542.499084,59.699154,1715.12854,470.368622,20.2808,1551.638916,473.027222,10.838,1227.438599,460.335388,148.465256,1487.54126,463.953796,209.078796,1320.248291,568.996704,-38.152462,1347.733643,474.08313,24.746157,1186.524292,477.413513,27.215473,1079.869141,308.56778,40.335148,1496.947266,253.03862,54.758472,1348.140381,261.277893,14.376052,1139.236328,195.942215,72.102592,972.835938,168.89238,122.509789,907.199036,235.269958,90.297859,884.752014,161.187469,110.241211,811.536133,630.629089,68.78318,1494.651855,692.391479,43.135612,1256.334961,688.002625,22.932158,1145.867554,751.491577,72.13546,1056.621094,804.049194,122.781082,907.618896,743.237976,79.902199,888.867554,814.532837,108.700172,805.017273,358.256622,188.021957,1044.519897,603.834778,188.2099,1047.569092,420.461914,33.529587,1083.042114,532.582581,37.638153,1089.138306,323.398468,114.966751,704.9328,352.378815,99.339386,532.610291,351.26297,40.510677,217.149704,365.379974,21.16494,73.141586,414.593384,-18.76289,54.516769,352.428558,185.451691,30.499882,654.881409,173.636536,887.806213,629.743652,127.543121,529.230774,649.507996,87.900803,402.861053,607.865234,44.030079,71.614555,544.75415,13.474554,47.728546,619.304871,209.582199,31.225407
386.019318,189.300751,1703.552734,552.328735,188.664246,1702.170044,406.303192,58.089039,1725.622681,542.708252,60.946407,1715.653198,470.429382,20.699711,1551.814697,473.0242,10.717431,1227.546997,460.251129,148.779617,1487.273193,463.986511,209.152252,1319.987305,569.193848,-37.999123,1347.911011,474.096771,24.524742,1186.642578,477.485657,26.907049,1079.967285,308.619385,40.496746,1497.04834,253.036438,54.749577,1348.263306,261.274689,14.150036,1139.405518,195.422043,72.241455,973.381226,169.246002,122.91864,907.380859,235.031891,89.618782,884.851746,160.991867,110.613487,811.779663,630.511841,69.426712,1494.501099,692.578369,43.435173,1256.624023,688.389099,23.979836,1145.771484,751.76947,72.806877,1056.694458,804.235718,124.144745,907.926575,743.611694,80.46032,889.002075,815.073547,109.111938,805.168091,358.261932,187.680023,1044.391235,603.906921,187.89505,1047.610596,420.506378,33.264168,1083.120972,532.574707,37.426292,1089.213867,323.486237,114.872635,705.05365,352.398407,99.208572,532.638611,351.676605,40.475342,216.931503,365.324036,21.199017,73.109375,414.496185,-18.638353,54.603638,352.824768,185.797546,30.412313,654.954224,173.412766,887.806946,630.095947,127.602219,529.240173,649.486328,88.026436,402.825684,607.941345,43.911751,71.41394,544.72406,13.446103,47.717159,619.243652,209.664307,31.241209
386.277588,190.924927,1702.958618,552.430725,189.750717,1701.530762,406.200256,59.731789,1725.998413,542.411438,62.22966,1715.938354,470.526123,21.277323,1551.966187,473.043823,10.511025,1227.731567,460.246552,149.121735,1487.060913,464.029297,209.159241,1319.702637,569.443604,-37.834595,1348.118652,474.06665,24.323706,1186.734985,477.52771,26.636,1080.077759,308.794312,40.694416,1497.006714,253.020554,54.730286,1348.324585,261.211151,13.896934,1139.558594,196.14064,72.761032,973.283325,169.881012,123.857437,907.691345,234.637024,88.890419,884.899414,160.692993,111.288422,812.090881,630.572571,69.962318,1494.53833,692.895752,43.759983,1256.709961,688.746765,24.575134,1145.632935,752.088379,73.54985,1056.80957,804.369324,125.28463,907.959778,744.440063,81.144135,889.22345,815.541992,109.975357,805.401428,358.355927,187.304703,1044.452393,604.055725,187.566971,1047.543823,420.597656,32.949322,1083.233887,532.61969,37.101353,1089.321167,323.576019,114.603088,705.124695,352.023254,99.238091,532.897461,351.266846,40.490585,217.125473,365.273773,21.118645,73.142296,414.702759,-18.480791,54.311905,352.499634,185.50737,30.547256,655.087097,173.061066,887.793274,629.877075,127.461555,529.273926,649.607727,87.936279,402.815918,608.046875,43.817944,71.515152,544.742554,13.434993,47.693081,619.33252,209.464859,31.287447
386.409332,192.508469,1702.136353,552.619873,191.06044,1700.828613,406.21286,61.542477,1726.421387,542.653198,63.896015,1716.37085,470.58493,21.67049,1552.204712,473.080292,10.296676,1227.906494,460.217468,149.545578,1486.863647,463.929718,208.993744,1319.399414,569.697693,-37.632473,1348.296753,474.093628,24.050076,1186.897217,477.629089,26.212643,1080.190918,308.857544,41.021225,1497.178345,252.884506,54.711445,1348.390503,261.174957,13.59252,1139.749878,195.893417,73.087532,973.67926,170.4245,124.806702,907.860107,234.16098,87.861565,885.04303,160.317184,112.092789,812.419373,630.665283,70.532471,1494.443237,693.206726,44.621841,1256.493652,689.414673,25.026781,1145.807983,752.452393,74.447433,1056.924316,804.717468,126.472336,908.181946,744.820801,82.165543,889.450439,816.026184,111.560127,805.283081,358.392609,186.959702,1044.321899,604.09198,187.227097,1047.586792,420.646576,32.566719,1083.315918,532.701965,36.755177,1089.400391,324.026947,114.749245,705.191772,352.044067,99.099518,532.922974,351.656433,40.53603,216.911377,365.280762,21.154453,73.041214,414.627014,-18.450941,54.273548,352.427246,185.476715,30.454088,655.161865,172.695999,887.78656,629.901855,127.412262,529.25238,649.754395,87.827522,402.760223,607.906189,43.85849,71.423225,544.753296,13.379291,47.669525,619.354858,209.400253,31.202982
386.422058,194.357559,1701.545776,552.693787,192.711777,1700.172363,406.03183,63.504814,1726.753174,542.542236,65.217178,1716.954346,470.744354,22.486578,1552.416016,473.093994,10.112287,1228.121582,460.029449,150.061188,1486.763916,463.779114,209.074585,1319.068481,569.888306,-37.403072,1348.595093,474.09613,23.762495,1187.029541,477.679962,25.84758,1080.283447,308.811096,41.33094,1497.444092,252.832001,54.773014,1348.604126,261.059998,13.285928,1139.978516,195.700333,73.750504,973.957031,171.14801,125.901688,908.173828,233.483871,86.592903,885.234375,159.862808,112.964569,812.901917,630.693481,71.054588,1494.36792,693.526917,45.281704,1256.477539,689.981079,25.63258,1145.904053,752.842651,75.502991,1056.982056,804.894714,127.906845,908.364746,745.397522,83.056335,889.312988,816.47406,112.653328,805.812195,358.25885,186.415894,1044.302002,604.089905,186.607086,1047.50708,420.695587,32.189381,1083.403198,533.460693,34.337173,1090.336792,324.019135,114.561592,705.139771,352.336212,98.88488,532.749634,351.213989,40.487492,217.062469,365.233093,21.138847,73.078331,414.403473,-18.636646,54.565708,352.51947,185.593262,30.466322,655.145996,172.287201,887.797119,630.150024,127.570915,529.276489,649.687866,87.891869,402.767548,607.845093,43.991581,71.327888,544.712524,13.397217,47.621174,619.241455,209.45195,31.322514
386.448517,196.380386,1700.75708,552.85376,194.703568,1699.477051,406.006805,65.488441,1727.165649,542.593567,67.234505,1717.199097,470.876343,23.095736,1552.721802,473.164703,9.76257,1228.344971,460.019501,150.417511,1486.54541,463.683044,209.084595,1318.766968,570.165833,-37.18837,1348.878296,474.142151,23.450315,1187.203125,477.799316,25.307793,1080.372559,308.982178,41.553272,1497.480347,253.290329,54.791737,1348.754883,260.883392,12.863063,1140.251099,195.81395,74.209122,974.32605,171.799866,127.316353,908.60614,232.673843,85.318985,885.432495,159.401978,114.111214,813.509155,630.705811,71.849953,1494.402588,694.040588,45.625885,1256.696533,690.580566,26.384138,1145.95752,753.212769,76.639809,1057.067871,805.149719,129.528976,908.533142,746.446716,84.247139,889.532227,816.845703,114.596527,805.99176,358.227875,185.861465,1044.313965,604.065369,186.151978,1047.483765,420.778534,31.701443,1083.523682,532.90741,35.847309,1089.563721,324.377594,114.420631,704.917664,352.019897,98.817757,532.997498,351.2211,40.396137,217.07933,365.277405,21.140575,73.043182,414.371918,-18.644571,54.545845,352.440094,185.589325,30.480972,655.244812,171.791916,887.851379,630.192505,127.539948,529.197388,649.718201,87.876282,402.768494,607.823486,44.054787,71.492805,544.740051,13.358566,47.580902,619.253479,209.339981,31.375196
