X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
356.464996,249.456085,1704.089966,522.740173,244.564499,1707.764038,373.226746,116.011192,1707.971924,510.075439,116.92173,1702.758911,444.82608,90.419357,1554.423462,454.035889,56.795799,1231.019897,437.651855,212.828705,1478.315308,445.505127,256.503601,1306.041504,555.243225,26.459042,1369.593506,455.172363,69.038544,1188.84314,455.499634,68.904213,1078.637451,281.931396,119.27372,1495.810669,226.673416,124.277519,1346.961304,219.800415,56.262611,1145.330688,170.469345,107.798729,970.866882,154.397583,152.230209,903.254822,218.5298,114.300972,884.214417,149.135269,145.726532,808.182678,605.351562,150.689362,1515.551514,690.587402,99.595444,1292.49939,701.90094,61.449364,1186.082397,754.606323,109.561722,1089.819946,801.390381,144.152328,939.486389,754.808167,86.919319,922.063477,819.930786,133.560715,838.302124,334.370392,226.931564,1041.008179,580.659851,231.912109,1044.573486,398.543549,73.99675,1082.159058,510.151794,80.73613,1087.603271,305.50058,136.943069,703.783936,337.968597,111.799126,531.765625,344.311432,44.392513,217.985641,361.495117,21.573248,74.666908,410.641846,-19.279985,57.581825,352.134247,185.851807,30.120232,632.850098,210.787292,886.738159,618.599792,139.746872,529.974854,639.192505,95.693062,406.325928,607.244568,44.76675,73.262634,544.290649,14.682552,49.38768,620.043335,210.226212,31.879858
356.469147,249.50116,1703.954468,522.77179,244.56987,1707.561401,373.283875,116.183769,1708.135376,509.960724,116.949356,1702.915894,444.858582,90.113625,1554.393921,454.075958,56.540432,1231.050293,437.63559,212.588959,1478.19751,445.526794,256.279633,1305.995239,555.216492,26.393513,1369.650391,455.210175,68.820717,1188.866699,455.521484,68.717331,1078.641235,281.935333,119.064537,1495.812988,226.403549,123.855972,1346.917114,219.839035,55.896034,1145.334595,170.476669,107.233368,970.925232,154.279358,151.463943,903.145508,218.44223,113.784271,884.159302,148.998154,145.213135,808.192017,605.231567,150.558182,1515.301636,690.586365,99.3228,1292.573242,701.890381,61.216007,1186.067749,754.642944,109.449768,1089.800659,801.369934,143.853424,939.438354,754.789734,86.614838,922.057129,819.917786,133.443314,838.308411,334.405853,226.729782,1041.010742,580.736816,231.695709,1044.579834,398.580841,73.810661,1082.116943,510.054932,80.895187,1087.440063,306.326263,137.192581,703.49176,337.966095,111.722633,531.76593,343.855011,44.430969,218.281509,361.527283,21.561232,74.650467,410.735626,-19.229107,57.548832,352.187317,186.017532,29.936556,632.892822,210.600449,886.685974,618.654175,139.756195,530.01178,639.211426,95.701103,406.323608,607.297729,44.707039,73.29808,544.27594,14.68503,49.35495,620.09491,209.977356,31.91124
356.787994,249.737488,1703.754761,522.762634,244.643875,1707.385498,373.161377,116.249825,1708.272949,509.843872,117.093475,1702.973389,444.875732,90.050415,1554.411499,454.155579,56.270382,1231.071167,437.668579,212.10759,1478.077515,445.537567,256.055145,1305.983521,555.240356,25.982738,1369.679199,455.266296,68.617752,1188.831787,455.56601,68.475571,1078.609009,281.956421,118.873764,1495.755493,226.777557,123.656754,1346.884399,219.845596,55.485775,1145.331421,170.143143,107.058296,970.949829,154.298645,151.205368,903.066467,218.38295,113.281723,884.159973,148.930313,144.578415,808.166992,605.359436,150.347763,1515.46582,690.542175,99.121964,1292.580078,701.913879,60.970703,1186.0896,754.643616,109.183334,1089.798462,801.375122,143.415894,939.456482,754.818054,86.258789,922.07489,820.003601,133.062866,838.153564,334.495422,226.463989,1041.020386,580.773987,231.577103,1044.567749,398.630127,73.547096,1082.14209,510.137665,80.691231,1087.421509,306.338562,136.977631,703.515442,338.014893,111.624519,531.732849,344.337128,44.34404,217.946152,361.539398,21.560629,74.643272,410.746552,-19.241383,57.52319,352.322784,185.985153,29.863098,632.843506,210.5746,886.695679,618.598694,139.810135,529.857849,639.212097,95.768288,406.25946,607.325745,44.637272,73.396866,544.285461,14.70708,49.314075,620.123352,210.174988,31.932011
356.436005,249.773987,1703.526855,522.736023,244.936523,1707.199463,373.103394,116.396484,1708.409546,509.813599,117.238853,1703.113037,444.893341,89.722809,1554.455933,454.167236,56.043037,1231.071289,437.599487,211.965149,1478.120728,445.478485,255.77742,1305.954346,555.260986,25.456268,1369.822632,455.273621,68.37368,1188.867432,455.582184,68.306435,1078.583618,281.946747,118.662392,1495.746094,226.372772,123.272194,1346.878418,219.855667,55.126335,1145.372925,170.01709,106.26403,970.985657,154.251251,150.649002,903.123596,218.29277,112.72448,884.171631,148.804199,143.99498,808.124817,605.3396,150.066513,1515.459473,690.475403,99.004158,1292.522217,701.760986,60.593876,1186.267334,754.589661,108.945312,1089.783813,801.478394,143.1353,939.43158,754.804932,85.885918,922.09259,819.87146,132.762283,838.300659,334.455811,226.336273,1041.11792,580.691284,231.366272,1044.600708,398.66333,73.310791,1082.134888,510.155853,80.460472,1087.451172,305.639282,136.521515,703.799011,338.004547,111.55616,531.761475,343.854858,44.353909,218.273148,361.566467,21.504953,74.62999,410.718018,-19.240799,57.529808,352.188293,185.834915,30.057945,632.793945,210.441956,886.73584,618.572632,139.764282,529.905945,639.168396,95.746338,406.272064,607.317383,44.615448,73.366035,544.278931,14.688378,49.323009,620.045654,210.195236,31.859436
356.667358,249.954132,1703.448364,522.692749,244.894653,1706.953979,373.223633,116.498756,1708.516113,509.511047,117.575333,1703.151978,444.851379,89.742195,1554.4552,454.20285,55.82114,1231.064087,437.393829,211.856232,1478.077515,445.506866,255.528809,1305.91333,555.268433,25.510426,1369.678223,455.356598,68.079155,1188.906494,455.66684,68.047821,1078.610229,281.922668,118.39904,1495.680298,226.345947,123.01004,1346.904297,220.122238,54.727242,1145.376221,170.190506,105.910797,970.874634,154.196075,150.21701,903.048462,218.19342,112.164627,884.164673,148.743164,143.335144,808.10083,605.326477,149.984756,1515.525269,690.334534,99.465836,1292.211426,701.764587,60.223053,1186.290161,754.575684,108.650948,1089.802734,801.27301,142.707581,939.470459,754.769836,85.59491,922.09491,819.836487,132.296097,838.361145,334.438751,226.048401,1041.186646,580.651917,231.114166,1044.633911,398.738495,72.999001,1082.16333,510.190735,80.239151,1087.436035,305.682037,136.445724,703.763,338.053528,111.425247,531.743225,344.00177,44.324402,218.236694,361.537964,21.605482,74.660248,410.674286,-19.516117,57.707813,352.125397,185.993958,29.933611,632.833191,210.350342,886.6651,618.606018,139.579239,530.024109,639.22522,95.608528,406.295288,607.314331,44.518166,73.397156,544.276001,14.66827,49.274731,620.001343,210.243439,31.817436
356.657654,250.025452,1703.234985,522.61731,244.994415,1706.820923,373.208832,116.652985,1708.639282,509.734344,117.333519,1703.389771,444.865204,89.527321,1554.477051,454.259888,55.586121,1231.041748,437.501068,211.561005,1478.012817,445.544006,255.169067,1305.8302,555.291321,25.416225,1369.718506,455.395874,67.837334,1188.882202,455.716827,67.823547,1078.567749,281.951202,118.134384,1495.714844,226.320236,122.64534,1346.837769,219.939117,54.320923,1145.391235,170.19075,105.414467,970.819336,154.164902,149.565628,903.106201,218.178696,111.550301,884.163574,148.642776,142.755371,808.195496,605.342407,149.73291,1515.532349,690.324951,99.129791,1292.219849,701.772034,59.91785,1186.258545,754.550415,108.086937,1089.811279,801.40271,142.628662,939.466614,754.775513,85.317497,922.06958,819.881042,131.950073,838.348755,334.576599,225.77858,1041.235107,580.717712,230.948349,1044.604248,398.744171,72.759407,1082.144165,510.242157,80.040436,1087.405518,305.708008,136.261047,703.78418,338.072662,111.333679,531.739746,344.499176,44.249561,217.891174,361.584595,21.521093,74.590508,410.761108,-19.24576,57.514465,352.197479,186.045059,29.913706,632.82074,210.153046,886.686951,618.602905,139.646378,529.94043,639.214783,95.598793,406.299286,607.281555,44.562466,73.410156,544.264465,14.660058,49.332169,620.047668,210.25177,31.947401
356.746124,250.122192,1703.017456,522.604919,245.171204,1706.703735,373.17804,116.72422,1708.75293,509.724792,117.388229,1703.583862,444.926605,89.237991,1554.581421,454.303314,55.333309,1231.042236,437.563293,211.249725,1478.043213,445.534576,254.807709,1305.774292,555.312561,25.137957,1369.74292,455.433716,67.609261,1188.886108,455.730377,67.594902,1078.559082,282.011688,117.871971,1495.708496,226.385208,122.345009,1346.891968,219.971512,53.911026,1145.406128,170.237518,104.835403,970.86731,154.091476,149.056305,903.105835,218.123489,111.01548,884.096802,148.553818,142.154083,808.105835,605.389832,149.435486,1515.476562,690.457336,98.256828,1292.447021,701.774048,59.628376,1186.244385,754.609192,108.038826,1089.703857,801.390442,141.462326,939.248596,754.805054,84.929695,922.077148,819.970947,131.569748,838.366211,334.602997,225.364746,1041.165283,580.771057,230.749496,1044.640503,398.825592,72.486229,1082.104004,510.442688,79.415924,1087.524536,305.791077,136.144623,703.807312,338.098206,111.231819,531.754089,344.542969,44.258503,217.916153,361.653168,21.521765,74.619133,410.806519,-19.495169,57.594795,352.216003,185.818909,30.047939,632.828247,210.145905,886.755432,618.692932,139.629974,529.928223,639.26947,95.565704,406.258087,607.280212,44.69352,73.246758,544.246765,14.65519,49.283443,620.022339,210.248627,31.890776
356.719238,250.142212,1702.803467,522.572937,245.289246,1706.60376,373.084381,116.773613,1708.882324,509.742981,117.432228,1703.696167,444.945312,89.102753,1554.519043,454.345581,55.086449,1231.060791,437.600128,210.933212,1477.904663,445.514832,254.512131,1305.698853,555.378479,24.504431,1369.825806,455.505127,67.330391,1188.889648,455.82135,67.34446,1078.554321,282.036346,117.698128,1495.703613,226.422455,122.009293,1346.866699,219.990326,53.525177,1145.421265,170.134445,104.443062,970.811584,153.985046,148.592621,902.987061,218.090622,110.428558,884.070496,148.47673,141.526123,808.084412,605.411133,149.22287,1515.454712,690.393616,98.466034,1292.206177,701.723206,58.967308,1186.293579,754.628845,107.622795,1089.761597,801.424194,141.583923,939.316345,754.754395,84.703476,922.225525,820.029114,131.262405,838.338928,334.443726,225.52179,1041.282837,580.838379,230.514496,1044.586914,398.854553,72.190781,1082.109497,511.243042,76.962105,1088.440186,305.851868,136.061661,703.813904,338.112549,111.108559,531.762512,344.532196,44.184326,217.887344,361.65387,21.530701,74.562912,410.853607,-19.217707,57.423828,352.23056,185.818588,30.123386,632.852905,209.906174,886.782593,618.675354,139.538116,529.916565,639.278748,95.571678,406.249847,607.271729,44.602272,73.368172,544.253113,14.624342,49.261986,620.117676,210.290085,31.844269
356.280029,250.214493,1702.564209,522.560608,245.253143,1706.49939,373.007294,116.846596,1708.96814,509.692322,117.516533,1703.882568,444.945099,88.959213,1554.609375,454.374329,54.801243,1231.076538,437.466431,210.750259,1477.868652,445.478851,254.287399,1305.701904,555.356628,24.619764,1369.724487,455.525208,67.05735,1188.88855,455.864166,67.05442,1078.533569,282.028229,117.37925,1495.66394,226.36409,121.675873,1346.830444,220.004745,53.133972,1145.409424,170.044952,103.860092,970.848755,153.908234,147.969238,903.023193,217.990234,109.817039,884.045837,148.398834,140.863632,808.03656,605.39624,148.984772,1515.401123,690.410278,97.763313,1292.389038,701.690308,59.041405,1186.176147,754.619141,107.275383,1089.710083,801.401367,141.150299,939.300293,754.767639,84.326233,922.203857,819.994385,130.960953,838.335876,334.378418,225.254318,1041.296021,580.775452,230.288559,1044.627441,398.861237,71.90081,1082.090942,510.445404,79.167091,1087.347534,305.845184,136.012482,703.896057,338.118866,111.05838,531.749207,344.530487,44.183792,217.871597,361.616058,21.567106,74.596458,410.81897,-19.244181,57.438053,352.213898,185.874802,30.079048,632.845825,209.665344,886.704895,618.621033,139.510681,529.86438,639.290955,95.520775,406.249603,607.259094,44.531433,73.420425,544.233948,14.596033,49.256489,619.985352,210.271454,31.774994
356.247223,250.219696,1702.400146,522.53656,245.656189,1706.405029,372.989441,116.915367,1709.057617,509.691132,117.537842,1703.898071,445.00528,88.729195,1554.60083,454.448761,54.491791,1231.098022,437.451508,210.439713,1477.820557,445.467773,254.100708,1305.625977,555.408875,24.336811,1369.723877,455.633026,66.729897,1188.871948,455.914612,66.821396,1078.515381,282.057983,117.070213,1495.654785,225.771851,121.264282,1346.9021,219.936935,52.699497,1145.443237,169.989624,103.357765,970.915527,153.858643,147.389389,903.007385,217.941086,109.205231,884.006226,148.348236,140.215927,808.039795,605.45813,148.724625,1515.417725,690.432617,97.400909,1292.39209,701.725769,58.722595,1186.057739,754.62146,106.937263,1089.709717,801.45752,140.821716,939.291931,754.814392,84.053375,922.156433,820.026672,130.468658,838.235413,334.630524,224.677765,1041.272949,580.741821,229.999649,1044.690796,398.942841,71.627716,1082.076416,510.649384,78.513359,1087.438843,305.915924,135.774521,703.802917,338.178284,110.966393,531.773804,344.563568,44.155155,217.861008,361.649597,21.512054,74.605972,410.829651,-19.491259,57.508148,352.166107,185.934692,30.075134,632.847351,209.571518,886.724304,618.612122,139.560928,529.853271,639.308228,95.53196,406.20166,607.267822,44.484821,73.354233,544.257812,14.625772,49.219822,619.993774,210.263428,31.850025
