X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
350.734467,229.344421,1684.881348,517.250183,234.421677,1689.306885,374.996826,104.384796,1729.687134,510.95517,111.50708,1724.298096,441.855011,41.784935,1556.040649,442.426514,22.896332,1229.470703,433.19516,169.189575,1487.496704,436.268158,226.205078,1320.834473,534.952576,-24.037228,1353.702393,444.599365,35.53463,1188.135498,446.70871,36.072166,1077.84729,281.746582,61.613899,1509.249268,222.244385,68.66188,1362.184937,224.155869,20.257019,1154.492798,163.09108,76.453491,986.112549,138.410263,125.25061,919.841309,205.187561,91.931595,897.971497,130.552734,112.038643,824.804321,600.515137,81.873329,1500.5,664.040405,45.740208,1264.752686,661.417969,22.854225,1154.294434,720.067627,75.489151,1063.105591,767.105957,128.371277,914.567993,711.40033,78.876335,895.269592,781.670898,113.486725,812.678589,331.573547,199.92659,1044.810303,574.938049,196.874756,1049.852783,390.072266,43.210457,1080.931274,501.923798,46.20462,1087.328491,294.800262,122.56707,702.759766,325.394104,100.06218,529.111084,328.431702,36.113361,216.940414,343.562622,15.222338,73.522377,394.923553,-21.571213,55.070347,321.366364,178.382492,30.322136,626.705322,182.879562,888.97406,604.946045,130.445999,529.284485,624.90155,89.460251,404.402069,586.070007,43.446537,71.498512,523.827698,11.526662,48.648483,594.41449,209.3918,30.897789
350.88266,229.338333,1684.880249,517.299011,234.319427,1689.291626,374.981995,104.340637,1729.669067,510.983215,111.583199,1724.269775,441.878479,41.648651,1556.03894,442.445099,22.898201,1229.421387,433.153839,169.209381,1487.39624,436.239502,226.138245,1320.848511,534.926514,-24.050825,1353.616577,444.598267,35.569016,1188.077271,446.742188,36.149277,1077.816528,281.76004,61.487362,1509.176025,223.245361,68.770081,1362.076782,224.21788,20.123718,1154.423462,163.143372,76.304726,986.033508,138.806839,125.199806,919.563721,205.31691,91.849609,897.910217,130.715927,111.90892,824.703491,600.674561,81.587097,1500.563477,663.817871,46.36124,1264.38501,661.401001,22.657507,1154.199219,720.037781,75.348236,1063.000854,766.492004,127.752022,914.320618,711.394043,78.650589,895.198242,781.783142,113.170631,812.473267,331.887268,199.660339,1044.764526,574.948914,197.011414,1049.783081,390.047791,43.235577,1080.982544,501.967255,46.213783,1087.334961,294.826721,122.712479,702.720581,325.380341,100.110207,529.094177,328.365967,36.235748,217.055725,343.576477,15.25376,73.507652,394.922668,-21.559538,55.043568,321.535095,178.529282,30.12738,626.658997,182.935791,888.968506,604.953491,130.511414,529.310242,624.910767,89.464241,404.452698,586.125305,43.333847,71.564926,523.804016,11.512956,48.607071,594.444092,209.510345,30.715626
350.856476,229.183411,1684.851807,517.246643,234.162827,1689.277954,375.009735,104.253128,1729.660767,510.925476,111.555519,1724.263306,441.890656,41.407078,1555.99939,442.444183,22.850288,1229.416382,433.114807,168.979477,1487.361938,436.177979,226.140381,1320.880981,534.884155,-24.115442,1353.547363,444.590271,35.583553,1188.042969,446.768311,36.174835,1077.823853,281.72644,61.393276,1509.14209,222.571838,68.533745,1362.044067,224.282028,20.014116,1154.391602,163.195496,76.142204,985.935181,138.858215,125.080688,919.531982,205.387573,91.742088,897.854309,130.818222,111.818237,824.600342,600.506592,81.632393,1500.36853,663.865234,45.599384,1264.554932,661.375061,22.492437,1154.14978,720.014526,75.090157,1063.003906,766.253601,127.445427,914.100342,711.381226,78.417236,895.12677,781.625427,112.974052,812.535828,331.817993,199.700043,1044.759888,574.862488,197.021515,1049.802124,389.805481,43.409016,1081.228882,501.962891,46.292019,1087.353638,294.679199,122.615761,702.71521,325.3508,100.111641,529.12616,328.394409,36.160099,216.929138,343.550385,15.243478,73.526291,394.841644,-21.509798,55.056812,321.374939,178.577942,30.129204,626.593445,183.061768,888.968994,604.846924,130.572861,529.327271,625.0625,89.163979,404.687378,585.969604,43.501312,71.422752,523.801819,11.51386,48.617867,594.367126,209.558212,30.652908
350.895935,229.134369,1684.773193,517.216736,234.102325,1689.30127,375.024078,104.124229,1729.673706,510.914032,111.549637,1724.248779,441.900269,41.334682,1556.015259,442.443085,22.910837,1229.338257,433.051178,168.93132,1487.450195,436.229431,226.304886,1320.865112,534.897827,-24.171934,1353.490967,444.597321,35.583836,1188.040283,446.783539,36.239227,1077.802246,281.752289,61.236725,1509.088257,222.563065,68.390167,1362.030518,224.39444,19.862204,1154.333374,163.329971,75.97229,985.884644,138.949081,124.931847,919.46283,205.520584,91.597809,897.842712,130.984177,111.661331,824.549133,600.527222,81.391205,1500.332153,663.850098,45.424244,1264.52478,661.294861,22.353045,1154.088257,719.96814,74.90506,1062.925781,766.250671,127.150459,914.071472,711.394165,78.160767,895.092041,781.70105,112.499687,812.429504,331.563019,200.050858,1044.876953,574.842041,197.036163,1049.7854,389.851196,43.453403,1081.199341,501.991974,46.377174,1087.310425,295.032318,122.75737,702.694092,325.389923,100.078064,529.142151,328.425446,36.129566,216.922836,343.661743,15.285167,73.559608,394.803711,-21.533489,55.081505,321.269684,178.54248,30.168217,626.600098,183.002563,888.949707,604.877441,130.528214,529.34314,624.918701,89.388321,404.54776,586.011292,43.449257,71.519035,523.821533,11.522505,48.581387,594.381653,209.602402,30.719732
350.874359,228.981827,1684.770264,517.235474,234.155487,1689.270996,375.031738,104.082672,1729.686401,510.94693,111.505508,1724.23999,441.894928,41.295799,1555.925781,442.445038,22.900492,1229.315063,433.272766,168.637039,1487.455322,436.248474,226.106461,1320.853516,534.883789,-24.244484,1353.438477,444.61026,35.638222,1187.974365,446.836426,36.285583,1077.789307,281.781555,61.084507,1509.060181,222.613754,68.240616,1361.959839,224.461685,19.802111,1154.279053,163.472397,75.902115,985.77887,139.129959,124.830757,919.414978,205.652039,91.424805,897.787598,131.094864,111.534393,824.499207,600.685059,81.215302,1500.420532,663.868164,45.227043,1264.441895,661.249329,22.234442,1154.015137,719.973694,74.609825,1062.8573,766.284119,126.900566,914.008362,711.367737,77.94249,895.005798,781.767212,112.183731,812.334045,331.59201,200.040009,1044.797852,574.894592,197.200745,1049.814331,389.843842,43.488377,1081.196777,502.017853,46.435505,1087.304565,294.249969,122.714867,702.877258,325.365967,100.124908,529.166748,328.3573,36.105934,217.007477,343.58371,15.230665,73.53968,394.846619,-21.523376,55.049339,321.441132,178.737625,29.993505,626.612671,182.976883,888.933594,604.912292,130.623123,529.27356,625.000549,89.213524,404.768311,586.099609,43.314606,71.711349,523.797363,11.53223,48.611435,594.448608,209.519379,30.76651
350.838043,229.026382,1684.724854,517.306946,234.086914,1689.272095,374.800537,103.906204,1729.662231,511.065308,111.290764,1724.258789,441.949158,41.149776,1555.928467,442.481445,22.917332,1229.257812,433.289734,168.563705,1487.331299,436.235229,225.872681,1320.868042,534.904846,-24.364925,1353.395996,444.633545,35.694569,1187.932861,446.87674,36.359566,1077.77124,281.839661,60.963955,1508.977417,222.744827,68.124947,1361.866333,224.565018,19.64831,1154.211304,163.591446,75.75808,985.721924,139.300751,124.700546,919.287354,205.837723,91.297409,897.704102,131.240021,111.403175,824.384705,600.596619,81.236885,1500.175537,663.888977,44.994232,1264.412476,661.162659,22.020918,1153.991699,720.013611,74.334824,1062.782593,766.794128,126.922485,914.114075,711.387329,77.706192,894.958496,781.852173,111.916565,812.293701,331.95462,199.781952,1044.82312,574.98291,197.204269,1049.780151,389.893524,43.532539,1081.174805,502.044983,46.519707,1087.287964,294.372894,122.753319,702.836243,325.403381,100.116241,529.159851,328.419464,36.306458,217.048721,343.545654,15.322499,73.495354,394.903687,-21.506811,55.022385,321.434662,178.3125,30.238001,626.632568,183.012085,888.926941,604.947388,130.58963,529.310913,624.944885,89.505699,404.49411,586.079163,43.473808,71.513199,523.839661,11.525625,48.615768,594.494385,209.538605,30.757055
350.874756,228.983688,1684.592896,517.31366,234.000107,1689.174194,374.829285,103.899757,1729.609009,511.02066,111.42347,1724.131104,441.933228,41.294586,1555.822388,442.493958,22.910437,1229.239014,433.403931,168.372391,1487.261353,436.277893,225.772827,1320.757202,534.893433,-24.458059,1353.337769,444.650635,35.688519,1187.885986,446.883881,36.369514,1077.761841,281.867554,60.799202,1508.906494,222.731262,68.004196,1361.812622,224.629074,19.537073,1154.114868,163.67514,75.626991,985.676086,139.465668,124.619514,919.217834,205.971054,91.215897,897.593079,131.346024,111.325722,824.294495,600.608337,81.187141,1500.085083,663.870911,44.842842,1264.312134,661.136841,21.831772,1153.917603,720.00415,74.153679,1062.74939,766.486816,126.3992,913.872803,711.429382,77.480225,894.916382,781.868347,111.621193,812.217834,331.64978,200.208755,1044.890503,574.964783,197.237289,1049.741089,389.909729,43.595852,1081.167236,502.086212,46.555653,1087.312012,294.732635,122.712769,702.727112,325.019867,100.18618,529.348267,328.308868,36.133751,216.980942,343.580994,15.392352,73.490082,394.909088,-21.551094,55.04224,321.571991,178.564499,30.069012,626.61438,183.025742,888.892151,604.989563,130.634888,529.345581,625.01123,89.193016,404.701874,586.138123,43.382915,71.539902,523.843201,11.524278,48.608665,594.528442,209.535889,30.703114
350.838654,228.795044,1684.616211,517.252075,233.900269,1689.040771,374.939606,103.857178,1729.648682,510.986755,110.949509,1724.181641,441.923767,41.019547,1555.883179,442.488678,22.862984,1229.17688,433.355133,168.262802,1487.262329,436.200043,225.709167,1320.75415,534.896118,-24.554394,1353.298462,444.639557,35.710796,1187.833374,446.886261,36.437584,1077.747803,281.811798,60.72168,1508.893188,222.648712,67.863106,1361.753662,224.700485,19.446789,1154.060913,163.746552,75.541832,985.580688,139.538467,124.602745,919.036621,206.031937,91.093826,897.546692,131.461563,111.187271,824.175659,600.745667,80.812813,1500.264526,663.80249,44.708733,1264.296875,661.090698,21.626245,1153.824463,719.953491,73.909996,1062.692871,766.488953,126.085297,913.821045,711.425964,77.242935,894.842407,781.808655,111.396912,812.15033,331.560455,200.180405,1044.800659,574.937927,197.353821,1049.767578,389.933228,43.596729,1081.137573,502.08902,46.588722,1087.276733,294.91626,122.65892,702.661255,325.383453,100.107224,529.14917,328.402802,36.133522,216.94693,343.677979,15.280751,73.567818,394.87027,-21.539309,55.041233,321.349091,178.658859,30.090092,626.568665,183.029587,888.857666,604.928467,130.611633,529.38562,624.984192,89.349365,404.507568,586.097351,43.343613,71.624001,523.819397,11.524143,48.613293,594.439026,209.584503,30.724312
350.829102,228.518082,1684.6427,517.246216,233.913864,1689.025269,374.963226,103.809883,1729.607056,511.06781,110.718231,1724.290161,441.936523,41.152645,1555.772217,442.546936,22.898485,1229.126221,433.26886,168.202545,1487.308838,436.193268,225.585373,1320.756226,534.904907,-24.642492,1353.22937,444.667908,35.715168,1187.792847,446.934723,36.459278,1077.733154,281.853027,60.507584,1508.811401,222.586166,67.715965,1361.717285,224.781372,19.348696,1153.987915,163.943146,75.371376,985.495605,139.645798,124.394531,918.973145,206.142273,90.948601,897.455078,131.611176,111.051399,824.108459,600.59967,80.981911,1499.980591,663.803101,44.465675,1264.255981,661.125488,21.438335,1153.755005,719.945374,73.711395,1062.60791,766.510437,125.813278,913.765869,711.445862,77.010361,894.751099,781.839966,111.102524,812.146729,331.885651,199.943298,1044.878174,574.903076,197.372391,1049.785156,389.942322,43.633686,1081.074097,502.12442,46.671028,1087.266602,294.926239,122.603737,702.653015,325.007751,100.153206,529.400574,328.46463,36.100571,216.963242,343.701843,15.373417,73.532265,394.876434,-21.572166,55.109676,321.328644,178.557785,30.13842,626.604187,183.105957,888.85083,604.998108,130.560806,529.391968,624.935425,89.431259,404.497467,586.04834,43.371868,71.528305,523.824829,11.504165,48.607346,594.459778,209.524139,30.792728
350.770172,228.502487,1684.557617,517.278931,233.755844,1689.082153,374.838165,103.593231,1729.568604,510.997711,111.062653,1724.163818,441.950897,40.881443,1555.849487,442.528748,22.878235,1229.092407,433.309509,168.139725,1487.250244,436.223907,225.519089,1320.733032,534.844543,-24.42872,1353.187988,444.688324,35.730259,1187.776367,446.966187,36.523811,1077.710938,281.885071,60.443218,1508.776733,222.58252,67.591553,1361.661499,224.850922,19.261454,1153.921509,163.980118,75.258606,985.422241,139.804764,124.303345,918.874512,206.252441,90.727989,897.40387,131.724792,110.874344,824.044312,600.62146,80.820778,1499.946777,663.827942,44.33493,1264.18689,661.118835,21.263966,1153.731812,719.991272,73.457565,1062.550781,766.563721,125.728447,913.775757,711.48761,76.760681,894.671753,781.928528,110.844864,812.073914,331.946136,199.930832,1044.820068,574.947327,197.265259,1049.778564,390.20874,43.585495,1080.825806,502.156616,46.680035,1087.275024,294.944702,122.599533,702.697754,325.393311,100.044533,529.22937,328.489532,36.127872,216.990295,343.601715,15.319092,73.571213,394.93222,-21.503902,55.028423,321.382599,178.513504,30.076941,626.588806,183.025375,888.81604,605.000305,130.503021,529.397949,625.333435,89.421265,404.563873,586.085815,43.303356,71.593536,523.830688,11.522262,48.604782,594.433105,209.36496,30.975248
