X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
352.530518,227.682556,1701.547607,518.479126,217.322571,1702.239746,364.782013,94.020241,1711.27002,501.164978,89.719315,1703.107788,432.9841,66.652214,1556.122314,436.010559,15.48818,1233.246704,428.774353,190.683533,1479.111816,434.728088,226.465363,1304.466187,534.888611,-12.737593,1372.4729,437.401764,26.892622,1189.509888,438.069672,32.022484,1072.69519,273.289856,101.401222,1511.396851,214.313171,103.147491,1364.580933,206.012558,34.067173,1163.927734,139.105789,69.082626,992.224792,113.563934,108.752953,922.882935,177.953217,71.528946,901.420166,101.134491,98.47171,828.400696,591.141052,111.461136,1514.650513,667.716125,59.112049,1287.503418,672.029846,28.329819,1178.993408,732.859619,77.526558,1087.029907,781.464294,122.243439,938.774597,735.166443,65.864197,919.031128,805.414062,111.340561,838.735474,326.19281,199.677124,1045.97168,573.431335,189.167328,1053.438477,381.896942,39.601028,1076.442383,492.917511,38.980312,1083.057007,292.703186,121.945496,705.249756,322.845856,100.875053,532.065979,326.175293,36.276688,217.35817,341.666168,14.94962,73.814644,392.366119,-23.018244,55.607121,321.700806,178.593079,30.094898,624.669128,175.209717,892.837524,603.749878,121.922707,531.337646,624.32074,81.729744,406.21225,586.497986,42.149181,71.72728,523.774292,11.434955,48.314651,595.252197,208.990433,31.509146
352.628784,227.702271,1701.458984,518.631592,217.321228,1701.790405,364.837311,94.046288,1711.405396,501.227142,89.671112,1703.299072,433.035767,66.506721,1556.077759,436.07019,15.45714,1233.199219,428.798737,190.337662,1479.090332,434.75116,226.335739,1304.45105,534.899658,-12.604893,1372.220459,437.486053,26.910772,1189.415894,438.127136,31.995867,1072.653564,273.178711,101.29245,1511.474609,214.356873,102.980804,1364.576172,206.156418,33.859463,1163.859009,139.257233,68.970619,992.108643,113.27623,108.543388,923.164001,177.853256,71.506615,901.27655,101.211708,98.275139,828.352966,591.165894,111.203789,1514.598999,667.460876,59.923203,1287.040527,671.954041,28.110172,1178.871704,732.779663,77.317261,1086.99646,781.390259,122.072021,938.656189,735.065125,65.70562,918.867432,805.260315,111.131737,838.624268,326.271667,199.514709,1045.856689,573.459045,189.203873,1053.403442,382.221527,39.72699,1076.457397,492.977142,38.959057,1083.009521,292.778717,121.989609,705.224182,322.888275,100.870041,532.074463,326.188019,36.250797,217.359726,341.676117,15.011454,73.866325,392.30719,-22.989162,55.63092,321.652985,178.566025,30.113689,624.748108,175.133759,892.871582,603.816162,121.886253,531.311951,624.416443,81.660767,406.25296,586.427002,42.074657,71.692223,523.76709,11.436058,48.30925,595.274658,208.91925,31.543247
352.687469,227.656204,1701.404297,518.66626,216.926086,1701.829224,364.807831,94.130478,1711.599121,501.154541,89.641914,1703.527588,433.052979,66.33168,1556.046997,436.12146,15.379363,1233.155762,428.791718,190.282974,1479.084229,434.786987,226.185593,1304.49231,534.864563,-12.736973,1372.157349,437.494446,26.862494,1189.408325,438.170074,32.016968,1072.643188,273.283966,101.027008,1511.437622,214.448486,102.767288,1364.513306,206.181641,33.724068,1163.795532,139.964783,68.861122,991.907959,113.451073,108.595367,923.028015,177.901855,71.23452,901.206726,101.281876,98.09642,828.273193,591.216431,111.097404,1514.643677,667.586731,58.839455,1287.318604,671.891663,27.920124,1178.753662,732.701233,77.185913,1086.886841,781.328613,122.104225,938.709412,734.945679,65.595886,918.829773,805.087769,110.998238,838.495422,326.422668,199.521576,1045.933716,573.567383,189.157608,1053.334595,382.25705,39.734875,1076.41333,493.017883,38.933865,1083.00708,292.896545,122.048126,705.217407,322.903717,100.881912,532.103699,326.210968,36.195843,217.415146,341.80835,15.107217,73.877632,392.334229,-23.006182,55.63512,321.677094,178.514893,30.117195,624.779358,175.220154,892.903931,603.820557,121.931511,531.317261,624.396362,81.60257,406.29837,586.437561,42.146744,71.743294,523.760681,11.440229,48.304646,595.253418,208.937943,31.567593
352.838623,227.762253,1701.297485,518.743469,216.731308,1701.740967,364.944397,94.237823,1711.70166,501.235901,89.752777,1703.625732,433.094269,65.982956,1556.134277,436.150482,15.320093,1233.091553,428.877075,190.137787,1479.037598,434.926575,226.08403,1304.452637,534.836243,-12.909973,1372.067627,437.52243,26.860895,1189.333374,438.232361,32.048534,1072.602783,273.448792,100.71656,1511.216553,214.554581,102.575607,1364.442993,206.316025,33.550766,1163.732422,139.495041,68.615814,991.935974,113.943382,108.26886,922.798157,177.997406,71.035675,901.127563,101.394577,97.923912,828.221863,591.322937,110.647507,1514.466553,667.618591,58.633202,1287.150879,671.807617,27.701948,1178.644165,732.649231,76.963638,1086.758179,781.209351,121.755638,938.430298,734.829895,65.429688,918.657227,804.942932,110.938255,838.410156,326.553925,199.53923,1045.890625,573.654724,189.239136,1053.37561,382.025055,39.675613,1076.280029,493.042328,38.998051,1082.949951,292.972473,122.204636,705.176331,322.946869,100.938713,532.097595,326.235718,36.271442,217.398575,341.851379,15.017962,73.887665,392.306427,-23.226671,55.935955,321.626373,178.620499,30.283484,624.871582,175.180756,892.873657,603.899963,121.96357,531.35553,624.447876,81.718842,406.240692,586.491821,42.133194,71.684021,523.774475,11.428073,48.314148,595.304565,208.829987,31.478495
352.953217,227.854553,1701.112305,518.828796,217.152603,1701.618286,364.965759,94.366623,1711.863647,501.270996,89.636795,1703.858032,433.11911,65.733376,1556.102783,436.211853,15.311973,1233.004883,428.914307,189.896988,1478.891357,435.007904,225.911179,1304.371216,534.840271,-13.080841,1371.924072,437.610535,26.846006,1189.294189,438.313293,31.989649,1072.588745,273.522583,100.48378,1511.120239,214.627945,102.404182,1364.316162,206.386688,33.409332,1163.650146,139.621704,68.48661,991.866577,114.01989,108.177834,922.719666,177.812958,70.593361,901.452759,101.438622,97.818665,828.096375,591.318298,110.506233,1514.457764,667.619812,58.329456,1287.066528,671.751709,27.483631,1178.503662,732.614929,76.823486,1086.630127,781.106445,121.68412,938.21759,734.733948,65.277039,918.536499,804.864014,111.185791,837.907776,327.000793,199.380203,1045.524414,573.735962,189.25853,1053.334473,382.079926,39.604191,1076.242432,493.132904,38.947502,1082.943237,293.477692,122.530495,705.035706,322.950287,100.999969,532.046692,326.233948,36.360134,217.378662,341.760162,15.041464,73.836731,392.289001,-23.194111,55.899605,321.596283,178.575836,30.26,624.8974,175.254089,892.796387,603.945679,121.996117,531.310181,624.52478,81.574898,406.29184,586.496643,42.095966,71.754005,523.771118,11.431474,48.317211,595.331604,208.799011,31.462137
352.973022,227.923599,1701.001587,518.899719,217.046021,1701.472168,364.815369,94.4599,1712.075806,501.216766,89.58213,1704.04834,433.100342,65.641296,1556.078735,436.217468,15.299479,1232.946533,428.880798,189.670944,1478.885376,434.993439,225.780029,1304.366089,534.800049,-13.224626,1371.806396,437.631744,26.806803,1189.226562,438.329498,31.997248,1072.559326,273.383118,100.420219,1511.202271,214.56665,102.248955,1364.279297,206.43895,33.309376,1163.578857,139.68428,68.445358,991.777222,114.088173,108.103584,922.619873,178.052856,70.63826,901.049438,101.513367,97.664352,828.002502,591.348877,110.286575,1514.371948,667.517578,58.228462,1286.930664,671.677551,27.361526,1178.358398,732.496887,76.642052,1086.478638,781.179016,121.893929,938.164795,734.649109,65.125198,918.409302,804.699585,111.017334,837.968567,326.712219,199.528152,1045.744019,573.707397,189.182068,1053.298706,382.136261,39.61795,1076.195557,493.166992,38.974594,1082.880737,293.427551,122.596184,705.01709,322.974548,101.075371,532.034729,326.318512,36.368324,217.365402,341.838379,15.094347,73.864204,392.31424,-23.1724,55.892071,321.687683,178.56781,30.11911,624.894958,175.315765,892.828735,604.348083,122.19339,531.412292,624.40802,81.885689,406.192505,586.400146,42.092678,71.696259,523.763367,11.429379,48.328163,595.263062,208.830307,31.403917
353.307281,228.175522,1700.811646,518.944458,217.131897,1701.366577,365.019592,94.57708,1712.265381,501.320068,89.721252,1704.216187,433.163483,65.412918,1556.003052,436.279175,15.207896,1232.918945,428.930511,189.338211,1478.883789,434.996918,225.62114,1304.376953,534.796753,-13.405242,1371.696533,437.688629,26.781033,1189.186035,438.420349,32.043491,1072.501709,273.420471,100.175484,1511.163818,214.614349,102.091232,1364.269897,206.554901,33.17532,1163.525024,139.763184,68.247215,991.738281,114.138176,107.897438,922.562988,178.149048,70.40509,901.003906,101.597977,97.428459,827.963501,591.398682,109.891968,1514.268799,667.534729,57.952717,1286.845337,671.634888,27.15023,1178.236816,732.413391,76.514954,1086.346802,781.062561,121.830971,938.03186,734.588074,64.998672,918.268555,804.537292,111.32782,837.778076,326.679474,199.455368,1045.734497,573.728149,189.265442,1053.308838,382.209442,39.605583,1076.156494,493.302612,38.857769,1082.901001,293.458954,122.645561,705.025391,322.992462,101.093102,532.019653,326.324738,36.365143,217.393585,341.753723,15.037,73.863297,392.359314,-22.968071,55.615219,321.514862,178.61113,30.201035,624.945068,175.305542,892.810059,604.302673,122.358246,531.443176,624.393799,81.88446,406.263031,586.434021,42.094788,71.769493,523.776428,11.44412,48.297607,595.293884,208.804962,31.433769
353.401245,228.21022,1700.665771,519.024353,216.986282,1701.269287,364.996033,94.72377,1712.449097,501.34021,89.699745,1704.44458,433.168701,65.256432,1555.982544,436.2948,15.192278,1232.847534,429.200073,188.895401,1478.734497,435.159088,225.488846,1304.365967,534.754395,-13.589501,1371.587402,437.739868,26.763992,1189.113525,438.466125,32.056519,1072.480957,273.449768,99.940155,1511.172729,214.687592,101.887299,1364.226807,206.639236,33.034103,1163.461792,139.770676,68.195206,991.663757,114.24305,107.814026,922.512268,178.389633,70.072906,900.952637,101.671333,97.258072,827.884216,591.454529,109.716988,1514.264771,667.519226,57.63298,1286.765259,671.576965,27.012011,1178.128906,732.383789,76.296982,1086.209595,781.010071,121.583054,937.840393,734.488098,64.891808,918.113098,804.452393,111.283363,837.621399,326.865936,199.529114,1045.745605,573.794128,189.261597,1053.329224,382.270081,39.628811,1076.0979,493.330566,38.909191,1082.853027,293.461121,122.755524,705.008179,322.999176,101.114822,532.040344,326.27002,36.374405,217.409622,341.889862,15.114285,73.902069,392.402588,-22.971054,55.67934,321.550446,178.518661,30.175974,624.967407,175.402176,892.840332,604.373291,122.354347,531.396729,624.514648,81.81144,406.282654,586.482849,42.105949,71.706062,523.742371,11.458536,48.318466,595.254883,208.925079,31.588156
353.221191,228.193985,1700.486572,519.129578,217.268173,1701.080811,365.069092,94.801895,1712.638916,501.414185,89.770378,1704.560303,433.215637,65.025429,1555.914062,436.386902,15.123345,1232.805786,429.235748,188.77684,1478.689575,435.22879,225.318253,1304.345337,534.744934,-13.751438,1371.426392,437.814209,26.727386,1189.070557,438.559631,32.083313,1072.397705,273.560211,99.686592,1511.090576,214.788834,101.647255,1364.117676,206.744308,32.896866,1163.3573,139.294586,67.689972,991.738342,114.335976,107.624245,922.356873,178.484406,69.950768,900.844543,101.738266,97.100075,827.809875,591.537231,109.532211,1514.161133,667.54425,57.37188,1286.612671,671.528809,26.892052,1177.999512,732.408142,76.144745,1086.05188,780.946289,121.553055,937.723877,734.413391,64.750389,918.024536,804.230347,110.773651,837.503296,326.992493,199.514084,1045.739868,573.92926,189.251968,1053.254272,382.333374,39.658298,1076.018677,493.403137,38.906536,1082.828003,293.507172,122.841446,705.001953,323.055359,101.166733,532.05481,326.341187,36.352295,217.411896,341.752075,15.061118,73.899101,392.365234,-23.185055,55.904289,321.615692,178.511093,30.172499,625.035522,175.48349,892.816772,604.441223,122.450462,531.497131,624.556091,81.987892,406.225433,586.534546,42.13657,71.824051,523.764709,11.478539,48.355461,595.215637,208.98497,31.503157
353.670288,228.412201,1700.269897,519.205078,217.318787,1700.831665,365.075928,94.978752,1712.782104,501.429321,89.871956,1704.803833,433.244354,64.854454,1555.955444,436.395325,15.063474,1232.756348,429.317169,188.391464,1478.603394,435.287415,225.242065,1304.286621,534.700134,-13.935102,1371.337158,437.831543,26.675484,1189.040771,438.592194,32.05439,1072.361572,273.644989,99.4216,1510.977051,214.845993,101.470909,1364.020386,206.793716,32.812729,1163.286133,139.241837,67.713524,991.780396,114.454185,107.717804,922.138428,178.231766,69.947403,900.75769,101.74765,97.285965,827.644958,591.62146,109.336342,1514.031006,667.537231,57.166046,1286.498047,671.487549,26.668388,1177.907715,732.323975,76.020386,1085.898438,780.827271,121.447891,937.60199,734.307617,64.617104,917.895569,804.155396,111.221313,837.230286,327.462646,199.200806,1045.354614,573.91095,189.345886,1053.279175,382.332794,39.656017,1075.995117,493.441193,38.89526,1082.794434,293.510681,122.967972,704.941956,323.046967,101.215698,531.992065,326.27179,36.419529,217.406967,341.854279,15.108938,73.852547,392.332245,-23.204308,55.923592,321.53952,178.570236,30.279732,624.986084,175.610733,892.881897,604.001831,122.417984,531.307251,624.311279,82.766083,405.891937,586.484131,42.174793,71.744225,523.7547,11.455009,48.329823,595.326904,208.786758,31.470276
