X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
368.407562,223.308884,1698.810913,530.602051,187.04097,1695.880127,360.588196,90.328415,1715.985107,493.364899,64.041718,1705.045898,424.47525,45.181934,1553.707397,434.692749,-12.263429,1234.279419,428.954041,163.87204,1471.967896,436.60376,196.807632,1296.419434,522.570251,-48.443386,1362.710938,438.153961,-1.075229,1190.27356,442.863159,5.500367,1072.536987,267.927673,83.596619,1504.598145,210.792953,81.565109,1356.964111,197.89975,3.031748,1158.485107,153.016113,56.351727,982.83844,145.099091,102.300972,912.350769,193.003601,43.524647,894.802307,132.250183,89.996529,818.125305,587.064087,70.307907,1497.495605,660.642456,16.922993,1268.174561,663.242249,-12.638253,1156.47998,720.611328,58.121143,1073.967529,760.046326,140.164032,934.249146,725.919312,76.476891,910.812622,783.3255,136.579956,832.853149,329.952728,172.646469,1047.03772,579.212463,161.653976,1055.326294,386.400482,13.251341,1074.960449,498.097137,10.408116,1083.157227,301.031616,109.579865,704.890442,331.392975,90.902435,532.635498,335.945862,32.493511,215.831543,351.74649,12.181958,72.102928,396.642731,-32.842617,55.122612,359.266907,177.585205,30.497782,631.139526,151.016693,894.487366,613.850403,118.853233,531.252441,632.145569,78.897926,405.657715,595.283142,37.999901,71.57254,528.682495,13.572225,45.985992,621.889648,203.010727,32.123074
368.898529,224.179169,1698.510986,531.077637,187.105667,1695.625732,360.671295,91.213562,1716.175171,493.349915,64.376038,1705.262695,424.472717,45.356468,1553.696167,434.642517,-12.195774,1234.318237,429.239746,164.018845,1471.861938,436.9245,196.798447,1296.275879,522.360107,-48.47448,1362.702148,438.127869,-0.988038,1190.313599,442.835388,5.547732,1072.542847,268.012512,84.050552,1504.471924,210.900345,81.881767,1356.880127,197.91687,3.402351,1158.467773,153.028748,56.680164,982.825439,145.182343,102.693855,912.353516,193.015091,43.832542,894.812378,132.264221,90.322189,818.119202,587.074158,70.087097,1497.556152,660.593933,16.386488,1268.222778,663.236023,-13.247013,1156.522461,720.720642,57.480534,1074.067383,760.345581,139.525833,934.325989,726.089661,75.986519,910.979309,783.527649,136.054855,832.997681,330.177948,172.719574,1047.043579,579.432678,161.428268,1055.30835,386.415222,13.352895,1074.9646,497.2677,12.704262,1082.154663,301.135742,109.728371,704.896301,331.654724,90.621475,532.65509,335.97467,32.53891,215.808914,351.80011,12.328701,72.047256,396.722076,-32.880299,55.030613,359.323639,177.608795,30.47517,631.369751,150.742813,894.174805,613.847595,119.150032,531.19342,632.097595,79.103226,405.506195,595.314636,37.863503,71.841843,528.679565,13.6297,45.992779,621.87854,203.071518,32.059559
369.450012,225.04393,1698.148315,531.410034,187.260941,1695.408936,360.664642,92.300484,1716.198486,493.225647,64.636658,1705.446167,424.353119,45.705601,1553.69165,434.551483,-12.182513,1234.383789,429.681732,163.68219,1471.593994,437.154114,196.847961,1296.190308,522.068359,-48.577297,1362.714966,438.048035,-0.91324,1190.336182,442.811615,5.569298,1072.525879,268.040527,84.373619,1504.452148,210.892502,82.275833,1356.820068,197.850098,3.856383,1158.380981,152.88797,57.179173,982.619629,145.17662,103.066254,912.289246,192.925186,44.181866,894.716248,132.233414,90.734947,818.044739,587.034729,69.693077,1497.545044,660.470337,15.84582,1268.292725,663.150818,-13.803781,1156.597778,720.689026,56.878403,1074.148438,760.501404,138.983322,934.442017,726.188843,75.40271,911.075195,783.721741,135.644379,833.216125,330.374237,172.91452,1047.184082,579.593384,161.263397,1055.198242,386.343384,13.492544,1074.969971,498.102325,10.240412,1083.172607,301.417023,109.975052,704.727783,331.72168,90.787155,532.686096,335.935425,32.601131,215.789917,351.737488,12.331309,72.027718,396.579895,-32.708389,55.055874,359.242035,177.599945,30.404648,631.404053,150.718811,894.297241,613.910767,119.8358,530.934143,631.929321,79.895348,405.220917,595.200867,37.95657,71.793793,528.628296,13.652882,45.987648,621.831604,203.351105,31.94854
370.000916,225.864059,1697.796631,531.582092,187.252335,1695.160645,360.713684,93.256981,1716.3302,493.202942,64.764091,1705.565186,424.29892,45.962044,1553.751221,434.501434,-12.090128,1234.387695,429.506104,164.078354,1471.683838,437.385223,196.944412,1296.153076,521.833618,-48.688244,1362.726318,438.03302,-0.900748,1190.372314,442.799347,5.567412,1072.536255,268.123657,84.727104,1504.370605,210.889511,82.546051,1356.84314,197.850677,4.189603,1158.392944,152.902435,57.590256,982.609985,145.125854,103.443947,912.218689,193.011841,44.652378,894.704895,132.23996,91.121437,818.04541,587.019165,69.453209,1497.584351,660.43573,15.078239,1268.480957,663.031677,-14.340442,1156.65564,720.744385,56.189095,1074.272217,760.434448,138.022217,934.577026,726.341125,74.80014,911.165527,783.933777,135.532227,833.5849,330.616333,173.07431,1047.095337,579.777344,161.141602,1055.183472,386.420227,13.561831,1075.004028,497.360291,12.309438,1082.253784,301.563599,110.085716,704.737,331.637482,90.992363,532.538574,335.974518,32.568668,215.847824,351.732025,12.309522,72.046867,396.533844,-32.704403,55.105927,359.192719,177.629425,30.405321,631.529541,150.592163,894.29541,613.910034,119.575989,531.144653,632.114563,79.531494,405.690369,595.167236,37.964802,71.826424,528.632202,13.652561,45.99543,621.836731,203.11496,32.019047
370.500946,226.729874,1697.582275,532.196716,187.572189,1694.87207,360.736969,94.232002,1716.52417,493.174652,65.014908,1705.719849,424.240631,46.21796,1553.821655,434.444855,-11.936443,1234.416748,430.030273,163.958755,1471.485718,437.642395,197.007706,1296.077881,521.563293,-48.772137,1362.754883,438.023132,-0.794538,1190.374512,442.812378,5.596879,1072.580322,268.211334,84.984566,1504.436768,210.960709,82.881348,1356.867798,197.87738,4.50633,1158.356445,152.870392,58.035133,982.639832,145.189407,103.837997,912.125671,193.026184,45.025051,894.666565,132.281845,91.502762,818.046265,586.995178,69.228714,1497.590088,660.385742,14.444996,1268.509644,662.89978,-15.061188,1156.839966,720.821472,55.470051,1074.382568,760.958313,137.589066,934.774353,726.516296,74.174568,911.268799,784.369812,134.326614,833.631409,330.847382,173.200714,1047.143555,580.018738,161.015778,1055.217163,386.389221,13.731538,1075.006836,497.229065,12.661863,1082.12915,301.535583,110.112068,704.851562,331.832764,90.79615,532.665649,335.971497,32.585415,215.848495,351.752472,12.299488,72.054779,396.578552,-32.833641,55.110039,359.310791,177.771881,30.349361,631.696533,150.471573,894.278015,613.900818,119.89257,531.03186,632.056091,79.859047,405.605408,595.221985,38.061852,71.819153,528.597473,13.666124,45.989437,621.819092,203.113342,32.031273
371.177368,227.700546,1697.264648,532.650513,187.727661,1694.567383,360.749237,95.220901,1716.675415,493.087982,65.480499,1705.867554,424.21875,46.420029,1553.847046,434.373352,-11.814127,1234.453979,430.283661,164.038956,1471.42981,437.968384,197.0504,1296.075439,521.257141,-48.907349,1362.820801,437.987427,-0.662723,1190.412476,442.782593,5.695362,1072.578857,268.299408,85.232887,1504.341309,211.059784,83.316139,1356.827881,197.842026,4.876547,1158.37085,153.010284,58.43803,982.562439,144.735168,104.221733,912.166748,193.075317,45.448483,894.693726,132.317383,92.046806,818.076416,586.998962,68.921829,1497.625732,660.341125,13.921807,1268.564209,662.889282,-15.476885,1156.747192,720.913086,54.838833,1074.505005,761.160339,136.840988,934.866333,726.629517,73.611481,911.352661,784.577087,133.666809,833.677856,331.135895,173.537125,1047.260376,580.211792,160.87915,1055.217896,386.415009,13.804875,1075.063843,497.258087,12.58702,1082.163452,301.838409,110.328232,704.729431,331.888519,90.831848,532.681458,335.929962,32.607822,215.90033,351.722992,12.288875,72.095383,396.536896,-32.689106,55.095612,359.273743,177.600754,30.361904,631.793335,150.399445,894.268188,613.990906,119.969635,531.062744,632.10791,80.011841,405.521576,595.381714,37.695324,72.21769,528.56604,13.697513,45.996464,621.822937,203.141846,32.041515
371.706604,228.537506,1696.869263,533.094177,187.917938,1694.187134,360.645081,96.148804,1716.845947,492.949493,66.354095,1706.066284,424.23822,46.619965,1553.868896,434.377228,-11.741065,1234.502808,430.182983,164.390915,1471.446289,438.20282,197.104446,1295.994141,521.015625,-48.985451,1362.829712,437.979675,-0.591748,1190.42041,442.794861,5.707529,1072.608154,268.406708,85.589828,1504.291382,211.180038,83.644966,1356.712524,198.007904,5.286131,1158.254761,153.235031,58.994236,982.518372,144.499573,105.118126,912.180603,193.39444,46.046749,894.748352,132.353027,92.502869,818.012451,586.996094,68.700638,1497.631958,660.288025,13.495376,1268.560547,662.478699,-16.037619,1156.765869,720.941223,54.328362,1074.534302,761.31543,136.202118,934.990051,726.813354,72.950829,911.41095,784.807068,132.989807,833.764343,331.307831,173.573654,1047.22998,580.389954,160.7034,1055.198242,386.462097,13.961355,1075.088135,497.256165,12.615747,1082.16748,301.996429,110.459602,704.700439,331.932312,90.87989,532.65509,335.890198,32.660107,215.86322,351.747833,12.28454,72.141541,396.506714,-32.665852,55.08836,359.348541,177.693176,30.493137,631.927246,150.301666,894.214905,613.954102,120.188774,531.054504,632.021973,80.256821,405.479828,595.230469,37.980057,71.926926,528.530212,13.75589,46.00803,621.823792,203.196106,32.022408
372.387268,229.479187,1696.479858,533.439148,188.262375,1693.945679,360.946991,97.252426,1717.043945,492.867493,66.845718,1706.234741,424.10791,46.980377,1553.879395,434.327972,-11.58592,1234.515747,430.670013,164.226395,1471.189209,438.487122,197.204834,1295.923096,520.739014,-49.043991,1362.82019,437.972107,-0.516418,1190.465576,442.801025,5.789542,1072.647827,268.488312,85.978432,1504.309448,211.675858,84.225487,1356.723877,197.961441,5.744578,1158.200195,153.199631,59.525429,982.476562,144.772751,105.356537,912.043701,193.066742,46.339237,894.597839,132.386978,93.131119,817.965942,586.96582,68.38575,1497.604126,660.159607,12.868909,1268.671265,662.627563,-16.713161,1156.791382,720.951355,53.602058,1074.555176,761.160339,135.683533,935.117859,726.867065,72.361115,911.459412,785.108826,132.204575,833.845764,331.321075,173.821365,1047.273071,580.537781,160.63179,1055.185913,386.476044,14.089136,1075.126709,497.244965,12.646285,1082.176147,302.10614,110.594292,704.734802,331.913818,90.978165,532.618164,335.921509,32.728249,215.854263,351.656891,12.36285,72.056961,396.434906,-32.639069,55.14151,359.254913,177.611511,30.347456,631.991516,150.358475,894.12323,613.978577,120.376083,531.001221,632.006592,80.540794,405.400513,595.204346,38.192181,71.806023,528.492676,13.783891,45.989082,621.737854,203.212341,31.990129
372.982178,230.403442,1696.163574,533.920166,188.589325,1693.605591,360.829163,98.332809,1717.165894,492.845673,67.132484,1706.485474,424.069275,47.125668,1553.987915,434.319519,-11.509258,1234.569092,430.466827,164.632477,1471.328491,438.733337,197.392258,1295.952393,520.464966,-48.713226,1362.77771,438.016235,-0.423795,1190.49707,442.811157,5.81785,1072.673462,268.568512,86.211212,1504.245483,211.704895,84.648163,1356.710815,197.927734,6.199437,1158.151611,153.078629,60.02021,982.440308,144.829422,105.93351,912.050415,193.055527,46.815456,894.564819,132.441391,93.804558,817.956543,586.938293,68.109467,1497.607422,660.052551,12.382448,1268.640015,662.463074,-17.246437,1156.864502,720.991211,52.987366,1074.684082,761.597534,134.901627,935.126892,727.014404,71.730286,911.585022,785.234863,131.652649,833.824951,331.618195,173.939987,1047.216064,580.669128,160.558929,1055.220703,386.488586,14.189661,1075.153564,497.283325,12.637802,1082.22229,302.263062,110.701828,704.704956,331.840912,91.1866,532.515381,335.929474,32.758968,215.867493,351.725769,12.262075,72.127007,396.50882,-32.730152,55.08844,359.237305,177.703323,30.367062,632.117493,150.289185,894.134155,614.04718,120.415436,531.008057,631.647339,80.253662,405.442078,595.207153,38.126259,71.896675,528.513245,13.7789,45.989895,621.725159,203.419006,31.962257
373.55957,231.267044,1695.855835,534.151428,188.741104,1693.376465,361.055817,99.487572,1717.390137,492.743408,67.523727,1706.71814,424.031921,47.387997,1553.968018,434.266968,-11.361091,1234.546875,431.026489,164.437256,1471.130981,439.114624,197.489578,1295.767944,520.227112,-48.875336,1362.745605,437.972137,-0.281524,1190.505371,442.791626,5.915771,1072.672119,268.61438,86.504005,1504.119629,211.357559,84.907593,1356.679443,197.895966,6.694715,1158.156128,153.208801,60.612038,982.428711,144.943024,106.568275,912.038391,192.982971,47.417992,894.580139,132.359344,94.442322,817.904602,586.90625,67.916672,1497.586426,659.944397,11.859739,1268.691772,662.278503,-17.784229,1156.893188,720.984131,52.35466,1074.640259,761.516968,133.910248,935.148193,727.099243,71.066109,911.634705,785.476135,130.914612,833.972168,331.750519,174.098694,1047.307373,580.920349,160.426605,1055.211182,386.480743,14.322207,1075.206787,497.275848,12.703605,1082.217529,302.330444,110.800346,704.753723,331.993896,91.039536,532.605347,336.397583,32.831139,215.747116,351.691284,12.321633,72.123199,396.463745,-32.852917,55.24514,359.256836,177.70108,30.399502,632.210449,150.309662,894.138306,614.085815,120.649055,531.000793,631.692627,80.356483,405.366547,595.180786,38.147629,71.989113,528.441528,13.776487,46.030468,621.720398,203.20929,31.976345
