X.Subj1:LFHD,Y.Subj1:LFHD,Z.Subj1:LFHD,X.Subj1:RFHD,Y.Subj1:RFHD,Z.Subj1:RFHD,X.Subj1:LBHD,Y.Subj1:LBHD,Z.Subj1:LBHD,X.Subj1:RBHD,Y.Subj1:RBHD,Z.Subj1:RBHD,X.Subj1:C7,Y.Subj1:C7,Z.Subj1:C7,X.Subj1:T10,Y.Subj1:T10,Z.Subj1:T10,X.Subj1:CLAV,Y.Subj1:CLAV,Z.Subj1:CLAV,X.Subj1:STRN,Y.Subj1:STRN,Z.Subj1:STRN,X.Subj1:RBAK,Y.Subj1:RBAK,Z.Subj1:RBAK,X.Subj1:T12,Y.Subj1:T12,Z.Subj1:T12,X.Subj1:S1,Y.Subj1:S1,Z.Subj1:S1,X.Subj1:LSHO,Y.Subj1:LSHO,Z.Subj1:LSHO,X.Subj1:LUPA,Y.Subj1:LUPA,Z.Subj1:LUPA,X.Subj1:LELB,Y.Subj1:LELB,Z.Subj1:LELB,X.Subj1:LFRM,Y.Subj1:LFRM,Z.Subj1:LFRM,X.Subj1:LWRA,Y.Subj1:LWRA,Z.Subj1:LWRA,X.Subj1:LWRB,Y.Subj1:LWRB,Z.Subj1:LWRB,X.Subj1:LFIN,Y.Subj1:LFIN,Z.Subj1:LFIN,X.Subj1:RSHO,Y.Subj1:RSHO,Z.Subj1:RSHO,X.Subj1:RUPA,Y.Subj1:RUPA,Z.Subj1:RUPA,X.Subj1:RELB,Y.Subj1:RELB,Z.Subj1:RELB,X.Subj1:RFRM,Y.Subj1:RFRM,Z.Subj1:RFRM,X.Subj1:RWRA,Y.Subj1:RWRA,Z.Subj1:RWRA,X.Subj1:RWRB,Y.Subj1:RWRB,Z.Subj1:RWRB,X.Subj1:RFIN,Y.Subj1:RFIN,Z.Subj1:RFIN,X.Subj1:LASI,Y.Subj1:LASI,Z.Subj1:LASI,X.Subj1:RASI,Y.Subj1:RASI,Z.Subj1:RASI,X.Subj1:LPSI,Y.Subj1:LPSI,Z.Subj1:LPSI,X.Subj1:RPSI,Y.Subj1:RPSI,Z.Subj1:RPSI,X.Subj1:LTHI,Y.Subj1:LTHI,Z.Subj1:LTHI,X.Subj1:LKNE,Y.Subj1:LKNE,Z.Subj1:LKNE,X.Subj1:LTIB,Y.Subj1:LTIB,Z.Subj1:LTIB,X.Subj1:LANK,Y.Subj1:LANK,Z.Subj1:LANK,X.Subj1:LHEE,Y.Subj1:LHEE,Z.Subj1:LHEE,X.Subj1:LTOE,Y.Subj1:LTOE,Z.Subj1:LTOE,X.Subj1:RTHI,Y.Subj1:RTHI,Z.Subj1:RTHI,X.Subj1:RKNE,Y.Subj1:RKNE,Z.Subj1:RKNE,X.Subj1:RTIB,Y.Subj1:RTIB,Z.Subj1:RTIB,X.Subj1:RANK,Y.Subj1:RANK,Z.Subj1:RANK,X.Subj1:RHEE,Y.Subj1:RHEE,Z.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:RTOE,Z.Subj1:RTOE
365.990967,247.133926,1700.688721,531.922668,236.31604,1702.667358,378.097931,113.360435,1708.745605,514.661804,108.998825,1701.950317,449.164062,85.38343,1554.620605,458.744965,27.070454,1234.62207,445.364075,206.332809,1473.904785,450.277588,239.449539,1298.336914,549.209412,-2.392052,1366.556152,459.98468,37.215088,1190.704712,462.190308,41.82888,1072.888672,291.22702,117.091782,1511.150024,230.406357,107.550423,1365.905396,216.792664,22.18379,1169.886963,161.375916,66.040207,995.049744,142.924713,107.81517,927.287781,207.237442,73.636429,907.659485,135.836899,106.05912,832.838989,607.366943,120.809334,1505.736206,685.607666,59.441414,1281.840088,692.816162,26.566532,1173.527344,749.973511,78.914848,1081.174194,797.677612,125.7938,934.163879,746.506531,73.778923,912.951965,818.20752,117.146675,834.223206,341.238953,202.138535,1047.041138,589.562195,205.06311,1055.404175,404.964081,43.93536,1072.060059,516.387451,51.073833,1083.803101,313.999725,125.474068,705.657654,345.920807,104.122353,532.983032,358.082764,35.475689,218.440201,376.006073,13.299377,73.637093,426.362366,-24.928007,57.370506,362.676147,178.130646,30.139242,642.248718,182.00412,892.612061,623.358032,120.905487,530.836548,633.619263,73.06562,406.783173,590.494019,30.99765,71.964211,523.154358,16.95627,48.426067,643.521057,188.164368,31.608265
365.932587,246.855743,1700.424561,531.911072,236.097168,1702.481323,378.192932,113.271393,1708.973267,514.62085,108.902809,1702.206787,448.967194,85.025673,1554.521362,458.684601,27.222771,1234.436035,445.313904,206.550034,1473.93811,450.368958,239.407303,1298.512207,548.981567,-2.609603,1366.313843,459.899597,37.516846,1190.536987,462.160645,42.109066,1072.864136,291.144989,116.517166,1510.943604,230.364777,106.907143,1365.65564,217.203461,21.649963,1169.633057,161.937134,65.321388,994.601379,143.426315,107.017929,926.774353,207.819534,72.84079,907.260254,136.465057,105.01078,832.434326,607.347961,120.284332,1505.676392,685.428284,58.910034,1281.838257,692.430054,26.296013,1173.411621,749.677429,78.60302,1081.006592,797.337891,125.635788,934.075562,746.154358,73.537552,912.815125,817.810852,116.541389,834.083069,341.571716,202.432297,1047.034546,589.687256,205.280701,1055.37439,404.956512,44.264633,1072.042725,516.400452,51.308781,1083.780396,314.190247,125.238342,705.629944,346.050079,103.919174,533.043335,358.174744,35.322029,218.483093,376.000732,13.326587,73.682892,426.398712,-24.786026,57.255466,362.740234,178.037292,30.192923,642.32782,182.153809,892.540466,623.493469,120.943436,530.709961,633.664673,73.078209,406.705597,590.513916,30.789415,72.238472,523.096191,16.918238,48.459274,643.544373,188.193832,31.659986
366.411591,246.828522,1700.286865,531.850952,235.984451,1702.362915,378.175659,113.107651,1709.238525,514.628113,108.740273,1702.568848,448.90033,84.320679,1554.569214,458.62439,27.293768,1234.269043,445.426331,205.623093,1474.03186,450.48468,239.403397,1298.602661,548.791077,-2.886251,1366.128174,459.891205,37.728455,1190.404663,462.181885,42.422184,1072.825439,291.075348,115.995224,1510.745361,230.292358,106.353394,1365.405762,217.601166,21.138424,1169.346436,162.413177,64.514236,994.29187,143.811935,106.244881,926.602356,208.295181,72.042442,906.9552,137.009171,104.067673,831.994141,607.287048,119.768341,1505.573364,685.237671,58.696903,1281.649902,692.1698,26.062567,1173.280029,749.406677,78.295151,1080.873535,797.10437,125.344429,933.845093,745.816406,73.370895,912.677185,817.418884,116.75383,833.898254,341.722412,202.720047,1046.909668,589.8125,205.515198,1055.280396,404.900238,44.649673,1071.98938,516.443726,51.540478,1083.75647,314.332458,125.160736,705.651978,346.241516,103.758797,533.073792,358.253784,35.325611,218.473114,375.987457,13.40133,73.624428,426.433228,-24.988962,57.326988,362.717194,177.971878,30.172285,642.406555,182.235931,892.562195,623.422119,120.916252,530.801453,633.46991,73.928497,406.139496,590.535828,30.800007,72.226578,523.139893,16.960995,48.410309,643.621338,188.02095,31.79241
366.374298,246.742401,1700.150269,531.810425,236.072906,1702.271973,378.153595,112.991661,1709.499878,514.635315,108.65509,1702.868042,448.858398,83.946465,1554.456665,458.562988,27.400824,1234.087646,445.472015,205.139648,1474.269653,450.491028,239.264084,1298.731812,548.56665,-3.101064,1365.906006,459.88147,37.894394,1190.233643,462.152039,42.667503,1072.78772,291.017395,115.572083,1510.588867,230.31427,105.839081,1365.201538,217.960785,20.660223,1169.102783,162.981522,63.879631,993.954163,144.447372,105.461243,925.931458,208.834305,71.26828,906.668335,137.534103,103.16143,831.603882,607.232056,119.219086,1505.70813,685.020325,58.262806,1281.607056,691.915466,25.352486,1173.293335,749.099854,78.027451,1080.740967,796.732605,125.281082,933.807373,745.414917,73.229225,912.557495,817.063049,116.639442,833.38916,341.443207,203.24791,1047.106689,589.933472,205.70137,1055.127686,404.873535,44.96558,1071.936401,516.443604,51.767307,1083.723145,313.869263,124.647278,705.692505,346.422943,103.59333,533.0896,358.224335,35.283409,218.488998,376.010986,13.331075,73.550545,426.419067,-24.907295,57.281052,362.728241,178.069626,30.171986,642.484375,182.338791,892.477173,623.442017,120.894073,530.713501,633.640625,73.173927,406.583282,590.506653,30.996866,71.938766,523.125427,16.9534,48.424351,643.578369,188.117905,31.619337
366.26593,246.682465,1700.013062,531.773682,235.914551,1702.113647,377.988373,112.86097,1709.79248,514.519287,108.629417,1703.07666,448.79071,83.599167,1554.364258,458.497925,27.472832,1233.921509,445.474518,204.808121,1474.261108,450.609131,239.267365,1298.844238,548.408081,-3.779582,1365.930054,459.835602,38.045918,1190.127686,462.175079,42.868462,1072.758179,290.881165,115.108711,1510.431763,231.169556,105.491241,1364.815308,218.299652,20.21859,1168.848267,163.587006,63.133091,993.727173,144.942596,104.689072,925.499023,209.358521,70.460304,906.355713,138.075592,102.283943,831.169006,607.156372,118.33757,1505.716919,684.762695,57.96769,1281.499634,691.306396,25.028591,1173.270508,748.783691,77.796036,1080.616333,796.423035,125.107674,933.629578,745.005859,73.104713,912.39209,816.636414,116.55645,833.518005,341.640045,203.590118,1046.77417,589.755981,205.887772,1055.120605,404.839569,45.193405,1071.907593,516.478638,51.929832,1083.684448,314.557495,124.721054,705.483643,346.642914,103.494995,533.046448,358.301056,35.266037,218.463455,376.032806,13.37086,73.596031,426.412079,-24.951088,57.269691,362.657043,177.971252,30.088078,642.526001,182.457245,892.441406,623.36499,120.80883,530.826843,633.645752,73.177162,406.566742,590.509827,30.962729,72.014923,523.122437,16.944649,48.403084,643.523865,188.087067,31.540457
366.272522,246.617447,1699.890625,531.741943,235.880768,1701.930908,378.092834,112.7845,1710.02417,514.571533,108.506714,1703.342285,448.620636,83.32666,1554.370117,458.502289,27.490498,1233.822632,445.209503,204.392502,1474.468506,450.632599,239.196274,1298.963013,548.259766,-3.670597,1365.563354,459.858887,38.175907,1189.995972,462.244049,43.049908,1072.735474,290.817474,114.595543,1510.248291,230.516098,104.881706,1364.679565,218.648682,19.744467,1168.649902,163.862381,62.424419,993.312073,145.33548,103.824219,925.27478,209.841629,69.764549,906.064087,138.696182,101.396919,830.793457,607.100647,118.121849,1505.760498,684.532532,57.745541,1281.336548,691.201538,24.753986,1173.046631,748.515747,77.584297,1080.469971,796.247498,124.839668,933.503418,744.690247,72.959846,912.25531,816.355103,116.374176,833.419312,341.766083,203.737228,1046.783691,589.800659,206.052307,1055.078003,404.865448,45.423779,1071.873169,516.535522,52.192486,1083.571411,314.687378,124.576881,705.441711,346.845062,103.367516,533.064697,358.36731,35.151024,218.482941,376.132385,13.379437,73.610329,426.441376,-24.981346,57.292381,362.733673,178.000412,30.116444,642.610046,182.542969,892.377441,623.393188,120.874313,530.801636,633.68219,73.176964,406.567444,590.473877,30.981771,71.901398,523.116211,16.95188,48.370316,643.510193,188.17807,31.625521
366.30957,246.458237,1699.704956,531.733582,235.720627,1701.774048,378.09848,112.738396,1710.258301,514.497803,108.459488,1703.553589,448.497772,82.840744,1554.390503,458.459564,27.610226,1233.69458,445.04184,204.148911,1474.337402,450.727112,239.033813,1299.071655,548.108643,-3.909409,1365.449585,459.889374,38.315319,1189.905029,462.285614,43.251781,1072.693604,290.691498,114.109726,1510.108887,230.572128,104.431984,1364.526733,218.946762,19.213345,1168.489258,164.099243,61.842403,993.147827,145.80658,103.203606,924.868713,210.278244,69.134308,905.841125,139.225494,100.916458,830.490662,607.048523,117.651375,1505.745239,684.320251,57.32375,1281.237305,690.89624,24.462593,1172.887573,748.289856,77.215828,1080.38269,796.005493,124.851501,933.463257,744.360168,72.976273,912.285767,815.990784,117.038773,832.712158,343.140076,203.358429,1046.583862,590.07959,206.263336,1055.035645,404.926422,45.654434,1071.824097,516.592651,52.362892,1083.544189,314.874573,125.323715,705.70459,346.958984,103.240189,533.10907,358.293152,35.290482,218.787949,376.153473,13.308776,73.646408,426.507446,-24.922346,57.323719,362.679108,177.982651,30.217291,642.66156,182.632431,892.432983,623.527039,120.895752,530.708923,633.672852,73.237076,406.589081,590.487732,30.734303,72.192696,523.098022,16.92148,48.420498,643.523438,188.097656,31.627455
366.349304,246.407166,1699.562744,531.738647,235.727951,1701.593384,378.004272,112.724075,1710.389648,514.465637,108.382423,1703.607056,448.405731,82.689743,1554.290405,458.477295,27.6518,1233.565063,445.203552,203.821625,1474.245117,450.841827,238.929886,1299.123169,547.957458,-4.209943,1365.340942,459.927979,38.424095,1189.799561,462.362946,43.370842,1072.658203,290.632904,113.756706,1510.049194,230.60878,103.956764,1364.335205,219.228485,18.748766,1168.306885,164.482407,61.078705,992.957764,146.202316,102.534897,924.780151,210.874039,68.347931,905.67926,139.73114,100.160645,830.162781,607.040894,117.193802,1505.69397,684.145752,56.876095,1281.136353,690.414062,24.732365,1172.527832,748.015259,76.895233,1080.288818,795.751282,124.622688,933.41156,744.024902,72.815544,912.034668,815.684204,116.934395,832.638184,342.488953,203.868912,1046.657227,590.209961,206.411957,1055.058594,405.018494,45.7752,1071.862671,517.46759,50.18095,1084.456177,315.013245,125.361603,705.688477,347.141357,103.136581,533.146912,358.280212,35.280148,218.880081,376.236755,13.342871,73.724586,426.662598,-24.769194,57.233864,362.967072,178.263794,30.329102,642.754578,182.803314,892.390259,623.412048,120.93084,530.790771,633.746704,73.267349,406.653839,590.525696,30.938541,71.994896,523.140503,16.910273,48.465248,643.578186,187.990021,31.762224
365.98996,246.313248,1699.260864,531.789612,235.663376,1701.367065,377.883118,112.775368,1710.474487,514.39856,108.237282,1703.677246,448.270599,82.418831,1554.244263,458.466919,27.70005,1233.428223,445.139893,203.595657,1474.228271,450.867096,238.856277,1299.130737,547.786255,-4.916848,1365.387329,459.975891,38.519272,1189.711548,462.455658,43.537083,1072.624146,290.530334,113.326294,1509.855957,230.534225,103.613594,1364.159424,219.523743,18.389278,1168.123535,165.041855,60.711807,992.865906,146.779755,101.921585,924.236511,211.335907,67.733849,905.411011,140.187347,99.448853,829.89502,606.950684,116.789101,1505.642578,683.871826,56.579643,1280.990845,690.033203,24.486441,1172.371826,747.745117,76.692757,1080.105469,795.517334,124.386551,933.241943,743.691345,72.789574,911.934265,815.353333,116.288139,833.0755,342.510437,203.968567,1046.642334,590.299438,206.495453,1054.969971,405.135956,45.908333,1071.824463,517.529968,50.281544,1084.410767,315.083405,125.411469,705.650452,347.205383,103.098045,533.14978,358.348633,35.247768,218.856186,376.297668,13.319502,73.687515,426.653809,-24.712011,57.187008,362.912384,178.166534,30.124287,642.846375,182.940643,892.284729,623.129211,120.691757,530.633545,633.864746,73.325035,406.64743,590.518677,31.005894,72.01255,523.118469,16.938623,48.426586,643.558228,188.281174,31.508535
365.972534,246.345291,1699.159302,531.745972,235.558472,1701.258057,377.825592,112.772301,1710.560059,514.280212,108.194092,1703.702271,448.137909,82.12159,1554.150757,458.515472,27.72121,1233.339233,445.066223,203.26564,1474.166748,450.794403,238.652664,1299.179565,547.614807,-4.814635,1365.081055,460.033752,38.550987,1189.618408,462.55365,43.634655,1072.646118,290.410614,113.059235,1509.757446,230.49704,103.226562,1363.981567,219.791534,17.95784,1167.948364,165.374924,60.03513,992.41864,147.135101,101.216187,924.075439,211.692993,67.232094,905.162842,140.754807,98.526573,829.598083,606.859802,116.379936,1505.592773,683.654114,56.234299,1280.900146,689.670288,24.362982,1172.098022,747.333984,76.79557,1079.726318,795.270874,123.704308,933.055908,743.324707,72.794456,911.809204,815.05072,116.327103,833.02063,342.159576,204.384705,1046.77063,590.330139,206.655579,1054.927368,405.218811,46.035152,1071.791504,517.574768,50.497414,1084.359863,315.138824,125.467674,705.633667,347.312378,103.076775,533.106262,357.610748,35.235149,219.077026,376.30957,13.338399,73.660141,426.642395,-24.961929,57.32777,363.101959,178.429657,29.821424,642.845215,183.133667,892.317322,623.14325,120.769005,530.612671,633.824951,73.345268,406.614838,590.523865,30.813084,72.240059,523.139465,16.933479,48.430916,643.533752,188.240005,31.502451
