Trajectories
120
,,Subj1:LFHD,,,Subj1:RFHD,,,Subj1:LBHD,,,Subj1:RBHD,,,Subj1:C7,,,Subj1:T10,,,Subj1:CLAV,,,Subj1:STRN,,,Subj1:RBAK,,,Subj1:LSHO,,,Subj1:LUPA,,,Subj1:LELB,,,Subj1:LFRM,,,Subj1:LWRA,,,Subj1:LWRB,,,Subj1:LFIN,,,Subj1:RSHO,,,Subj1:RUPA,,,Subj1:RELB,,,Subj1:RFRM,,,Subj1:RWRA,,,Subj1:RWRB,,,Subj1:RFIN,,,Subj1:LASI,,,Subj1:RASI,,,Subj1:LPSI,,,Subj1:RPSI,,,Subj1:LTHI,,,Subj1:LKNE,,,Subj1:LTIB,,,Subj1:LANK,,,Subj1:LHEE,,,Subj1:LTOE,,,Subj1:RTHI,,,Subj1:RKNE,,,Subj1:RTIB,,,Subj1:RANK,,,Subj1:RHEE,,,Subj1:RTOE,,,Subj1:LHU,,,Subj1:LHD,,,Subj1:RHU,,,Subj1:RHD,,,Subj1:T12,,,Subj1:S1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,376.352234,214.222519,1744.468384,541.830688,221.629486,1741.579956,424.723450,62.575199,1737.578247,542.238464,106.864891,1732.678467,456.837616,86.103035,1575.261230,472.183655,29.552982,1246.470703,459.006287,198.168533,1482.687500,467.185486,237.570786,1300.741577,575.647827,-1.458560,1388.394165,272.916534,135.451370,1531.614502,231.773483,121.737343,1376.239502,239.616318,91.139427,1177.971802,201.994095,144.084412,1000.566833,197.426437,188.857605,934.604370,242.136047,133.903580,906.634460,167.237396,174.290771,843.753906,625.452148,140.546997,1534.506104,695.635437,100.406906,1283.312012,693.189270,86.685463,1190.285156,729.315979,118.001404,1074.758423,729.785217,184.775345,932.580383,702.803101,119.557961,914.075500,778.069336,170.747299,838.346008,342.985046,219.892807,1057.806030,590.210510,217.552017,1043.105469,405.130615,53.009838,1079.849976,531.163025,54.956669,1078.243896,295.429810,192.118866,714.902222,310.969574,137.433945,539.115417,330.118652,78.453247,198.165985,351.289948,69.239594,59.448635,416.219910,27.371815,45.826447,305.395752,213.882828,27.205738,652.055847,166.964554,861.712219,629.689697,135.787338,556.064758,648.918579,110.161209,393.765991,628.046814,75.670479,59.463451,569.961975,30.329800,42.035690,670.355530,223.113205,27.106371,,,,,,,,,,,,,469.775360,44.418247,1189.970581,474.760468,53.592918,1069.051147
2,0,376.351349,214.259460,1744.578247,541.839417,221.651642,1741.570068,424.705658,62.673801,1737.597168,542.228638,107.053215,1732.671875,456.849915,86.057076,1575.259766,472.178284,29.596479,1246.498169,458.999298,198.202240,1482.622192,467.110291,237.763779,1300.629028,575.698853,-1.751129,1388.350098,272.916901,135.494446,1531.593750,231.815308,121.809570,1376.235962,239.562408,91.275475,1177.951172,201.969040,144.015991,1000.610962,197.415741,189.012955,934.597290,242.069336,134.044785,906.661743,167.182861,174.500000,843.741150,626.015442,141.259430,1534.923462,695.590942,100.482246,1283.296509,693.140137,86.777588,1190.282227,729.248779,118.074814,1074.748901,729.760376,184.773285,932.515076,703.223083,118.908859,914.389954,778.001953,170.855743,838.400452,342.954590,219.991638,1057.793457,590.197021,217.594696,1043.082275,405.103302,53.102543,1079.827759,531.131592,55.004223,1078.265503,295.450409,192.134598,714.823364,310.956024,137.465363,539.096924,330.713806,78.591057,198.134109,351.259460,69.112473,59.450687,416.167999,27.419945,45.873775,305.371735,213.856476,27.236143,652.032288,167.018661,861.721375,629.355042,136.365829,556.249756,648.935669,110.229324,393.826294,628.055542,75.570297,59.541676,569.894775,30.161348,42.246284,670.379089,223.172821,27.106251,,,,,,,,,,,,,469.741180,44.468281,1189.985596,474.766296,53.592484,1069.084351
3,0,376.269318,214.354584,1744.485474,541.851685,221.059280,1741.415283,424.694855,62.786587,1737.575073,542.069763,107.313690,1732.663574,456.818207,86.784355,1575.143311,472.132904,29.687954,1246.494873,458.914032,198.345367,1482.585571,466.997131,237.833481,1300.608765,575.706055,-1.670104,1388.386108,272.868958,135.587296,1531.602783,231.743607,121.906822,1376.150269,239.524353,91.321671,1177.960693,201.932709,144.148712,1000.617981,197.339462,189.122528,934.612854,241.933426,134.194138,906.640381,167.124084,174.680725,843.758118,626.572083,141.702682,1534.926758,695.535522,100.584381,1283.319458,693.091919,86.822411,1190.342651,729.207764,118.165367,1074.782227,729.707092,184.846817,932.531006,703.174377,118.989510,914.400330,777.952454,170.977829,838.348694,342.884857,219.971130,1057.786133,590.118347,217.681366,1043.112061,405.071899,53.163513,1079.810791,531.108826,55.047009,1078.285156,295.347565,192.117264,714.878845,310.899567,137.500916,539.096130,330.082886,78.493599,198.138885,351.233154,69.064049,59.395466,416.119904,27.482243,45.795853,305.361786,213.899536,27.224133,651.987732,167.086014,861.721985,629.612732,135.842636,556.181091,648.876526,110.270401,393.882111,628.043457,75.651100,59.533997,569.916687,30.359949,42.121876,670.313660,223.175064,27.147127,,,,,,,,,,,,,469.718262,44.561691,1189.980469,474.710266,53.692085,1069.060791
4,0,376.243652,214.395325,1744.475830,541.838684,221.099533,1741.435791,424.666473,62.880436,1737.608521,542.206421,107.093246,1732.748779,456.763367,87.005997,1575.045776,472.123322,29.751545,1246.494873,458.640076,198.635895,1482.566650,466.972687,237.938034,1300.602661,575.685608,-1.609462,1388.374512,272.845856,135.647934,1531.621948,231.711624,121.925568,1376.203979,239.479309,91.406830,1177.958740,201.896011,144.240906,1000.605103,197.329346,189.238266,934.650879,241.840775,134.302765,906.672363,167.061081,174.797684,843.787476,625.430542,140.607056,1534.894897,695.510498,100.663750,1283.304443,693.055176,86.935226,1190.321777,729.170227,118.254021,1074.777466,729.619202,184.935181,932.537292,703.128784,119.029701,914.437195,777.885925,171.078568,838.364014,342.822205,220.014496,1057.785278,590.064880,217.784927,1043.119995,405.101166,52.816910,1080.045044,531.103943,55.103409,1078.273315,295.303986,192.150757,714.888245,310.902008,137.458527,539.081848,330.099670,78.503082,198.129532,351.229706,69.066200,59.404102,415.997162,27.774679,45.676830,305.321472,213.857941,27.269194,651.933777,167.151199,861.734070,629.297363,136.427795,556.281494,648.832581,110.358849,393.819794,627.918274,76.072258,59.759415,569.853271,30.206678,42.237854,670.320984,223.191010,27.127537,,,,,,,,,,,,,469.729034,44.546291,1189.980103,474.714386,53.747929,1069.035034
5,0,376.310486,214.501266,1744.616821,541.841309,221.154968,1741.429199,424.676880,62.870510,1737.667236,542.178650,107.265930,1732.727539,456.787415,86.350754,1575.214111,472.102478,29.792862,1246.488281,458.704651,198.639099,1482.548828,466.976807,237.919678,1300.690063,575.688416,-1.545427,1388.374878,272.825531,135.679886,1531.627808,231.680557,121.895355,1376.249023,239.478073,91.429703,1177.959106,201.873505,144.346161,1000.631104,197.308746,189.345154,934.640198,241.765564,134.403412,906.655457,167.035416,174.949890,843.819458,625.302734,141.230988,1534.125854,695.499207,100.699158,1283.329956,693.023987,86.935715,1190.355469,729.137451,118.307045,1074.767212,729.601257,185.046753,932.553162,703.082336,119.147842,914.398254,777.841003,171.197998,838.334717,342.838440,220.056229,1057.818604,590.076233,217.788651,1043.130615,405.076050,53.203335,1079.848389,531.084656,55.158997,1078.266479,295.286194,192.222595,714.884460,310.895538,137.456055,539.097961,330.121460,78.476944,198.190948,351.272461,69.129097,59.427399,416.372070,27.916136,45.685074,305.331177,213.910828,27.267105,651.942383,167.181946,861.735962,629.261841,136.384995,556.319031,648.760071,110.106918,393.690216,627.982971,75.682350,59.553066,569.909546,30.380949,42.089500,670.297424,223.152466,27.133808,,,,,,,,,,,,,469.694336,44.618717,1190.000122,474.679657,53.796253,1069.070557
6,0,376.346039,214.585129,1744.519409,541.851929,221.798157,1741.518433,424.665192,63.029148,1737.662231,542.169922,107.311546,1732.763306,456.770935,86.394447,1575.226318,472.101440,29.857416,1246.476807,458.977722,198.327194,1482.644043,467.088684,238.001190,1300.798218,575.682922,-1.479873,1388.375366,272.847443,135.700851,1531.633911,231.658081,121.965927,1376.211548,239.429611,91.543251,1177.985596,201.843414,144.466003,1000.627869,197.352570,189.498795,934.690918,241.812668,133.736710,906.528137,166.931290,175.367447,843.746094,625.774109,141.253494,1534.706055,695.484253,100.820724,1283.309082,693.066650,87.009270,1190.309692,729.120422,118.459061,1074.766235,729.598206,185.179062,932.548828,702.817505,119.580162,914.025024,777.823914,171.181183,838.361938,342.867310,220.044922,1057.790405,590.078003,217.868484,1043.115723,405.088165,52.912853,1080.066406,531.081970,55.242142,1078.294067,295.311462,192.198669,714.871399,310.920074,137.453903,539.106506,330.080688,78.476730,198.162613,351.251984,69.027359,59.438011,416.148590,27.418888,45.936108,305.374725,213.882034,27.277575,651.932922,167.281876,861.706421,629.545776,135.929230,556.129028,648.898560,110.294685,393.846313,628.030273,75.701591,59.568371,569.949341,30.338717,42.142208,670.363953,223.078583,27.265934,,,,,,,,,,,,,469.681976,44.699463,1189.993042,474.719543,53.820915,1069.074951
7,0,376.357086,214.820190,1744.527100,541.875671,221.318237,1741.384399,424.638489,63.089588,1737.607300,542.135376,107.397278,1732.779053,456.761353,86.953217,1575.137695,472.076630,29.908813,1246.488770,458.713623,198.612244,1482.528442,466.936432,237.992630,1300.675415,575.606384,-1.184470,1388.490845,272.831635,135.811218,1531.621460,231.673782,122.069855,1376.226440,239.394943,91.636490,1177.973145,201.806641,144.609787,1000.633240,197.337463,189.678864,934.697754,241.630310,134.403992,906.698792,166.883286,175.561356,843.763062,625.317078,141.377182,1534.129272,695.457764,100.888939,1283.283081,693.068237,87.077827,1190.324463,729.108826,118.484764,1074.763062,729.554565,185.308929,932.538513,702.808960,119.665627,914.009888,777.746887,171.374481,838.312622,342.808716,220.108459,1057.761719,590.020020,217.904083,1043.109497,405.071533,52.926144,1080.096191,531.081970,55.266888,1078.313843,295.377197,192.146393,714.776611,310.916321,137.501022,539.096680,330.110596,78.442505,198.143173,351.243896,69.105247,59.424934,416.133179,27.483131,45.849827,305.350189,213.845932,27.256992,651.925049,167.330566,861.713867,629.548706,135.895172,556.164246,648.902161,110.322311,393.839050,628.027710,75.757256,59.591740,569.934448,30.442274,42.098618,670.346985,223.166000,27.173695,,,,,,,,,,,,,469.688629,44.703247,1189.998291,474.701324,53.836754,1069.106201
8,0,376.299194,214.761673,1744.428467,541.871033,221.355621,1741.357178,424.642822,63.174187,1737.599609,542.094299,107.532158,1732.762207,456.809143,86.385475,1575.251831,472.053345,29.998661,1246.474854,458.672211,198.650543,1482.511841,466.841034,238.094254,1300.643677,575.605530,-1.082567,1388.456543,272.816986,135.854263,1531.632324,231.661835,122.215019,1376.191650,239.294800,91.755951,1177.953125,201.757950,144.726242,1000.641968,197.271973,189.818466,934.661072,241.519302,134.500351,906.710022,166.912857,175.514725,843.845703,625.093384,141.010239,1534.147705,695.457153,100.969849,1283.284912,693.011230,87.214600,1190.276855,729.072449,118.611229,1074.713135,729.547913,185.371292,932.507813,702.801575,119.747658,913.948059,777.660461,171.579193,838.254822,342.775543,220.179092,1057.770630,589.976013,218.017700,1043.060303,405.022858,53.433140,1079.841187,531.040161,55.381302,1078.309448,295.273895,192.217163,714.808777,310.902527,137.483917,539.094116,330.043945,78.514305,198.099045,351.243622,69.140488,59.389248,416.110748,27.525476,45.853168,305.359406,213.856735,27.176332,651.888672,167.382507,861.726379,629.461914,135.949738,556.147278,648.865967,110.297058,393.909119,627.771545,75.527885,59.434097,569.902344,30.128582,42.272602,670.301575,223.154175,27.210337,,,,,,,,,,,,,469.658447,44.791542,1190.008667,474.660126,53.881111,1069.108887
9,0,376.305817,214.978683,1744.514771,541.891174,222.209747,1741.376343,424.652863,63.260822,1737.651123,542.087769,107.513405,1732.775635,456.806793,86.484512,1575.226318,472.066223,30.054115,1246.452881,458.589142,198.873520,1482.565796,466.806030,238.292023,1300.697754,575.681458,-1.256306,1388.331665,272.780273,135.925583,1531.645142,231.663757,122.304115,1376.190308,239.298080,91.795143,1177.956543,201.739014,144.833038,1000.654846,197.209671,189.925018,934.682861,241.493942,134.591934,906.692505,166.886215,175.649246,843.854004,625.515564,141.286514,1534.378906,695.456116,101.071800,1283.268799,693.038635,87.261658,1190.253052,729.086365,118.703285,1074.706543,729.465515,185.481155,932.513184,702.761047,119.836014,913.932373,777.605835,171.701889,838.247864,342.713562,220.275482,1057.775635,589.928162,218.055923,1043.102417,405.027405,53.389427,1079.858643,531.063477,55.426517,1078.315308,295.302551,192.275986,714.860168,310.879608,137.466812,539.109680,330.106323,78.451424,198.127304,351.242859,69.069160,59.377411,416.174255,27.512394,45.807301,305.307861,213.869202,27.219978,651.878723,167.382095,861.715088,629.439026,135.913528,556.122559,648.845642,110.306656,393.869598,627.928162,75.674980,59.548038,569.903564,30.224201,42.217556,670.283264,223.089920,27.152685,,,,,,,,,,,,,469.675873,44.876442,1189.988892,474.689087,53.929256,1069.066162
