Trajectories
120
,,Subj1:LFHD,,,Subj1:RFHD,,,Subj1:LBHD,,,Subj1:RBHD,,,Subj1:C7,,,Subj1:T10,,,Subj1:CLAV,,,Subj1:STRN,,,Subj1:RBAK,,,Subj1:LSHO,,,Subj1:LUPA,,,Subj1:LELB,,,Subj1:LFRM,,,Subj1:LWRA,,,Subj1:LWRB,,,Subj1:LFIN,,,Subj1:RSHO,,,Subj1:RUPA,,,Subj1:RELB,,,Subj1:RFRM,,,Subj1:RWRA,,,Subj1:RWRB,,,Subj1:RFIN,,,Subj1:LASI,,,Subj1:RASI,,,Subj1:LPSI,,,Subj1:RPSI,,,Subj1:LTHI,,,Subj1:LKNE,,,Subj1:LTIB,,,Subj1:LANK,,,Subj1:LHEE,,,Subj1:LTOE,,,Subj1:RTHI,,,Subj1:RKNE,,,Subj1:RTIB,,,Subj1:RANK,,,Subj1:RHEE,,,Subj1:RTOE,,,Subj1:LHU,,,Subj1:LHD,,,Subj1:RHU,,,Subj1:RHD,,,Subj1:T12,,,Subj1:S1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,409.560608,296.339996,1706.512573,566.418152,240.617416,1710.338867,399.791168,150.118469,1768.795288,523.885620,142.240524,1752.053223,449.248871,86.067619,1584.110229,467.199890,24.944605,1241.296631,456.818024,192.916840,1486.020996,467.159271,236.896973,1305.058350,562.010559,-14.399053,1391.567139,274.403534,126.725479,1539.753906,225.020645,106.886276,1390.502075,207.269226,70.798363,1193.699951,198.464554,164.045670,1023.296936,236.820877,203.314850,952.838684,193.248077,143.487534,929.965881,196.195419,235.897354,873.459351,610.676758,113.152718,1550.827026,698.014832,51.624393,1316.097534,707.299072,38.467960,1222.127686,739.702332,88.821823,1109.911499,709.878784,160.151627,966.232910,746.000732,97.095100,953.848694,772.197266,195.389694,889.414429,339.748199,211.459961,1059.687256,587.474121,209.702103,1044.259277,402.730469,44.834785,1081.352417,528.972717,46.892227,1078.289307,291.247040,183.704071,716.536743,309.562103,131.964874,539.981628,336.615875,79.226379,197.657684,359.082367,73.293922,58.908936,426.841614,36.905796,45.024788,303.263611,214.561310,27.472565,649.720642,161.884842,862.661133,628.032776,136.104523,555.943359,647.719238,111.284485,393.587097,627.777893,76.019028,59.817707,569.330200,29.408916,42.913425,670.118896,223.224960,27.037226,,,,,,,,,,,,,469.227570,34.454891,1199.495850,472.340179,42.932011,1066.144165
2,0,409.698120,296.584229,1706.380615,566.426147,240.519592,1710.541504,399.499939,150.355408,1768.596313,523.574219,142.190979,1752.049316,449.129547,86.155869,1584.174072,467.184753,24.884392,1241.291626,456.543182,192.751434,1486.135498,467.023102,236.475052,1305.035767,561.800232,-13.837678,1391.606689,274.340454,126.588181,1539.742065,226.217255,106.906960,1390.497192,207.185364,70.650833,1193.661987,198.365631,164.039703,1023.361816,236.688828,203.451263,953.026306,193.298813,143.955719,930.245911,196.078110,236.106995,873.665710,610.630310,113.009438,1550.729614,697.973145,51.488407,1316.037598,707.273804,38.347237,1222.089111,739.656433,88.759872,1109.881958,709.803833,160.058029,966.200256,745.997375,96.992592,953.828247,772.031616,195.748810,889.586304,339.667053,211.461853,1059.708618,587.424744,209.647827,1044.250366,402.761627,44.791019,1081.373779,528.974365,46.842941,1078.288818,291.153656,183.727707,716.528137,309.540253,131.935730,540.001343,336.678497,79.244797,197.711823,359.071167,73.239189,58.930977,426.755707,36.899815,45.085861,303.403625,214.718903,27.351103,649.680481,161.921021,862.651672,628.005371,136.162613,555.949158,647.756409,111.270065,393.588593,627.748718,75.989830,59.896114,569.438232,29.678541,42.627243,670.069275,223.250549,27.062996,,,,,,,,,,,,,469.208405,34.401066,1199.504150,472.326935,42.926979,1066.131470
3,0,409.865051,296.723969,1706.229858,566.421021,240.416931,1710.771240,399.157471,150.470963,1768.327148,523.227051,142.104782,1752.137085,449.093445,86.162773,1584.208496,467.186127,24.818546,1241.294922,457.090790,192.867264,1485.923340,467.094208,236.760849,1304.790527,561.847656,-14.653668,1391.672974,274.346741,126.472992,1539.730957,226.201187,106.573669,1390.531616,207.126572,70.424850,1193.691284,198.275864,164.020142,1023.491516,236.607620,203.543518,953.187500,193.152786,143.726715,930.136414,195.932495,236.291809,873.896545,610.641724,112.911484,1550.631226,697.910522,51.387589,1315.973267,707.276672,38.182407,1222.003906,739.631714,88.648384,1109.831177,709.810181,160.000687,966.190491,745.986206,96.950027,953.792969,772.046570,195.653854,889.597961,339.617645,211.358246,1059.745117,587.424500,209.604645,1044.252441,402.764587,44.654423,1081.375122,528.970581,46.794323,1078.261597,291.178040,183.607071,716.593933,310.762573,132.062210,539.713684,336.678864,79.151932,197.752792,359.130188,73.264664,58.905075,426.850311,36.879135,45.045860,303.446869,214.681778,27.370043,649.689087,161.893356,862.659119,628.031677,136.097595,556.015503,647.738037,111.300346,393.591187,627.766663,76.016853,59.869324,569.345886,29.365351,43.014385,670.063477,223.216614,27.046736,,,,,,,,,,,,,469.197693,34.334778,1199.482544,472.360870,42.889801,1066.116455
4,0,410.070679,297.098724,1706.190674,566.425354,240.218277,1710.924438,398.766785,150.603500,1768.079956,522.813110,141.953476,1752.190430,449.070251,86.163338,1584.230469,467.162872,24.762169,1241.323242,457.080139,192.841522,1485.831665,467.146698,235.969864,1304.912354,561.725403,-14.685236,1391.696899,274.355957,126.383278,1539.748535,226.129684,106.550606,1390.518066,207.036392,70.253922,1193.678589,198.240997,164.030609,1023.603943,236.517654,203.592117,953.351746,193.076920,143.788040,930.227356,196.055679,236.196442,874.018127,610.653870,112.856857,1550.590820,697.864746,51.206268,1315.929932,707.173950,38.060070,1221.963257,739.595581,88.516701,1109.796021,709.720215,160.121094,966.029236,745.889465,96.878990,953.744568,772.082825,195.516983,889.521484,339.647980,211.281555,1059.760864,587.453796,209.508743,1044.262085,402.706329,44.616402,1081.352783,528.955566,46.773922,1078.266968,291.159119,183.580917,716.579590,309.578003,131.843689,540.034729,336.641205,79.207764,197.731110,359.099182,73.223122,59.015865,426.861450,36.869537,45.105999,303.433258,214.673874,27.404980,649.696594,161.883179,862.696594,628.026855,136.150131,555.960449,647.759705,111.275642,393.629303,627.739014,75.964134,59.878918,569.311890,29.389683,43.022804,670.095947,223.207245,27.070633,,,,,,,,,,,,,469.165100,34.317204,1199.494141,472.320221,42.865520,1066.120117
5,0,410.126007,297.348328,1706.086060,566.448914,239.878036,1711.172241,398.395477,150.793137,1767.818604,522.464294,141.817139,1752.243530,449.046936,86.216446,1584.141113,467.112396,24.716438,1241.325439,457.104431,192.844910,1485.760986,467.013000,236.425415,1304.595093,561.598450,-14.163091,1391.623291,274.385254,126.351166,1539.733276,226.088318,106.479080,1390.531128,206.950348,70.126724,1193.678955,198.188995,164.028458,1023.660767,236.486633,203.646057,953.444519,193.063690,143.911606,930.301453,195.838135,236.559448,874.241943,610.710815,112.735451,1550.476318,697.846375,51.085480,1315.873779,707.118469,37.849575,1221.931885,739.518005,88.414452,1109.724854,709.711182,159.967072,965.915588,745.812134,96.800186,953.692871,772.059326,195.407974,889.486572,339.655273,211.186478,1059.724243,587.456604,209.509567,1044.268799,402.724609,44.565327,1081.346191,528.951599,46.703350,1078.235718,291.130249,183.557755,716.596680,309.479340,131.796265,540.007813,336.644043,79.173515,197.698883,359.109436,73.304260,58.916069,426.848480,36.856056,45.098972,303.355225,214.632950,27.366230,649.698364,161.880280,862.677124,628.028381,136.098450,556.010010,647.776489,111.272423,393.631226,627.830933,76.048744,59.966900,569.337952,29.480524,42.872566,670.077209,223.224396,27.023018,,,,,,,,,,,,,469.168518,34.253559,1199.509033,472.333740,42.804787,1066.134644
6,0,410.250458,297.558868,1705.963989,566.358154,239.554398,1711.441284,397.957153,150.932068,1767.533081,522.124023,141.521408,1752.294189,448.981598,86.210030,1584.083130,467.106018,24.656414,1241.345947,457.014465,192.923309,1485.649902,467.040588,236.041428,1304.592529,561.627930,-14.951291,1391.653687,274.358124,126.381386,1539.747437,221.912109,105.766769,1391.002319,206.873627,70.019035,1193.700928,198.062622,164.030472,1023.757690,236.369583,203.705612,953.595642,192.987396,143.991653,930.360168,195.886749,236.489899,874.294861,610.708923,112.686378,1550.408569,697.725098,51.037457,1315.656006,706.993286,37.793530,1221.867065,739.414490,88.308144,1109.622437,709.582947,159.956345,965.877625,745.654175,96.752502,953.599670,771.913452,195.400635,889.495605,339.556610,211.242554,1059.671631,587.415771,209.504532,1044.226563,402.692200,44.529133,1081.307861,528.886047,46.660847,1078.212158,291.082886,183.430832,716.637146,309.385315,131.668732,540.018250,336.561676,79.009346,197.680420,359.046295,73.291954,58.885956,426.804108,36.900265,45.032780,303.317841,214.650833,27.328928,649.701843,161.872635,862.638489,627.974243,136.189850,555.935425,647.744446,111.282234,393.587585,627.799683,76.033012,59.916649,569.325806,29.632805,42.821503,670.075256,223.218201,27.052385,,,,,,,,,,,,,469.137207,34.182381,1199.509033,472.289795,42.735897,1066.118896
7,0,410.260559,297.466919,1705.935181,566.297363,239.364227,1711.741089,397.595154,150.945450,1767.330078,521.722046,141.305527,1752.368408,449.079468,85.950111,1584.094604,467.087067,24.629633,1241.333008,457.016846,192.915604,1485.663452,467.056244,236.082947,1304.438110,561.561523,-15.010149,1391.637207,274.351868,126.394081,1539.755737,221.859192,105.748314,1391.018311,206.777496,69.888161,1193.744507,198.010025,163.977158,1023.821350,236.294647,203.740646,953.722778,192.944305,144.038544,930.388489,195.769196,236.586258,874.466858,610.670349,112.624191,1550.367065,697.630066,50.912209,1315.641968,706.899048,37.667297,1221.776245,739.278442,88.183876,1109.545654,709.347534,159.961288,965.852295,745.477112,96.631874,953.518738,771.725281,195.466797,889.470764,339.547577,211.214111,1059.718872,587.357544,209.414841,1044.222656,402.660522,44.455448,1081.293457,528.855164,46.570061,1078.195801,290.963684,183.248779,716.768066,309.347443,131.582275,540.002930,336.633148,79.386894,197.729980,359.040039,73.338860,58.872055,426.756897,36.796455,45.075626,303.175568,214.514755,27.490564,649.672913,161.816818,862.651001,627.956177,136.086716,555.912659,647.702881,111.267014,393.591492,627.741882,76.006119,59.871758,569.261780,29.389288,42.944641,669.991821,223.218170,26.961214,,,,,,,,,,,,,469.091431,34.143867,1199.490601,472.284668,42.710754,1066.077515
8,0,410.316345,297.614502,1705.898682,566.234619,239.256027,1712.113037,397.242126,150.952057,1767.075439,521.378052,141.078873,1752.456909,449.062714,85.939499,1584.065552,467.074188,24.556990,1241.334351,456.871765,193.090317,1485.512451,467.086700,236.059341,1304.428467,561.535583,-14.972794,1391.610718,274.362640,126.430359,1539.789795,221.875748,105.663597,1391.073242,206.714600,69.786064,1193.814209,197.929184,163.974213,1023.962036,235.704254,203.793610,953.951355,192.908920,143.992737,930.488098,195.740295,236.658417,874.640320,610.683350,112.933510,1550.833618,697.577698,50.775364,1315.562622,706.834167,37.494263,1221.736328,739.158752,87.992668,1109.474121,709.328369,159.638763,965.957825,745.289307,96.543770,953.461121,771.648132,195.312805,889.405029,339.515137,211.146896,1059.729614,587.355164,209.337402,1044.234741,402.676788,44.388916,1081.306274,528.830994,46.542187,1078.147705,290.961426,183.188217,716.789307,309.378815,131.479218,540.053162,336.542297,78.981575,197.711472,359.067810,73.314117,58.879627,426.782379,36.890293,44.950588,303.233673,214.572754,27.365002,649.664551,161.697876,862.645569,627.990601,135.965179,555.881470,647.669861,111.231705,393.494751,627.486633,76.809204,59.737694,569.281494,29.383188,42.973431,670.009277,223.191284,27.043951,,,,,,,,,,,,,469.080353,34.069744,1199.488403,472.254608,42.625603,1066.059814
9,0,410.289307,297.422913,1705.836304,566.158203,238.689362,1712.289063,396.928253,150.941208,1766.980591,521.073486,140.648087,1752.642944,448.966553,86.080643,1584.078857,467.046692,24.527216,1241.316650,456.903442,193.093903,1485.483032,467.135925,235.872177,1304.524902,561.405334,-14.547570,1391.603638,274.402954,126.452271,1539.774658,221.802078,105.701530,1391.109375,206.592377,69.656776,1193.886353,197.944550,163.935410,1024.011353,235.715546,203.744736,954.052856,192.882553,143.987457,930.541748,195.740753,236.716629,874.776978,610.163940,112.469124,1550.800049,697.521484,50.637714,1315.542725,706.671448,37.412781,1221.662354,738.994385,87.913086,1109.422119,709.166321,159.562943,965.914551,745.074463,96.446419,953.346436,771.504333,195.187332,889.292725,339.539001,211.099640,1059.705688,587.405701,209.219467,1044.230957,402.633148,44.297382,1081.326904,528.782837,46.454594,1078.162109,290.890839,183.043076,716.840942,309.317444,131.341385,540.076599,336.533630,78.980240,197.672211,359.119751,73.180542,58.870861,426.737549,36.825253,45.102676,303.157776,214.463272,27.492249,649.722717,161.578293,862.694397,627.967773,135.893280,555.922546,647.729919,111.178078,393.548798,627.705444,76.061737,59.840134,569.384094,29.610813,42.669594,670.039795,223.130051,27.034878,,,,,,,,,,,,,469.040588,34.040432,1199.506104,472.195862,42.608326,1066.046997
