Unnamed: 0,Unnamed: 1,Subj1:LFHD_X,Subj1:LFHD_Y,Subj1:LFHD_Z,Subj1:RFHD_X,Subj1:RFHD_Y,Subj1:RFHD_Z,Subj1:LBHD_X,Subj1:LBHD_Y,Subj1:LBHD_Z,Subj1:RBHD_X,Subj1:RBHD_Y,Subj1:RBHD_Z,Subj1:C7_X,Subj1:C7_Y,Subj1:C7_Z,Subj1:T10_X,Subj1:T10_Y,Subj1:T10_Z,Subj1:CLAV_X,Subj1:CLAV_Y,Subj1:CLAV_Z,Subj1:STRN_X,Subj1:STRN_Y,Subj1:STRN_Z,Subj1:RBAK_X,Subj1:RBAK_Y,Subj1:RBAK_Z,Subj1:T12_X,Subj1:T12_Y,Subj1:T12_Z,Subj1:S1_X,Subj1:S1_Y,Subj1:S1_Z,Subj1:LSHO_X,Subj1:LSHO_Y,Subj1:LSHO_Z,Subj1:LUPA_X,Subj1:LUPA_Y,Subj1:LUPA_Z,Subj1:LELB_X,Subj1:LELB_Y,Subj1:LELB_Z,Subj1:LFRM_X,Subj1:LFRM_Y,Subj1:LFRM_Z,Subj1:LWRA_X,Subj1:LWRA_Y,Subj1:LWRA_Z,Subj1:LWRB_X,Subj1:LWRB_Y,Subj1:LWRB_Z,Subj1:LFIN_X,Subj1:LFIN_Y,Subj1:LFIN_Z,Subj1:RSHO_X,Subj1:RSHO_Y,Subj1:RSHO_Z,Subj1:RUPA_X,Subj1:RUPA_Y,Subj1:RUPA_Z,Subj1:RELB_X,Subj1:RELB_Y,Subj1:RELB_Z,Subj1:RFRM_X,Subj1:RFRM_Y,Subj1:RFRM_Z,Subj1:RWRA_X,Subj1:RWRA_Y,Subj1:RWRA_Z,Subj1:RWRB_X,Subj1:RWRB_Y,Subj1:RWRB_Z,Subj1:RFIN_X,Subj1:RFIN_Y,Subj1:RFIN_Z,Subj1:LASI_X,Subj1:LASI_Y,Subj1:LASI_Z,Subj1:RASI_X,Subj1:RASI_Y,Subj1:RASI_Z,Subj1:LPSI_X,Subj1:LPSI_Y,Subj1:LPSI_Z,Subj1:RPSI_X,Subj1:RPSI_Y,Subj1:RPSI_Z,Subj1:LTHI_X,Subj1:LTHI_Y,Subj1:LTHI_Z,Subj1:LKNE_X,Subj1:LKNE_Y,Subj1:LKNE_Z,Subj1:LTIB_X,Subj1:LTIB_Y,Subj1:LTIB_Z,Subj1:LANK_X,Subj1:LANK_Y,Subj1:LANK_Z,Subj1:LHEE_X,Subj1:LHEE_Y,Subj1:LHEE_Z,Subj1:LTOE_X,Subj1:LTOE_Y,Subj1:LTOE_Z,Subj1:RTHI_X,Subj1:RTHI_Y,Subj1:RTHI_Z,Subj1:RKNE_X,Subj1:RKNE_Y,Subj1:RKNE_Z,Subj1:RTIB_X,Subj1:RTIB_Y,Subj1:RTIB_Z,Subj1:RANK_X,Subj1:RANK_Y,Subj1:RANK_Z,Subj1:RHEE_X,Subj1:RHEE_Y,Subj1:RHEE_Z,Subj1:RTOE_X,Subj1:RTOE_Y,Subj1:RTOE_Z
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,356.270477,256.020416,1675.755371,522.295959,250.584518,1669.263428,354.675598,134.151718,1692.524292,491.804260,102.874115,1687.236328,417.518585,76.762177,1516.484497,420.078918,56.102184,1155.507202,429.893372,218.573318,1421.885132,426.139374,268.306885,1259.723389,527.492432,-0.854958,1336.554321,422.786804,74.230980,1114.200439,426.728149,93.925621,1019.842529,261.627075,137.982971,1493.070313,177.903641,143.864670,1331.804199,197.085556,114.908905,1119.692505,120.203590,189.741287,974.097961,103.501060,249.259567,914.800781,162.247070,201.198914,884.184570,81.381180,216.142395,823.900391,589.453430,130.204361,1480.431763,665.155090,121.331047,1232.975220,651.970520,125.092682,1107.850098,705.454346,148.510956,1031.637451,772.317017,226.598389,902.841431,695.192139,202.908676,879.740784,788.253906,200.918991,810.921204,308.605316,268.131897,975.606262,557.848450,265.087952,974.226990,354.590607,91.339157,1012.914307,486.859528,87.631409,1024.924072,233.529770,208.295654,669.088013,243.813095,166.278610,494.791077,243.371765,62.013496,197.590591,256.302765,41.781929,75.756813,319.829498,-8.026182,63.545048,264.658661,205.922531,29.813248,623.863464,230.421021,807.448914,636.952332,171.430008,499.577423,658.647095,112.350044,367.339020,639.511047,61.041855,74.144577,578.328430,10.994340,50.272301,597.499512,229.371277,33.017120
2,0,356.372375,256.279938,1675.690430,522.311096,250.730835,1669.080200,354.713837,134.356155,1692.557251,491.811951,103.086464,1687.234619,417.343536,77.190331,1516.497925,419.988647,56.354527,1155.464111,429.918518,219.138763,1422.100708,425.978577,268.369476,1259.651001,527.382935,-0.603198,1336.399780,422.689728,74.417915,1114.193848,426.664246,94.063614,1019.848328,261.610016,138.130432,1493.002808,177.763489,144.073151,1331.841797,196.817719,115.265594,1119.720581,120.073494,190.450439,974.051208,103.226883,250.193207,914.986572,161.764481,201.948547,884.407715,80.869980,217.360031,824.111023,589.362610,130.358597,1480.331787,665.040710,121.626144,1232.830078,651.880737,125.278938,1107.740479,705.358704,148.677505,1031.528564,772.248596,226.787613,902.734070,695.157349,203.086182,879.660339,788.627441,200.607330,810.973694,308.443970,268.169464,975.553345,557.686218,265.348206,974.178223,354.537598,91.446686,1012.905457,486.756927,88.518730,1024.738037,233.462982,208.500839,669.182251,243.757767,166.310730,494.745178,242.788406,61.796249,197.805176,256.302734,41.772820,75.797134,319.850037,-8.016049,63.629791,264.882599,205.866013,29.563810,623.239990,230.025177,807.208984,636.798889,171.527573,499.507751,658.569397,112.359581,367.316925,639.450195,61.130806,74.178940,578.274780,10.514545,50.566460,597.463013,229.341827,32.985367
3,0,356.353088,256.569550,1675.498169,522.325195,251.029938,1668.989746,354.752502,134.527115,1692.523682,491.829132,103.242363,1687.227173,417.337006,77.350197,1516.525391,419.943848,56.453220,1155.462158,429.742920,219.061829,1421.899292,425.767944,268.541168,1259.695190,527.278503,-0.584680,1336.421143,422.681549,74.588982,1114.150757,426.671570,94.196640,1019.847900,261.515045,138.313141,1493.063965,177.616592,144.296387,1331.930054,196.589066,115.642471,1119.733887,119.680519,191.187683,974.450439,103.105659,251.069611,915.262024,161.430557,202.634674,884.573914,80.508575,218.476700,824.307800,589.275452,130.496689,1480.266479,664.945374,121.830025,1232.707764,651.671692,125.726196,1107.845093,705.272400,148.803513,1031.416382,772.240173,226.953293,902.686462,695.156616,203.224503,879.636536,788.520813,200.850098,810.867554,308.303619,268.269897,975.559204,557.454041,265.500732,974.132813,354.524475,91.578644,1012.908203,486.803925,88.053032,1024.884277,233.563263,208.730484,669.210815,243.672012,166.370071,494.726746,242.807922,61.899170,197.901184,256.349426,41.807255,75.807732,319.869476,-8.031954,63.632698,264.872711,205.874603,29.628109,623.082092,230.211975,807.270264,636.695557,171.678360,499.510712,657.962036,112.952095,366.822632,639.360168,61.055084,74.117882,578.326782,10.991815,50.301003,597.459961,229.370132,32.993500
4,0,355.557129,257.003479,1675.766602,522.363770,251.259445,1668.880493,354.689819,135.219818,1692.431152,491.842163,103.446129,1687.229004,417.325806,77.413719,1516.547485,419.886871,56.676479,1155.413574,429.693848,219.186890,1421.871338,425.714386,268.585449,1259.559814,527.207458,-0.431394,1336.337524,422.639038,74.738602,1114.151245,426.651520,94.343948,1019.874084,261.430725,138.465546,1493.230225,177.504456,144.497009,1332.004761,196.437515,115.959641,1119.774780,119.456970,191.852020,974.643066,102.835388,252.170120,915.650024,161.150894,203.149750,884.707153,80.150970,219.536850,824.512451,589.276062,130.577866,1480.103394,664.879150,121.981163,1232.605469,651.602783,125.848320,1107.781860,705.191528,148.966751,1031.307129,772.025879,227.083328,902.405090,695.113464,203.375824,879.585266,788.150940,201.379150,810.603821,308.183746,268.271942,975.598511,557.092285,265.333405,974.191345,354.518738,91.649345,1012.947449,486.792450,89.396187,1024.424316,233.675217,208.942886,669.206543,243.675156,166.423920,494.713684,243.358627,62.096424,197.665848,256.327942,41.861988,75.797455,319.882782,-7.998674,63.648701,264.863220,205.891968,29.587582,623.017151,230.400040,807.268677,636.556641,171.917145,499.894775,658.143311,113.112549,367.011963,639.255615,60.895500,73.959381,578.307068,10.512809,50.610256,597.446594,229.385147,32.969711
5,0,356.458099,257.042297,1675.570923,522.410156,251.448929,1668.763184,354.721771,135.460434,1692.450073,491.988861,103.530579,1687.189819,417.293732,77.639610,1516.605591,419.840393,56.845627,1155.428711,429.681396,219.442322,1421.924072,425.667419,268.586823,1259.496826,527.095764,-0.341413,1336.296509,422.610626,74.888657,1114.153564,426.625336,94.435860,1019.902588,261.396729,138.658157,1493.276489,177.431427,144.755951,1332.104736,196.251892,116.290634,1119.840820,119.304497,192.515961,974.799072,103.077950,252.854980,915.690613,160.894882,203.651550,884.878540,79.891708,220.560638,824.732178,589.259277,130.678558,1480.033691,664.720764,122.128548,1232.481323,651.440491,126.118301,1107.639160,705.114258,149.131104,1031.219360,771.989502,227.201706,902.318481,695.047119,203.557068,879.484436,788.099426,201.480560,810.482544,308.163208,268.244568,975.498962,557.221436,265.995758,974.069641,354.472626,91.734169,1012.993469,486.749237,88.401031,1024.929565,233.023682,208.442719,668.959717,243.631454,166.450989,494.690582,243.251862,62.038528,197.580872,256.344482,41.853527,75.795937,319.856567,-8.030086,63.636044,264.740814,205.903152,29.791607,622.962708,230.454712,807.203857,636.641785,171.856613,499.516754,659.041138,112.626869,367.664124,639.472412,61.040058,74.225235,578.349365,10.969224,50.336212,597.531372,229.340897,33.060692
6,0,355.653931,257.594421,1675.662720,522.434326,251.608246,1668.713501,354.797119,135.681702,1692.482666,491.982605,104.052307,1687.237915,417.246216,77.840614,1516.579956,419.808411,56.962997,1155.460938,429.630219,219.592484,1421.902954,425.555267,268.730743,1259.425049,527.010193,-0.195215,1336.227417,422.606445,75.009148,1114.164429,426.563354,94.560493,1019.908997,261.376129,138.857651,1493.329712,177.344543,145.061859,1332.176025,196.004150,116.666992,1119.888550,119.055824,193.238434,974.976929,103.111679,253.742996,915.825256,160.188736,204.359085,885.099731,79.623436,221.549667,824.967285,589.247314,130.671280,1480.148315,664.634216,122.250877,1232.353394,651.321289,126.450317,1107.495605,705.058716,149.274323,1031.126831,772.024841,227.186646,902.083557,694.956116,203.791672,879.408142,787.956848,201.534790,810.421448,307.948700,268.382996,975.576172,557.094910,266.225311,973.999878,354.496216,91.330154,1013.326172,486.740112,88.512306,1024.936768,232.984039,208.594971,668.845032,243.527328,166.565964,494.689667,242.811829,61.893059,197.869873,256.318420,41.828392,75.809677,319.893158,-8.001973,63.684040,264.888458,205.851532,29.596247,623.116882,230.798538,807.243958,636.562378,171.972656,499.467957,658.450195,112.715523,367.251129,639.516724,61.107227,74.224358,578.422241,10.990648,50.335659,597.533264,229.358368,33.053234
7,0,356.380219,257.591064,1675.411255,523.165222,252.401794,1668.597656,354.804230,135.986328,1692.479736,491.975555,103.971725,1687.333740,417.214355,78.229813,1516.407349,419.784302,57.118996,1155.446289,429.564056,219.716812,1421.834229,425.362366,268.781616,1259.416138,526.876892,-0.092127,1336.179077,422.553101,75.154945,1114.180908,426.520966,94.688675,1019.898071,261.343109,139.071671,1493.388794,177.236588,145.388763,1332.244385,196.073166,117.040672,1119.927368,118.878998,194.258408,974.971008,103.171371,254.642761,915.941467,160.310364,204.783005,885.110107,79.347641,222.625244,825.105042,589.162720,130.921356,1479.894043,664.526306,122.330887,1232.262451,651.233704,126.337364,1107.385498,704.952332,149.424988,1030.997070,771.961731,227.673233,902.000061,695.048035,203.602234,879.021423,788.278809,201.060577,810.503174,307.869781,268.465851,975.508606,556.896545,266.346466,973.930481,354.451691,91.367760,1013.360168,486.675171,89.785973,1024.483521,232.915497,208.721817,668.806030,243.459290,166.669952,494.644897,242.730133,61.930519,197.797470,256.301270,41.810211,75.836380,319.848053,-7.992380,63.723965,264.843475,205.913025,29.533669,622.718689,230.849106,807.083191,636.508362,172.074326,499.439270,658.067200,113.325623,367.017120,639.450134,61.057064,74.168159,578.319641,10.561736,50.631001,597.471375,229.370468,33.022423
8,0,356.358063,257.962036,1675.370483,523.198486,252.458481,1668.584595,354.842316,136.300659,1692.494995,492.000061,104.338531,1687.423828,417.194885,78.493141,1516.475098,419.746002,57.192432,1155.494507,429.443237,219.739166,1421.688477,425.304169,268.804443,1259.384521,526.748779,0.019175,1336.169189,422.526581,75.236732,1114.197632,426.482849,94.714394,1019.946838,261.319214,139.289948,1493.450073,177.138824,145.645340,1332.327759,195.638016,117.381660,1120.026978,118.982857,194.614532,975.072571,103.237892,255.436478,916.100098,160.021194,205.250824,885.229187,79.194405,223.521393,825.289124,589.171326,131.035065,1480.000244,664.455444,122.408981,1232.165405,651.159973,126.530067,1107.259033,704.878906,149.581482,1030.902100,771.843628,227.844437,901.882141,694.810852,204.118240,879.205627,788.104431,201.145218,810.478394,307.743195,268.427032,975.479797,556.536926,266.094116,973.980774,354.406769,91.476311,1013.347412,486.642090,88.839088,1024.884399,233.824814,208.583008,668.533508,243.438766,166.669785,494.575043,242.738174,61.971081,197.796494,256.304443,41.910603,75.794357,319.834900,-7.965586,63.804142,264.672607,205.853195,29.746134,622.571838,231.067047,807.027771,636.402466,172.141785,499.443512,658.348694,112.939034,367.284760,637.853699,59.243584,73.051064,578.344543,10.975018,50.345406,597.461304,229.407043,32.991707
