,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-199.8864,-189.4524,-180.99887,-151.70207,-105.643486,-119.37921,153.04999,156.33388,181.67686,163.51826,105.643486,155.91493,170.05884,137.43881,80.16063,64.790276,1.1988829,226.44678,187.1709,144.64061,91.378845,37.498642,-1.1988829,217.59692,689.25903,527.27405,251.96977,79.21097,37.343246,28.326382,806.41736,529.4495,372.22385,78.68448,41.810658,28.657457
1,-199.97054,-189.2989,-181.06494,-151.74481,-105.58772,-119.39514,152.85448,156.09248,181.55331,163.47258,105.58772,155.89572,170.4579,137.20587,80.27924,64.83772,1.2002157,226.4694,186.89908,144.40752,91.14089,37.462635,-1.2002157,217.57396,689.2218,526.7533,251.91077,79.20795,37.26903,28.324535,806.6376,529.43835,372.267,78.70566,41.80799,28.585861
2,-200.05307,-189.20662,-181.13167,-151.7814,-105.535706,-119.40638,152.66887,155.87675,181.4328,163.43115,105.535706,155.87782,170.8497,137.08199,80.398895,64.88195,1.1999463,226.48398,186.60574,144.17047,90.9159,37.425747,-1.1999463,217.5591,689.1833,526.3367,251.8649,79.20871,37.204372,28.317951,806.8337,529.4349,372.30707,78.72496,41.8093,28.53229
3,-200.12956,-189.21739,-181.19876,-151.8065,-105.49054,-119.409485,152.50183,155.70537,181.31828,163.39722,105.49054,155.86404,171.2311,137.14394,80.520134,64.92116,1.1968693,226.48557,186.27072,143.92783,90.713776,37.388172,-1.1968693,217.55562,689.1415,526.09607,251.8403,79.21461,37.15628,28.304232,806.98737,529.4453,372.34186,78.74131,41.817684,28.506634
4,-200.19678,-189.34207,-181.26527,-151.8172,-105.45381,-119.40348,152.35956,155.58554,181.21207,163.37216,105.45381,155.85732,171.6016,137.41252,80.64136,64.95517,1.1905261,226.47375,185.88162,143.68321,90.54024,37.35166,-1.1905261,217.56172,689.09546,526.0527,251.83754,79.223694,37.127285,28.284298,807.0892,529.4725,372.3703,78.75479,41.834675,28.508392
5,-200.25279,-189.55989,-181.3294,-151.81337,-105.42551,-119.38985,152.24522,155.51207,181.11559,163.35532,105.42551,155.8602,171.9634,137.85149,80.759186,64.98535,1.1814111,226.45238,185.43604,143.4446,90.39592,37.319,-1.1814111,217.57106,689.0455,526.17535,251.84953,79.23131,37.11536,28.262074,807.14014,529.5157,372.3929,78.76665,41.859955,28.527483
6,-200.29681,-189.8281,-181.38867,-151.79755,-105.40431,-119.37163,152.15881,155.47015,181.02899,163.34438,105.40431,155.87413,172.32115,138.38559,80.86991,65.013855,1.1708905,226.42775,184.94154,143.2209,90.27669,37.292747,-1.1708905,217.57542,688.9923,526.3961,251.8641,79.232,37.115402,28.242874,807.15063,529.57104,372.41174,78.77888,41.891567,28.548882
7,-200.32922,-190.09753,-181.44025,-151.77412,-105.38808,-119.352165,152.09734,155.44055,180.9507,163.33604,105.38808,155.89857,172.68134,138.92947,80.97148,65.04274,1.1607555,226.40628,184.4137,143.01811,90.17511,37.27402,-1.1607555,217.56837,688.9372,526.6353,251.86829,79.222115,37.121433,28.23122,807.1376,529.6331,372.43005,78.793564,41.92654,28.559145
8,-200.35187,-190.32759,-181.48167,-151.74838,-105.37419,-119.334145,152.05502,155.40555,180.87706,163.32689,105.37419,155.93066,173.05173,139.41525,81.0652,65.0733,1.1525186,226.39227,183.87262,142.83656,90.0827,37.261837,-1.1525186,217.54863,688.88165,526.82574,251.8528,79.20166,37.128597,28.22901,807.1206,529.6964,372.45172,78.81224,41.961773,28.552006
9,-200.3682,-190.49573,-181.51158,-151.72519,-105.35987,-119.31895,152.02382,155.35333,180.80244,163.31392,105.35987,155.96571,173.44048,139.81007,81.15647,65.105896,1.14675,226.38689,183.3388,142.67076,89.99217,37.25336,-1.14675,217.52127,688.82764,526.9286,251.81505,79.17473,37.13432,28.234753,807.1185,529.7566,372.48004,78.835556,41.994858,28.53075
