,0
0,369.1619
1,369.01883
2,368.9017
3,368.82156
4,368.78076
5,368.77216
6,368.78125
7,368.79184
8,368.78958
9,368.7655
10,368.717
11,368.64627
12,368.5579
13,368.4574
14,368.34903
15,368.23428
16,368.1118
17,367.97726
18,367.82468
19,367.64813
20,367.44418
21,367.21292
22,366.95877
23,366.6878
24,366.4068
25,366.12006
26,365.82953
27,365.53534
28,365.23648
29,364.93314
30,364.62518
31,364.31174
32,363.98856
33,363.64722
34,363.2754
35,362.85803
36,362.38174
37,361.83774
38,361.22415
39,360.5471
40,359.8188
41,359.0549
42,358.27188
43,357.4846
44,356.70346
45,355.9323
46,355.166
47,354.39056
48,353.58676
49,352.73477
50,351.82193
51,350.84677
52,349.8204
53,348.76437
54,347.7034
55,346.65924
56,345.64285
57,344.65222
58,343.67163
59,342.67593
60,341.6373
61,340.53305
62,339.35287
63,338.1009
64,336.7939
65,335.4564
66,334.11432
67,332.79102
68,331.50433
69,330.26562
70,329.08008
71,327.94754
72,326.86334
73,325.8202
74,324.80942
75,323.82425
76,322.86102
77,321.92047
78,321.007
79,320.12668
80,319.2856
81,318.4882
82,317.73608
83,317.02853
84,316.3625
85,315.73322
86,315.13452
87,314.55963
88,314.00226
89,313.4579
90,312.92477
91,312.40402
92,311.89886
93,311.4142
94,310.95453
95,310.52298
96,310.1216
97,309.75037
98,309.4075
99,309.0894
100,308.7905
101,369.3843
102,369.52426
103,369.64017
104,369.71527
105,369.7475
106,369.74915
107,369.74036
108,369.74207
109,369.76797
110,369.8208
111,369.8927
112,369.97012
113,370.03876
114,370.08954
115,370.12012
116,370.1353
117,370.14413
118,370.15594
119,370.17746
120,370.21127
121,370.25613
122,370.30774
123,370.36075
124,370.41083
125,370.45547
126,370.4939
127,370.52698
128,370.55542
129,370.58
130,370.60083
131,370.6175
132,370.63043
133,370.64084
134,370.6512
135,370.6653
136,370.68643
137,370.71545
138,370.74908
139,370.77826
140,370.7898
141,370.76877
142,370.7038
143,370.59216
144,370.44308
145,370.27698
146,370.12
147,369.9976
148,369.92548
149,369.90704
150,369.9321
151,369.98157
152,370.03552
153,370.07935
154,370.10974
155,370.13455
156,370.16864
157,370.2267
158,370.31512
159,370.429
160,370.55127
161,370.6585
162,370.72733
163,370.74115
164,370.69455
165,370.59448
166,370.45728
167,370.30356
168,370.15216
169,370.0153
170,369.89578
171,369.78726
172,369.67755
173,369.55334
174,369.40552
175,369.23322
176,369.0452
177,368.85742
178,368.689
179,368.55508
180,368.46234
181,368.40674
182,368.37503
183,368.3505
184,368.31885
185,368.27286
186,368.21347
187,368.1476
188,368.08417
189,368.03015
190,367.9876
191,367.95407
192,367.92328
193,367.8883
194,367.84467
195,367.79166
196,367.73273
197,367.6736
198,367.6205
199,367.57745
200,367.5448
201,367.51974
202,369.3082
203,369.40823
204,369.4951
205,369.56018
206,369.6023
207,369.62634
208,369.6388
209,369.64462
210,369.64468
211,369.63736
212,369.62015
213,369.5925
214,369.55707
215,369.5186
216,369.48395
217,369.45963
218,369.4514
219,369.46335
220,369.49777
221,369.555
222,369.6339
223,369.73215
224,369.84518
225,369.9679
226,370.0932
227,370.21475
228,370.32684
229,370.4261
230,370.51233
231,370.5868
232,370.65228
233,370.71094
234,370.76312
235,370.807
236,370.8387
237,370.85388
238,370.84918
239,370.82428
240,370.78238
241,370.73068
242,370.67853
243,370.63452
244,370.60425
245,370.5881
246,370.58066
247,370.57364
248,370.5587
249,370.53214
250,370.49612
251,370.45862
252,370.42984
253,370.4186
254,370.4281
255,370.45468
256,370.4898
257,370.5226
258,370.54398
259,370.54926
260,370.53906
261,370.51767
262,370.4917
263,370.467
264,370.44727
265,370.4337
266,370.42426
267,370.4169
268,370.41006
269,370.40405
270,370.40192
271,370.4078
272,370.42462
273,370.45096
274,370.47852
275,370.49286
276,370.47614
277,370.41296
278,370.29718
279,370.13553
280,369.9491
281,369.76877
282,369.62866
283,369.55667
284,369.56757
285,369.6595
286,369.81445
287,370.00565
288,370.20404
289,370.3849
290,370.53204
291,370.63785
292,370.7023
293,370.7304
294,370.72983
295,370.70996
296,370.67883
297,370.64395
298,370.60962
299,370.57794
300,370.54895
301,370.52063
302,370.49054
303,371.0446
304,370.9991
305,370.98114
306,371.00833
307,371.0814
308,371.18573
309,371.29883
310,371.3985
311,371.46912
312,371.5028
313,371.4984
314,371.45862
315,371.38815
316,371.29443
317,371.1882
318,371.0832
319,370.99374
320,370.93246
321,370.90622
322,370.9145
323,370.94943
324,370.99838
325,371.04678
326,371.08267
327,371.0985
328,371.09286
329,371.06857
330,371.03134
331,370.98706
332,370.9395
333,370.89038
334,370.84067
335,370.7908
336,370.74277
337,370.6997
338,370.66473
339,370.63986
340,370.6245
341,370.6164
342,370.61234
343,370.61044
344,370.61075
345,370.61642
346,370.63058
347,370.6549
348,370.68704
349,370.72083
350,370.7473
351,370.7579
352,370.74704
353,370.7142
354,370.66333
355,370.60202
356,370.53928
357,370.48334
358,370.44046
359,370.41443
360,370.40582
361,370.4128
362,370.4313
363,370.45724
364,370.4872
365,370.51974
366,370.5548
367,370.59326
368,370.6347
369,370.67688
370,370.71497
371,370.7435
372,370.75745
373,370.75446
374,370.736
375,370.70734
376,370.67545
377,370.64786
378,370.6308
379,370.62833
380,370.64194
381,370.67032
382,370.71014
383,370.75674
384,370.80496
385,370.85056
386,370.89127
387,370.92725
388,370.96118
389,370.9967
390,371.03766
391,371.08548
392,371.13895
393,371.1943
394,371.2462
395,371.29056
396,371.32565
397,371.35242
398,371.37363
399,371.39236
400,371.4112
401,371.43155
402,371.45328
403,371.4757
404,371.33643
405,371.41266
406,371.4973
407,371.57016
408,371.6158
409,371.62628
410,371.59918
411,371.5383
412,371.4515
413,371.34937
414,371.24274
415,371.1397
416,371.0435
417,370.9503
418,370.84943
419,370.72403
420,370.5561
421,370.33072
422,370.04205
423,369.69577
424,369.30933
425,368.90784
426,368.51758
427,368.15866
428,367.8376
429,367.54614
430,367.26273
431,366.9602
432,366.6156
433,366.21722
434,365.7697
435,365.29108
436,364.80692
437,364.341
438,363.90802
439,363.5094
440,363.13254
441,362.75647
442,362.35907
443,361.92368
444,361.4445
445,360.92627
446,360.3816
447,359.82468
448,359.26758
449,358.71603
450,358.16968
451,357.62204
452,357.06558
453,356.49466
454,355.90845
455,355.31247
456,354.71658
457,354.1315
458,353.56644
459,353.02545
460,352.5082
461,352.0111
462,351.52817
463,351.05508
464,350.58774
465,350.12375
466,349.66046
467,349.19504
468,348.7233
469,348.24124
470,347.74597
471,347.23788
472,346.72095
473,346.20285
474,345.69244
475,345.19794
476,344.7241
477,344.27182
478,343.83868
479,343.4205
480,343.01263
481,342.61194
482,342.21753
483,341.83167
484,341.4589
485,341.10577
486,340.7791
487,340.48508
488,340.22742
489,340.0068
490,339.8207
491,339.66415
492,339.53085
493,339.4149
494,339.31088
495,339.2158
496,339.12897
497,339.05154
498,338.98636
499,338.93652
500,338.90457
501,338.89114
502,338.89493
503,338.91275
504,338.9391
505,371.1038
506,371.23175
507,371.3602
508,371.47906
509,371.57776
510,371.64813
511,371.68555
512,371.69058
513,371.66882
514,371.631
515,371.58984
516,371.557
517,371.5407
518,371.54257
519,371.558
520,371.5764
521,371.58472
522,371.57074
523,371.52744
524,371.456
525,371.36435
526,371.26544
527,371.17188
528,371.09088
529,371.0214
530,370.95462
531,370.8766
532,370.77475
533,370.64157
534,370.4774
535,370.28903
536,370.08694
537,369.88016
538,369.67493
539,369.47256
540,369.27277
541,369.07565
542,368.8841
543,368.7032
544,368.53864
545,368.39304
546,368.262
547,368.13315
548,367.98694
549,367.802
550,367.56152
551,367.26007
552,366.90814
553,366.53232
554,366.16873
555,365.85428
556,365.61627
557,365.46136
558,365.37204
559,365.30566
560,365.2034
561,365.00333
562,364.65842
563,364.14938
564,363.49167
565,362.73096
566,361.9294
567,361.14838
568,360.4326
569,359.8013
570,359.24838
571,358.74988
572,358.27533
573,357.79974
574,357.31082
575,356.81183
576,356.31732
577,355.8474
578,355.42084
579,355.04782
580,354.72968
581,354.45862
582,354.22244
583,354.00906
584,353.81088
585,353.625
586,353.4533
587,353.29984
588,353.168
589,353.05923
590,352.9719
591,352.90283
592,352.84836
593,352.80594
594,352.77515
595,352.75714
596,352.75397
597,352.76654
598,352.79437
599,352.83472
600,352.88345
601,352.9359
