,0
0,276.66782
1,276.5759
2,276.49756
3,276.4289
4,276.368
5,276.31567
6,276.27377
7,276.24442
8,276.22903
9,276.22842
10,276.2429
11,276.27267
12,276.31625
13,276.36926
14,276.4241
15,276.46964
16,276.4941
17,276.48877
18,276.45023
19,276.38147
20,276.2897
21,276.18256
22,276.0647
23,275.9362
24,275.79315
25,275.63187
26,275.45306
27,275.26593
28,275.08914
29,274.94995
30,274.87772
31,274.89694
32,275.0188
33,275.23578
34,275.5198
35,275.82803
36,276.11276
37,276.33444
38,276.47205
39,276.528
40,276.52493
41,276.49658
42,276.47562
43,276.48288
44,276.52252
45,276.58353
46,276.64713
47,276.69543
48,276.71802
49,276.71426
50,276.69144
51,276.66132
52,276.6362
53,276.62616
54,276.63794
55,276.67487
56,276.73737
57,276.8237
58,276.93042
59,277.0514
60,277.17813
61,277.29938
62,277.4026
63,277.4756
64,277.5096
65,277.5012
66,277.4529
67,277.3737
68,277.2762
69,277.1746
70,277.08133
71,277.005
72,276.94907
73,276.91272
74,276.8925
75,276.88388
76,276.88318
77,276.8875
78,276.8949
79,276.9044
80,276.9165
81,276.93402
82,276.9616
83,277.00345
84,277.05988
85,277.12473
86,277.18576
87,277.2276
88,277.23584
89,277.20084
90,277.11893
91,276.99252
92,276.83014
93,276.64633
94,276.4611
95,276.2968
96,276.17523
97,276.11252
98,276.1149
99,276.17612
100,276.2766
101,283.9513
102,283.86215
103,283.7952
104,283.76617
105,283.78418
106,283.8498
107,283.95654
108,284.09213
109,284.2423
110,284.3936
111,284.53787
112,284.67444
113,284.8119
114,284.9659
115,285.15417
116,285.3894
117,285.674
118,285.9982
119,286.34277
120,286.6838
121,286.99646
122,287.2589
123,287.45807
124,287.59384
125,287.68256
126,287.75385
127,287.84137
128,287.971
129,288.15277
130,288.37927
131,288.63013
132,288.88058
133,289.10754
134,289.2948
135,289.4336
136,289.52124
137,289.55988
138,289.55347
139,289.50766
140,289.42984
141,289.33014
142,289.22107
143,289.117
144,289.03116
145,288.97192
146,288.94183
147,288.93616
148,288.94577
149,288.96048
150,288.97174
151,288.9764
152,288.976
153,288.97552
154,288.98077
155,288.99554
156,289.0196
157,289.04898
158,289.07755
159,289.09952
160,289.11136
161,289.11404
162,289.11237
163,289.11258
164,289.11972
165,289.13538
166,289.1559
167,289.17462
168,289.18442
169,289.1802
170,289.1613
171,289.131
172,289.0949
173,289.05878
174,289.02664
175,288.99976
176,288.97678
177,288.95605
178,288.93597
179,288.91766
180,288.90448
181,288.90137
182,288.91183
183,288.93637
184,288.97162
185,289.01035
186,289.04373
187,289.06393
188,289.06534
189,289.04645
190,289.00922
191,288.9588
192,288.90207
193,288.84705
194,288.80048
195,288.76816
196,288.75388
197,288.75967
198,288.78543
199,288.8296
200,288.88867
201,288.9568
202,282.63257
203,282.7697
204,282.91623
205,283.07883
206,283.2641
207,283.47913
208,283.73026
209,284.02094
210,284.34973
211,284.70792
212,285.07846
213,285.43875
214,285.76508
215,286.03867
216,286.25195
217,286.41046
218,286.53064
219,286.63235
220,286.7313
221,286.832
222,286.92697
223,287.00058
224,287.03638
225,287.0239
226,286.96408
227,286.87045
228,286.76746
229,286.68503
230,286.65228
231,286.69144
232,286.81372
233,287.01782
234,287.2901
235,287.6057
236,287.93082
237,288.22745
238,288.45953
239,288.6009
240,288.6414
241,288.58795
242,288.46283
243,288.2966
244,288.12134
245,287.96463
246,287.84518
247,287.77206
248,287.7452
249,287.75726
250,287.79575
251,287.8464
252,287.89597
253,287.93494
254,287.95917
255,287.97058
256,287.97623
257,287.98593
258,288.0096
259,288.05457
260,288.1231
261,288.2118
262,288.31204
263,288.41205
264,288.4998
265,288.5665
266,288.60852
267,288.62833
268,288.6331
269,288.63235
270,288.63565
271,288.6502
272,288.67957
273,288.72433
274,288.7822
275,288.85004
276,288.9244
277,289.00192
278,289.07922
279,289.15234
280,289.21616
281,289.26367
282,289.2879
283,289.28262
284,289.24585
285,289.18066
286,289.0961
287,289.00507
288,288.92117
289,288.85455
290,288.809
291,288.78137
292,288.76398
293,288.74725
294,288.72504
295,288.6966
296,288.66827
297,288.65048
298,288.65445
299,288.68835
300,288.75433
301,288.84744
302,288.95688
303,283.4624
304,283.94287
305,284.4209
306,284.8727
307,285.27856
308,285.62296
309,285.8954
310,286.0927
311,286.22073
312,286.29504
313,286.33722
314,286.37048
315,286.41275
316,286.47348
317,286.5521
318,286.64084
319,286.72736
320,286.79938
321,286.84833
322,286.87253
323,286.8809
324,286.89258
325,286.93515
326,287.0371
327,287.22015
328,287.49063
329,287.83673
330,288.22964
331,288.63068
