,0
0,276.8859
1,277.08377
2,277.304
3,277.5325
4,277.76007
5,277.98462
6,278.20963
7,278.44034
8,278.6793
9,278.92313
10,279.16208
11,279.38242
12,279.5718
13,279.72244
14,279.83423
15,279.9136
16,279.97067
17,280.01596
18,280.05746
19,280.10016
20,280.1456
21,280.19348
22,280.24237
23,280.2909
24,280.33817
25,280.3843
26,280.4309
27,280.47992
28,280.53287
29,280.58847
30,280.6431
31,280.69055
32,280.7237
33,280.73755
34,280.73016
35,280.70453
36,280.66736
37,280.6275
38,280.5934
39,280.5712
40,280.5629
41,280.56708
42,280.57935
43,280.59424
44,280.60675
45,280.61322
46,280.61203
47,280.6031
48,280.58792
49,280.56912
50,280.55008
51,280.5354
52,280.53064
53,280.54095
54,280.57077
55,280.62167
56,280.69232
57,280.77762
58,280.8701
59,280.9602
60,281.03827
61,281.0951
62,281.12363
63,281.1202
64,281.0852
65,281.02335
66,280.94247
67,280.85162
68,280.75867
69,280.66837
70,280.5823
71,280.50024
72,280.42255
73,280.3516
74,280.293
75,280.25366
76,280.24042
77,280.25702
78,280.30325
79,280.37375
80,280.45883
81,280.5462
82,280.62262
83,280.6774
84,280.70386
85,280.70102
86,280.67285
87,280.6263
88,280.56964
89,280.50995
90,280.45178
91,280.39783
92,280.34854
93,280.30347
94,280.26114
95,280.22018
96,280.17896
97,280.1363
98,280.092
99,280.04694
100,280.00323
101,283.89825
102,284.2186
103,284.54395
104,284.84796
105,285.1168
106,285.34747
107,285.5446
108,285.7143
109,285.8616
110,285.98868
111,286.09607
112,286.18338
113,286.2513
114,286.30173
115,286.33832
116,286.36508
117,286.3862
118,286.40494
119,286.4235
120,286.44308
121,286.4639
122,286.48587
123,286.5091
124,286.5341
125,286.56116
126,286.59103
127,286.62363
128,286.65857
129,286.69525
130,286.7335
131,286.77393
132,286.81747
133,286.86618
134,286.9224
135,286.98813
136,287.06494
137,287.15372
138,287.25378
139,287.36298
140,287.4772
141,287.59137
142,287.70035
143,287.80005
144,287.88876
145,287.96722
146,288.0393
147,288.1093
148,288.1819
149,288.2587
150,288.33884
151,288.4192
152,288.49533
153,288.56485
154,288.62775
155,288.68686
156,288.74643
157,288.80984
158,288.87833
159,288.94882
160,289.0156
161,289.07047
162,289.10638
163,289.11984
164,289.11212
165,289.0897
166,289.0618
167,289.03766
168,289.0235
169,289.02048
170,289.02542
171,289.03244
172,289.0357
173,289.03168
174,289.02023
175,289.00397
176,288.98672
177,288.97183
178,288.96017
179,288.95026
180,288.93893
181,288.92316
182,288.9019
183,288.87665
184,288.8518
185,288.83234
186,288.82214
187,288.82193
188,288.82904
189,288.83752
190,288.8405
191,288.8317
192,288.80774
193,288.76956
194,288.72192
195,288.67227
196,288.62866
197,288.5979
198,288.5836
199,288.58575
200,288.6011
201,288.62387
202,282.2922
203,282.39468
204,282.50192
205,282.61142
206,282.72107
207,282.82935
208,282.9364
209,283.0446
210,283.15836
211,283.28354
212,283.42618
213,283.59006
214,283.77524
215,283.9768
216,284.18524
217,284.38834
