,0
0,372.29724
1,372.21555
2,372.12766
3,372.02716
4,371.9101
5,371.77737
6,371.63327
7,371.4863
8,371.34595
9,371.22006
10,371.11404
11,371.02823
12,370.9595
13,370.90195
14,370.84885
15,370.7945
16,370.7354
17,370.6704
18,370.599
19,370.52106
20,370.43588
21,370.34244
22,370.2396
23,370.12772
24,370.00854
25,369.8847
26,369.75903
27,369.63373
28,369.50925
29,369.38406
30,369.25363
31,369.10995
32,368.9434
33,368.74347
34,368.50278
35,368.21732
36,367.88647
37,367.5116
38,367.0936
39,366.63272
40,366.12927
41,365.584
42,365.00015
43,364.38232
44,363.73608
45,363.06616
46,362.3765
47,361.67004
48,360.94888
49,360.21503
50,359.47083
51,358.71887
52,357.96152
53,357.2007
54,356.43713
55,355.67075
56,354.90097
57,354.128
58,353.35382
59,352.58258
60,351.82062
61,351.07394
62,350.34705
63,349.63968
64,348.94656
65,348.25797
66,347.56195
67,346.84854
68,346.11163
69,345.35052
70,344.56818
71,343.7693
72,342.95795
73,342.1377
74,341.31213
75,340.48593
76,339.6671
77,338.8677
78,338.1029
79,337.3898
80,336.74326
81,336.17368
82,335.6839
83,335.26852
84,334.91446
85,334.6025
86,334.31146
87,334.0225
88,333.72403
89,333.4138
90,333.098
91,332.78888
92,332.49966
93,332.2414
94,332.0203
95,331.83768
96,331.69083
97,331.5744
98,331.48206
99,331.40787
100,331.3457
101,375.30847
102,375.33463
103,375.35938
104,375.38144
105,375.39978
106,375.41385
107,375.42426
108,375.43103
109,375.43445
110,375.43466
111,375.43176
112,375.42563
113,375.4164
114,375.40488
115,375.39093
116,375.37494
117,375.3557
118,375.3322
119,375.30215
120,375.2642
121,375.21805
122,375.16522
123,375.10883
124,375.054
125,375.00482
126,374.96457
127,374.93396
128,374.91168
129,374.89487
130,374.8807
131,374.86755
132,374.8557
133,374.8479
134,374.84756
135,374.85834
136,374.88184
137,374.91714
138,374.9608
139,375.00717
140,375.05093
141,375.08707
142,375.11212
143,375.12323
144,375.1183
145,375.0952
146,375.05133
147,374.9842
148,374.89264
149,374.7766
150,374.63846
151,374.4826
152,374.31378
153,374.13718
154,373.95627
155,373.77252
156,373.58588
157,373.39575
158,373.20303
159,373.01065
160,372.8245
161,372.65143
162,372.497
163,372.36322
164,372.2466
165,372.13876
166,372.02798
167,371.90186
168,371.74994
169,371.5659
170,371.34766
171,371.0983
172,370.82416
173,370.5347
174,370.2408
175,369.95456
176,369.6882
177,369.45343
178,369.25998
179,369.11502
180,369.0216
181,368.97916
182,368.9832
183,369.02603
184,369.09827
185,369.18982
186,369.2917
187,369.3964
188,369.4988
189,369.5965
190,369.68796
191,369.77185
192,369.84668
193,369.91
194,369.9592
195,369.99237
196,370.00854
197,370.0089
198,369.99542
199,369.97128
200,369.93942
201,369.90298
202,376.05444
203,376.05075
204,376.0433
205,376.02875
206,376.00452
207,375.96994
208,375.92682
209,375.87894
210,375.8313
211,375.7889
212,375.75458
213,375.72833
214,375.7075
215,375.68738
216,375.66296
217,375.6311
218,375.59113
219,375.54517
220,375.49643
221,375.44943
222,375.4073
223,375.37125
224,375.34164
225,375.31705
226,375.29596
227,375.27747
228,375.26175
229,375.2509
230,375.24774
231,375.2564
232,375.28076
233,375.32382
234,375.38785
235,375.47348
236,375.58017
237,375.70602
238,375.84875
239,376.0054
240,376.17316
241,376.34927
242,376.53058
243,376.71338
244,376.89346
245,377.06653
246,377.22852
247,377.3768
248,377.51025
249,377.6301
250,377.74008
251,377.8454
252,377.95264
253,378.06766
254,378.1956
255,378.33847
256,378.49548
257,378.66196
258,378.83093
259,378.9954
260,379.14908
261,379.28943
262,379.41727
263,379.5354
264,379.64728
265,379.75464
266,379.8564
267,379.94897
268,380.02744
269,380.0875
270,380.12646
271,380.145
272,380.14557
273,380.13193
274,380.10712
275,380.07297
276,380.02908
277,379.9746
278,379.90863
279,379.8317
280,379.74655
281,379.6572
282,379.56772
283,379.48074
284,379.39764
285,379.31686
286,379.23608
287,379.15247
288,379.06348
289,378.96738
290,378.86487
291,378.75797
292,378.65005
293,378.54602
294,378.4506
295,378.36862
296,378.30405
297,378.25955
298,378.23587
299,378.23306
300,378.24997
301,378.28455
302,378.3336
303,376.2598
304,376.26474
305,376.27063
306,376.2777
307,376.28687
308,376.3
309,376.31915
310,376.34628
311,376.38303
312,376.43057
313,376.49008
314,376.5626
315,376.64868
316,376.74887
317,376.86255
318,376.98795
319,377.12207
320,377.2617
321,377.40237
322,377.5409
323,377.67493
324,377.80304
325,377.92496
326,378.04034
327,378.14896
328,378.2502
329,378.34323
330,378.42737
331,378.50278
332,378.57043
333,378.63257
334,378.69193
335,378.7517
336,378.81424
337,378.88
338,378.94818
339,379.0163
340,379.0813
341,379.14145
342,379.19672
343,379.24933
344,379.30228
345,379.35913
346,379.42157
347,379.48965
348,379.56186
349,379.63614
