,0
0,373.97815
1,374.04034
2,374.0909
3,374.12064
4,374.1247
5,374.10452
6,374.06464
7,374.01172
8,373.9507
9,373.88492
10,373.81564
11,373.74432
12,373.67355
13,373.60748
14,373.55084
15,373.5076
16,373.47836
17,373.45956
18,373.44394
19,373.42212
20,373.38474
21,373.32397
22,373.23557
23,373.11963
24,372.98013
25,372.8244
26,372.6608
27,372.4976
28,372.3402
29,372.19028
30,372.0448
31,371.89648
32,371.73523
33,371.55035
34,371.33148
35,371.0705
36,370.7606
37,370.39636
38,369.97427
39,369.49228
40,368.95062
41,368.35168
42,367.69992
43,367.0009
44,366.2601
45,365.48285
46,364.67358
47,363.8358
48,362.97202
49,362.08374
50,361.17218
51,360.23825
52,359.28305
53,358.30826
54,357.3164
55,356.3103
56,355.29343
57,354.2691
58,353.24036
59,352.20923
60,351.17752
61,350.14548
62,349.11264
63,348.07736
64,347.03677
65,345.9879
66,344.92874
67,343.85944
68,342.78278
69,341.70462
70,340.63272
71,339.57523
72,338.53873
73,337.5278
74,336.5445
75,335.58847
76,334.65833
77,333.7526
78,332.87018
79,332.0105
80,331.17383
81,330.36188
82,329.57736
83,328.82535
84,328.11313
85,327.44925
86,326.8412
87,326.29294
88,325.80194
89,325.3583
90,324.946
91,324.54694
92,324.14496
93,323.73154
94,323.30676
95,322.8796
96,322.46396
97,322.07388
98,321.71857
99,321.399
100,321.10797
101,374.31866
102,374.1192
103,373.94754
104,373.81973
105,373.7424
106,373.7112
107,373.71268
108,373.7284
109,373.74017
110,373.73523
111,373.70917
112,373.6656
113,373.6142
114,373.5653
115,373.5274
116,373.50522
117,373.50137
118,373.51904
119,373.56476
120,373.64755
121,373.7759
122,373.95224
123,374.1665
124,374.39526
125,374.6042
126,374.75662
127,374.82428
128,374.79388
129,374.67126
130,374.478
131,374.246
132,374.00784
133,373.789
134,373.60162
135,373.44327
136,373.29926
137,373.1499
138,372.97714
139,372.77222
140,372.53763
141,372.28735
142,372.04248
143,371.82446
144,371.6487
145,371.51926
146,371.42703
147,371.3518
148,371.2704
149,371.16385
150,371.0256
151,370.8628
152,370.69327
153,370.53668
154,370.4073
155,370.30713
156,370.22482
157,370.13904
158,370.0248
159,369.86084
160,369.63687
161,369.35645
162,369.0338
163,368.68823
164,368.33603
165,367.9851
166,367.63504
167,367.2784
168,366.9058
169,366.5083
170,366.08008
171,365.61777
172,365.1201
173,364.58792
174,364.02432
175,363.4359
176,362.833
177,362.23
178,361.64386
179,361.09296
180,360.59412
181,360.16016
182,359.7986
183,359.50955
184,359.28568
185,359.11438
186,358.98077
187,358.8708
188,358.77466
189,358.68713
190,358.6078
191,358.53894
192,358.48367
193,358.44354
194,358.4177
195,358.4026
196,358.39227
197,358.3805
198,358.36197
199,358.3345
200,358.2993
201,358.2608
202,374.02222
203,373.91174
204,373.8023
205,373.69852
206,373.61105
207,373.5537
208,373.5356
209,373.55493
210,373.59558
211,373.63144
212,373.63428
213,373.58655
214,373.48883
215,373.36243
216,373.2434
217,373.16992
218,373.17023
219,373.2511
220,373.3979
221,373.5794
222,373.76044
223,373.91315
224,374.02737
225,374.10956
226,374.17743
227,374.24985
228,374.33588
229,374.43222
230,374.52374
231,374.59125
232,374.61957
233,374.60455
234,374.55316
235,374.48083
236,374.4044
237,374.33694
238,374.28372
239,374.2425
240,374.20648
241,374.16824
242,374.1232
243,374.07214
244,374.02005
245,373.97574
246,373.9475
247,373.9409
248,373.95633
249,373.98804
250,374.02606
251,374.05878
252,374.0782
253,374.0813
254,374.07172
255,374.05853
256,374.05206
257,374.062
258,374.09354
259,374.14746
260,374.21985
261,374.30194
262,374.38257
263,374.4478
264,374.485
265,374.4845
266,374.44305
267,374.36542
268,374.26312
269,374.1511
270,374.0421
271,373.94055
272,373.84085
273,373.72977
274,373.59216
275,373.4177
276,373.2062
277,372.96805
278,372.72067
279,372.48352
280,372.27267
281,372.09775
282,371.96292
283,371.8671
284,371.80658
285,371.7746
286,371.7625
287,371.76
288,371.75598
289,371.74146
290,371.71106
291,371.66415
292,371.60626
