,0
0,274.60083
1,274.6878
2,274.7687
3,274.83832
4,274.89478
5,274.9389
6,274.9753
7,275.01022
8,275.05115
9,275.10522
10,275.17746
11,275.26883
12,275.3758
13,275.49057
14,275.60214
15,275.69876
16,275.77133
17,275.81583
18,275.83438
19,275.83493
20,275.82803
21,275.8249
22,275.83356
23,275.85794
24,275.89728
25,275.9475
26,276.00333
27,276.0599
28,276.11438
29,276.1662
30,276.21625
31,276.2664
32,276.3182
33,276.3721
34,276.4271
35,276.48117
36,276.532
37,276.5775
38,276.6161
39,276.64713
40,276.67023
41,276.685
42,276.69086
43,276.68774
44,276.67636
45,276.65906
46,276.63937
47,276.62125
48,276.60776
49,276.60025
50,276.59802
51,276.59906
52,276.60153
53,276.60477
54,276.6095
55,276.61728
56,276.6297
57,276.6471
58,276.66907
59,276.69455
60,276.72223
61,276.75122
62,276.78064
63,276.80997
64,276.83942
65,276.86954
66,276.9017
67,276.93723
68,276.9782
69,277.0264
70,277.0837
71,277.1517
72,277.23105
73,277.32025
74,277.416
75,277.51303
76,277.6064
77,277.6921
78,277.76852
79,277.83554
80,277.8945
81,277.9462
82,277.99136
83,278.0304
84,278.06296
85,278.08853
86,278.1066
87,278.1168
88,278.11966
89,278.11783
90,278.11584
91,278.1191
92,278.13245
93,278.1576
94,278.19223
95,278.22913
96,278.2586
97,278.2711
98,278.26157
99,278.2316
100,278.19012
101,274.6896
102,274.7002
103,274.70825
104,274.71173
105,274.71576
106,274.7324
107,274.77695
108,274.86194
109,274.99106
110,275.15598
111,275.3373
112,275.51047
113,275.6535
114,275.7555
115,275.81836
116,275.85522
117,275.8838
118,275.92007
119,275.9736
120,276.0475
121,276.14026
122,276.2489
123,276.3715
124,276.50775
125,276.65823
126,276.8221
127,276.9959
128,277.1735
129,277.34683
130,277.5095
131,277.65784
132,277.7934
133,277.92334
134,278.05942
135,278.21658
136,278.4091
137,278.6463
138,278.92905
139,279.24628
140,279.5762
141,279.88928
142,280.15546
143,280.35367
144,280.47882
145,280.54645
146,280.58914
147,280.64853
148,280.76135
149,280.94852
150,281.2061
151,281.5042
152,281.7921
153,282.00986
154,282.10217
155,282.03198
156,281.78967
157,281.39453
158,280.8887
159,280.3261
160,279.75854
161,279.2238
162,278.74063
163,278.30948
164,277.9191
165,277.555
166,277.2061
167,276.86887
168,276.54626
169,276.24634
170,275.97922
171,275.7549
172,275.5815
173,275.46292
174,275.39694
175,275.3732
176,275.37335
177,275.3738
178,275.3513
179,275.2901
180,275.18866
181,275.06076
182,274.93237
183,274.83237
184,274.7823
185,274.7875
186,274.8346
187,274.89557
188,274.93713
189,274.9316
190,274.86612
191,274.74564
192,274.59024
193,274.42755
194,274.28394
195,274.17676
196,274.11218
197,274.08612
198,274.08862
199,274.10846
200,274.13632
201,274.16568
202,275.7226
203,275.90576
204,276.08362
205,276.2481
206,276.38904
207,276.49606
208,276.56335
209,276.59256
210,276.59427
211,276.5848
212,276.58167
213,276.59747
214,276.6371
215,276.69662
216,276.7663
217,276.8349
218,276.89282
219,276.9362
220,276.96555
221,276.98557
222,277.00266
223,277.0235
224,277.05344
225,277.09695
226,277.15662
227,277.23267
228,277.32346
229,277.4248
230,277.53098
231,277.63522
232,277.73004
233,277.80807
234,277.86346
235,277.89386
236,277.90262
237,277.89975
238,277.90125
239,277.9256
240,277.98813
241,278.09576
242,278.24274
243,278.40952
244,278.5669
245,278.68317
246,278.7338
247,278.71045
248,278.62567
249,278.51175
250,278.4128
251,278.3725
252,278.42026
253,278.5618
254,278.7758
255,279.0184
256,279.23608
257,279.38007
258,279.4198
259,279.34842
260,279.18112
261,278.94745
262,278.67978
263,278.40585
264,278.14304
265,277.89804
266,277.66946
267,277.4513
268,277.23633
269,277.0191
270,276.79745
271,276.57297
272,276.35074
273,276.13776
274,275.94138
275,275.76675
276,275.61462
277,275.4797
278,275.35123
279,275.21637
280,275.0648
281,274.89365
282,274.7088
283,274.5232
284,274.35117
285,274.20407
286,274.08716
287,274.00055
288,273.9429
289,273.9142
290,273.9169
291,273.9537
292,274.0244
293,274.12283
294,274.2363
295,274.3479
296,274.44098
297,274.50345
298,274.53067
299,274.52502
300,274.49387
301,274.44666
302,274.3925
