,0
0,456.61465
1,456.65393
2,456.6886
3,456.709
4,456.7098
5,456.6899
6,456.6516
7,456.59915
8,456.5375
9,456.47153
10,456.40527
11,456.34015
12,456.27252
13,456.19247
14,456.08456
15,455.93204
16,455.72125
17,455.44565
18,455.10574
19,454.706
20,454.2507
21,453.74203
22,453.18036
23,452.56696
24,451.90637
25,451.20718
26,450.48035
27,449.73602
28,448.98013
29,448.21207
30,447.42514
31,446.60916
32,445.7549
33,444.85953
34,443.92935
35,442.98083
36,442.0377
37,441.12585
38,440.26804
39,439.4802
40,438.7694
41,438.1349
42,437.56918
43,437.0604
44,436.5942
45,436.15564
46,435.73163
47,435.31317
48,434.89722
49,434.48682
50,434.0905
51,433.71985
52,433.38608
53,433.09708
54,432.8552
55,432.65707
56,432.49472
57,432.35788
58,432.23514
59,432.1157
60,431.98987
61,431.8511
62,431.6972
63,431.53107
64,431.36005
65,431.19336
66,431.0394
67,430.90308
68,430.78445
69,430.6788
70,430.57834
71,430.4747
72,430.3623
73,430.24045
74,430.11325
75,429.98737
76,429.869
77,429.76114
78,429.66348
79,429.57364
80,429.4892
81,429.40976
82,429.33713
83,429.27374
84,429.22018
85,429.1735
86,429.12674
87,429.07056
88,428.99637
89,428.8984
90,428.7746
91,428.62616
92,428.45627
93,428.26956
94,428.07202
95,427.87158
96,427.67786
97,427.50034
98,427.34573
99,427.21494
100,427.1025
101,453.00034
102,452.99863
103,452.99677
104,452.99503
105,452.99435
106,452.9961
107,453.00137
108,453.01105
109,453.02475
110,453.0417
111,453.06058
112,453.0802
113,453.10013
114,453.12067
115,453.14297
116,453.16846
117,453.19885
118,453.23584
119,453.28116
120,453.33572
121,453.4004
122,453.47498
123,453.5587
124,453.64978
125,453.746
126,453.84445
127,453.94217
128,454.03644
129,454.12512
130,454.2071
131,454.28226
132,454.35123
133,454.41483
134,454.47366
135,454.52753
136,454.5757
137,454.61798
138,454.6553
139,454.69034
140,454.72754
141,454.77155
142,454.82596
143,454.89197
144,454.96768
145,455.0487
146,455.12952
147,455.20468
148,455.27063
149,455.32626
150,455.37302
151,455.41458
152,455.45587
153,455.50186
154,455.5566
155,455.62213
156,455.6984
157,455.7833
158,455.87375
159,455.96664
160,456.0599
161,456.15265
162,456.2454
163,456.33896
164,456.43372
165,456.52872
166,456.62137
167,456.70767
168,456.7831
169,456.84387
170,456.8883
171,456.91785
172,456.93723
173,456.95352
174,456.97424
175,457.0052
176,457.0485
177,457.10208
178,457.16034
179,457.21585
180,457.26172
181,457.29318
182,457.30884
183,457.31036
184,457.30157
185,457.28735
186,457.27225
187,457.25952
188,457.25095
189,457.24667
190,457.24545
191,457.24533
192,457.24454
193,457.24213
194,457.2385
195,457.23505
196,457.23395
197,457.23718
198,457.24606
199,457.26077
200,457.2804
201,457.30283
202,455.6579
203,455.72098
204,455.79077
205,455.87076
206,455.95975
207,456.05203
208,456.1385
209,456.20966
210,456.25797
211,456.27994
212,456.27695
213,456.25427
214,456.21945
215,456.18002
216,456.14166
217,456.107
218,456.07596
219,456.0464
220,456.01566
221,455.98193
222,455.94556
