,0
0,450.89648
1,450.58527
2,450.30646
3,450.07455
4,449.89374
5,449.75638
6,449.6453
7,449.5381
8,449.4139
9,449.2602
10,449.07626
11,448.8722
12,448.66266
13,448.4578
14,448.25592
15,448.0415
16,447.78946
17,447.47272
18,447.0699
19,446.5681
20,445.9626
21,445.25345
22,444.4434
23,443.53824
24,442.5483
25,441.49072
26,440.38904
27,439.27036
28,438.16098
29,437.08105
30,436.04172
31,435.0446
32,434.0842
33,433.15265
34,432.2443
35,431.35947
36,430.505
37,429.69153
38,428.92886
39,428.2215
40,427.56665
41,426.95474
42,426.37286
43,425.80838
44,425.2519
45,424.69864
46,424.14853
47,423.6053
48,423.0754
49,422.56653
50,422.086
51,421.63937
52,421.22885
53,420.85312
54,420.50772
55,420.18677
56,419.8847
57,419.5979
58,419.3249
59,419.066
60,418.8211
61,418.5886
62,418.36426
63,418.14194
64,417.91507
65,417.67868
66,417.43176
67,417.1776
68,416.92337
69,416.67752
70,416.44748
71,416.23755
72,416.04803
73,415.8761
74,415.7174
75,415.56772
76,415.4252
77,415.29037
78,415.16583
79,415.05414
80,414.956
81,414.868
82,414.78265
83,414.6898
84,414.5797
85,414.44678
86,414.29138
87,414.1204
88,413.94547
89,413.78006
90,413.63614
91,413.52127
92,413.43698
93,413.37857
94,413.3372
95,413.30328
96,413.26987
97,413.2354
98,413.20312
99,413.1791
100,413.169
101,449.33228
102,449.32684
103,449.3252
104,449.3288
105,449.33496
106,449.33804
107,449.3317
108,449.31125
109,449.27695
110,449.23373
111,449.19022
112,449.15573
113,449.137
114,449.13623
115,449.15042
116,449.17215
117,449.19186
118,449.20056
119,449.19168
120,449.16168
121,449.11078
122,449.04184
123,448.95944
124,448.8691
125,448.77676
126,448.68808
127,448.60855
128,448.5424
129,448.4925
130,448.4591
131,448.44064
132,448.43307
133,448.4316
134,448.43115
135,448.427
136,448.41556
137,448.39426
138,448.36157
139,448.31686
140,448.26053
141,448.19437
142,448.12192
143,448.0482
144,447.97925
145,447.9206
146,447.8756
147,447.84448
148,447.8239
149,447.8078
150,447.78934
151,447.76328
152,447.72794
153,447.68625
154,447.64508
155,447.61337
156,447.59937
157,447.60797
158,447.639
159,447.68692
160,447.74298
161,447.79767
162,447.84402
163,447.87976
164,447.9074
165,447.93283
166,447.96213
167,447.9995
168,448.0449
169,448.09494
170,448.14438
171,448.18942
172,448.2297
173,448.26828
174,448.31024
175,448.36053
176,448.42233
177,448.49646
178,448.5818
179,448.6757
180,448.77435
181,448.87277
182,448.96567
183,449.0482
184,449.11713
185,449.17175
186,449.2142
187,449.2487
188,449.27972
189,449.31046
190,449.34113
191,449.3687
192,449.38837
193,449.39502
194,449.38593
195,449.36185
196,449.3272
197,449.28897
198,449.25406
199,449.22736
200,449.20963
201,449.19766
202,450.5833
203,450.6148
204,450.63828
205,450.64685
206,450.6375
207,450.61075
208,450.57083
209,450.52405
210,450.47754
211,450.43756
212,450.40848
213,450.39194
214,450.3866
215,450.3886
216,450.3923
217,450.3912
218,450.37903
219,450.3509
220,450.30426
221,450.23978
222,450.16183
223,450.07825
224,449.99893
225,449.93362
226,449.88947
227,449.8683
228,449.86594
229,449.87244
230,449.87442
231,449.85776
232,449.81027
233,449.7244
234,449.59848
235,449.43777
236,449.25455
237,449.06653
238,448.894
239,448.75522
240,448.66162
241,448.61447
242,448.60477
243,448.61627
244,448.63168
245,448.63947
246,448.63754
247,448.63382
248,448.64224
249,448.67648
250,448.74396
251,448.84366
252,448.96707
253,449.1022
254,449.23923
255,449.37354
256,449.50717
257,449.64706
258,449.8012
259,449.97574
260,450.1721
261,450.3859
262,450.60834
263,450.82816
264,451.035
265,451.22275
266,451.39075
267,451.54333
268,451.68784
269,451.83133
270,451.97775
271,452.12735
272,452.27728
273,452.4239
274,452.56433
275,452.698
276,452.82578
277,452.94916
278,453.069
279,453.1846
280,453.29407
281,453.39532
282,453.48776
283,453.57315
284,453.65598
285,453.74213
286,453.83725
287,453.94388
288,454.06046
289,454.18124
290,454.29684
291,454.39755
292,454.4753
293,454.52615
294,454.55093
295,454.55484
296,454.54486
297,454.5279
298,454.50873
299,454.4896
300,454.47073
301,454.45087
302,454.42877
303,451.0654
304,451.07617
305,451.08957
306,451.10764
307,451.13168
308,451.16315
309,451.20267
310,451.24985
311,451.30234
312,451.3561
313,451.40503
314,451.44226
315,451.46106
316,451.4567
317,451.42722
318,451.37347
319,451.2996
320,451.21133
321,451.115
322,451.01642
323,450.92072
324,450.83276
325,450.75793
326,450.7021
327,450.67133
328,450.67078
329,450.70288
330,450.76605
331,450.85385
332,450.95517
333,451.05527
334,451.13745
335,451.18555
336,451.18604
337,451.13028
338,451.0164
339,450.85117
340,450.6504
341,450.43805
342,450.24265
343,450.0926
344,450.0094
345,450.00406
346,450.0744
347,450.20694
348,450.3809
349,450.5733
350,450.764
351,450.93918
352,451.093
353,451.2278
354,451.35257
355,451.47992
356,451.62277
357,451.79144
358,451.99112
359,452.22122
360,452.47614
361,452.74625
362,453.0193
363,453.28244
364,453.52356
365,453.7344
366,453.91238
367,454.06247
368,454.196
369,454.32822
370,454.47342
371,454.642
372,454.8371
373,455.05505
374,455.28656
375,455.51944
376,455.74173
377,455.94418
378,456.12198
