,0
0,462.98337
1,462.99915
2,463.01382
3,463.017
4,463.00278
5,462.97012
6,462.92133
7,462.86032
8,462.7904
9,462.71222
10,462.62326
11,462.51807
12,462.38904
13,462.228
14,462.02817
15,461.78537
16,461.49994
17,461.17728
18,460.82706
19,460.46185
20,460.09457
21,459.73544
22,459.3902
23,459.05893
24,458.73682
25,458.41553
26,458.0861
27,457.741
28,457.3763
29,456.99228
30,456.59195
31,456.17917
32,455.75574
33,455.3198
34,454.866
35,454.38754
36,453.8789
37,453.3378
38,452.76587
39,452.1678
40,451.55008
41,450.91983
42,450.28363
43,449.64682
44,449.01285
45,448.3831
46,447.75726
47,447.13483
48,446.51617
49,445.9035
50,445.30063
51,444.71207
52,444.14136
53,443.59
54,443.05643
55,442.5366
56,442.02515
57,441.51678
58,441.00778
59,440.49673
60,439.98407
61,439.47208
62,438.96436
63,438.4664
64,437.98596
65,437.53296
66,437.1185
67,436.7538
68,436.44733
69,436.2025
70,436.0158
71,435.8759
72,435.76535
73,435.66486
74,435.55878
75,435.43988
76,435.31226
77,435.19043
78,435.09454
79,435.04346
80,435.04758
81,435.10406
82,435.1957
83,435.29456
84,435.36804
85,435.38736
86,435.33383
87,435.20294
88,435.0041
89,434.75714
90,434.48724
91,434.2194
92,433.97488
93,433.7694
94,433.61322
95,433.51163
96,433.46594
97,433.47397
98,433.52963
99,433.6224
100,433.73724
101,463.2346
102,463.23672
103,463.23947
104,463.24185
105,463.24408
106,463.247
107,463.25143
108,463.25677
109,463.26102
110,463.26096
111,463.25378
112,463.23807
113,463.21472
114,463.18686
115,463.1588
116,463.13516
117,463.119
118,463.1114
119,463.11096
120,463.114
121,463.11566
122,463.1106
123,463.09485
124,463.06714
125,463.03012
126,462.99048
127,462.958
128,462.94318
129,462.95367
130,462.9921
131,463.05396
132,463.12805
133,463.19925
134,463.25217
135,463.2755
136,463.26532
137,463.2257
138,463.16724
139,463.10242
140,463.04175
141,462.98993
142,462.94614
143,462.9062
144,462.8668
145,462.82962
146,462.80347
147,462.8023
148,462.8407
149,462.9262
150,463.05365
151,463.2021
152,463.33896
153,463.42868
154,463.44476
155,463.37894
156,463.2439
157,463.06827
158,462.88654
159,462.72772
160,462.6083
161,462.53033
162,462.48523
163,462.45905
164,462.439
165,462.4166
166,462.39038
167,462.36462
168,462.34818
169,462.3508
170,462.3802
171,462.4388
172,462.52222
173,462.6193
174,462.7145
175,462.7921
176,462.8397
177,462.85107
178,462.82684
179,462.77335
180,462.70013
181,462.61765
182,462.53525
183,462.46027
184,462.39682
185,462.34668
186,462.30984
187,462.28513
188,462.27097
189,462.26562
190,462.26675
191,462.2716
192,462.27612
193,462.27533
194,462.26437
195,462.23914
196,462.1979
197,462.1411
198,462.0715
199,461.99255
200,461.90814
201,461.8213
202,463.37906
203,463.3051
204,463.23956
205,463.1889
206,463.15598
207,463.1402
208,463.1375
209,463.14194
210,463.14716
211,463.1479
212,463.14084
213,463.12463
214,463.1001
215,463.06967
216,463.03665
217,463.00497
218,462.97797
219,462.95752
220,462.94403
221,462.93607
222,462.93173
223,462.92932
224,462.9286
225,462.93094
226,462.9386
227,462.9539
228,462.9776
229,463.00882
230,463.04498
231,463.08273
232,463.11902
233,463.15228
234,463.18256
235,463.21164
236,463.24188
237,463.2756
238,463.31363
239,463.35464
240,463.39523
241,463.4298
242,463.45215
243,463.45663
244,463.44028
245,463.40372
246,463.3512
247,463.29022
248,463.2293
249,463.1766
250,463.13754
251,463.11435
252,463.10513
253,463.1054
254,463.10883
255,463.1094
256,463.1031
257,463.08884
258,463.0683
259,463.04495
260,463.02222
261,463.002
262,462.98392
263,462.9661
264,462.94626
265,462.923
266,462.89703
267,462.87106
268,462.84845
269,462.83237
270,462.8241
271,462.82306
272,462.8268
273,462.83267
274,462.83813
275,462.84235
276,462.84567
277,462.84946
278,462.8549
279,462.86264
280,462.87262
281,462.88358
282,462.8939
283,462.90195
284,462.90628
285,462.90637
286,462.90277
287,462.89682
288,462.8907
289,462.8864
290,462.88544
291,462.88797
292,462.89325
293,462.89923
294,462.90378
295,462.90488
296,462.90106
297,462.89178
298,462.8773
299,462.8581
300,462.83536
301,462.81036
302,462.7842
303,463.42734
304,463.50354
305,463.5805
306,463.65546
307,463.72125
308,463.7673
309,463.78323
310,463.76276
311,463.7065
312,463.62268
313,463.5254
314,463.4306
315,463.3524
316,463.29944
317,463.27347
318,463.26944
319,463.27692
320,463.28412
321,463.2812
322,463.26285
323,463.22873
324,463.183
325,463.1318
326,463.08093
327,463.03488
328,462.99582
329,462.96436
330,462.93985
331,462.92105
332,462.90662
333,462.8942
334,462.88095
335,462.8634
336,462.83865
337,462.80518
338,462.7643
339,462.7198
340,462.67703
341,462.64087
342,462.61365
343,462.59442
344,462.5792
345,462.5629
346,462.541
347,462.51166
348,462.47607
349,462.43774
350,462.40082
351,462.36865
352,462.34232
353,462.3203
354,462.2994
355,462.2759
356,462.24695
357,462.21152
358,462.17102
359,462.1289
360,462.09018
361,462.05975
362,462.0414
363,462.03653
364,462.04327
365,462.05692
366,462.07007
367,462.0744
368,462.0621
369,462.028
370,461.9713
371,461.89658
372,461.8135
373,461.73538
374,461.67584
375,461.6456
376,461.6482
377,461.678
378,461.7194
379,461.74963
380,461.7438
381,461.68155
382,461.55313
383,461.3633
384,461.1312
385,460.8867
386,460.66498
387,460.5001
388,460.41922
389,460.43912
390,460.56305
391,460.7794
392,461.06274
393,461.37695
394,461.6822
395,461.94284
396,462.13586
397,462.2548
398,462.30927
399,462.31927
400,462.30734
401,462.29065
402,462.27722
403,462.26587
404,462.67114
405,462.66275
406,462.65402
407,462.6442
408,462.6339
409,462.62506
410,462.62027
411,462.6217
412,462.6299
413,462.64282
414,462.65536
415,462.66095
416,462.65292
417,462.62686
418,462.58194
419,462.52112
420,462.44962
421,462.37378
422,462.299
423,462.22903
424,462.16516
425,462.10696
426,462.05246
427,461.99933
428,461.945
429,461.88742
430,461.82513
431,461.7575
432,461.6853
433,461.6109
434,461.53842
435,461.4732
436,461.42032
437,461.3833
438,461.36282
439,461.35703
440,461.36194
441,461.3736
442,461.389
443,461.4067
444,461.42664
445,461.449
446,461.47302
447,461.49667
448,461.51657
449,461.52902
450,461.53134
451,461.52237
452,461.50336
453,461.47693
454,461.44662
455,461.41568
456,461.38657
457,461.36032
458,461.33698
459,461.31595
460,461.29684
461,461.27994
462,461.26526
463,461.25223
464,461.23813
465,461.21777
466,461.18442
467,461.13214
468,461.05835
469,460.96564
470,460.86133
471,460.75592
472,460.65912
473,460.57715
474,460.5113
475,460.45807
476,460.4118
477,460.36688
478,460.32068
479,460.2736
480,460.22882
481,460.1911
482,460.1647
483,460.15256
484,460.1548
485,460.16837
486,460.18616
487,460.1976
488,460.1899
489,460.15082
490,460.07266
491,459.95508
492,459.80698
493,459.64536
494,459.4913
495,459.36478
496,459.27945
497,459.2399
498,459.24127
499,459.27216
500,459.31848
501,459.36786
502,459.41254
503,459.4509
504,459.48642
505,463.4058
506,463.3547
507,463.30237
508,463.2483
509,463.19366
510,463.14136
511,463.09506
512,463.05795
513,463.03146
514,463.0147
515,463.00482
516,462.9977
517,462.9896
518,462.97754
519,462.9601
520,462.9366
521,462.90698
522,462.87082
523,462.82727
524,462.77573
525,462.71613
526,462.65005
527,462.58084
528,462.51324
529,462.45294
530,462.40448
531,462.37042
532,462.3499
533,462.3389
534,462.33026
535,462.3159
536,462.2882
537,462.24188
538,462.17523
539,462.09064
540,461.99442
541,461.89542
542,461.80344
543,461.72708
544,461.6719
545,461.6394
546,461.62704
547,461.6293
548,461.63965
549,461.6522
550,461.66284
551,461.66986
552,461.67343
553,461.67523
554,461.6775
555,461.6823
556,461.69144
557,461.7055
558,461.7245
559,461.7476
560,461.77338
561,461.79987
562,461.8251
563,461.847
564,461.86432
565,461.87677
566,461.88516
567,461.89163
568,461.89874
569,461.90912
570,461.92465
571,461.94583
572,461.97153
573,461.99933
574,462.0257
575,462.04672
576,462.05948
577,462.06277
578,462.05807
579,462.04938
580,462.0429
581,462.04486
582,462.05994
583,462.09003
584,462.1342
585,462.18954
586,462.25244
587,462.31952
588,462.388
589,462.4552
590,462.5185
591,462.57486
592,462.62204
593,462.6585
594,462.68463
595,462.7022
596,462.71405
597,462.7231
598,462.73132
599,462.73944
600,462.74728
601,462.7543
602,462.7599
603,462.76413
604,462.76703
605,462.76898
606,463.54556
607,463.55713
608,463.5618
609,463.55475
610,463.53488
611,463.50528
612,463.4714
613,463.43927
614,463.4131
615,463.3939
616,463.3798
617,463.36694
618,463.3514
619,463.3305
620,463.30405
621,463.2737
622,463.24234
623,463.2127
624,463.18637
625,463.16373
626,463.14352
627,463.12418
628,463.10373
629,463.08084
630,463.05426
631,463.02307
632,462.98688
633,462.946
634,462.90173
635,462.85626
636,462.8122
637,462.77164
638,462.73587
639,462.70462
640,462.67657
641,462.64966
642,462.62167
643,462.59064
644,462.5548
645,462.51303
646,462.46536
647,462.41287
648,462.35773
649,462.30252
650,462.24933
651,462.1991
652,462.15137
653,462.10532
654,462.0605
655,462.01758
656,461.97784
657,461.94254
658,461.91098
659,461.88022
660,461.84485
661,461.79877
662,461.73712
663,461.659
664,461.5687
665,461.47562
666,461.392
667,461.32913
668,461.29443
669,461.28885
670,461.30734
671,461.341
672,461.38068
673,461.41986
674,461.45557
675,461.48868
676,461.52127
677,461.5549
678,461.5893
679,461.6224
680,461.65073
681,461.67148
682,461.6836
683,461.68808
684,461.68777
685,461.68622
686,461.68683
687,461.6919
688,461.70276
689,461.71945
690,461.7415
691,461.76773
692,461.7969
693,461.82782
694,461.85928
695,461.89087
696,461.92285
697,461.95584
698,461.99054
699,462.02692
700,462.0638
701,462.0991
702,462.12973
703,462.15347
704,462.169
705,462.17715
706,462.18063
707,459.47714
708,459.42532
709,459.38098
710,459.34955
711,459.33414
712,459.33414
713,459.34595
714,459.36362
715,459.3807
716,459.3924
717,459.3968
718,459.39502
719,459.39023
720,459.38556
721,459.38245
722,459.38016
723,459.37613
724,459.3673
725,459.3521
726,459.33157
727,459.3095
728,459.292
729,459.28497
730,459.29254
731,459.31497
732,459.3484
733,459.3852
734,459.41656
735,459.43494
736,459.43655
737,459.42227
738,459.39734
739,459.36902
740,459.34363
741,459.3245
742,459.31073
743,459.2978
744,459.2794
745,459.25064
746,459.21
747,459.16074
748,459.11035
749,459.06805
750,459.0414
751,459.03314
752,459.03912
753,459.04916
754,459.04993
755,459.0292
756,458.98022
757,458.90485
758,458.81427
759,458.72687
760,458.6639
761,458.64392
762,458.67722
763,458.76178
764,458.88248
765,459.0145
766,459.12936
767,459.2022
768,459.21805
769,459.17523
770,459.08478
771,458.96753
772,458.84863
773,458.7509
774,458.6898
775,458.67044
776,458.68744
777,458.72702
778,458.77145
779,458.8025
780,458.8059
781,458.77435
782,458.7094
783,458.62186
784,458.52927
785,458.45108
786,458.40295
787,458.39124
788,458.41037
789,458.44516
790,458.4755
791,458.48352
792,458.4589
793,458.40103
794,458.3181
795,458.2237
796,458.13235
797,458.05597
798,458.00238
799,457.97394
800,457.96848
801,457.98065
802,458.00302
803,458.02856
804,458.05203
805,458.0711
806,458.0865
807,458.1011
808,458.91168
809,458.94107
810,458.9696
811,458.99814
812,459.03043
813,459.07147
814,459.12436
815,459.1876
816,459.25418
817,459.31375
818,459.35544
819,459.37155
820,459.36
821,459.32452
822,459.2736
823,459.21768
824,459.1664
825,459.126
826,459.09842
827,459.082
828,459.07312
829,459.0685
830,459.06714
831,459.0707
832,459.08282
833,459.1073
834,459.14453
835,459.19022
836,459.2339
837,459.2613
838,459.25806
839,459.21503
840,459.13245
841,459.02127
842,458.9008
843,458.79306
844,458.71616
845,458.67896
846,458.6793
847,458.7058
848,458.74286
849,458.7761
850,458.79657
851,458.80234
852,458.79694
853,458.78677
854,458.7781
855,458.7746
856,458.7772
857,458.78455
858,458.79416
859,458.80368
860,458.8109
861,458.81418
862,458.81244
863,458.80557
864,458.79443
865,458.7811
866,458.7679
867,458.75702
868,458.7496
869,458.74506
870,458.74146
871,458.7363
872,458.7272
873,458.7124
874,458.69153
875,458.66525
876,458.63544
877,458.60413
878,458.5737
879,458.54578
880,458.5212
881,458.4999
882,458.48126
883,458.46432
884,458.4486
885,458.43396
886,458.4205
887,458.40854
888,458.39798
889,458.38843
890,458.37897
891,458.3691
892,458.35812
893,458.3464
894,458.3344
895,458.32352
896,458.31497
897,458.3104
898,458.31085
899,458.31702
900,458.3289
901,458.34552
902,458.36557
903,458.38684
904,458.40714
905,458.42456
906,458.4382
907,458.44836
908,458.45663
909,459.56665
910,459.5337
911,459.50473
912,459.48254
913,459.46884
914,459.46368
915,459.465
916,459.46884
917,459.46957
918,459.4612
919,459.43857
920,459.39944
921,459.34506
922,459.27988
923,459.2103
924,459.14218
925,459.0795
926,459.02353
927,458.97333
928,458.9269
929,458.88257
930,458.8391
931,458.7969
932,458.75742
933,458.72327
934,458.697
935,458.68008
936,458.67203
937,458.67017
938,458.67062
939,458.66904
940,458.66238
941,458.6495
942,458.6314
943,458.61066
944,458.59055
945,458.57367
946,458.5609
947,458.5514
948,458.54214
949,458.53027
950,458.51422
951,458.49527
952,458.47842
953,458.471
954,458.48053
955,458.51138
956,458.5621
957,458.62466
958,458.68567
959,458.72968
960,458.74393
961,458.72177
962,458.66544
963,458.58493
964,458.49603
965,458.41537
966,458.3558
967,458.3227
968,458.3123
969,458.3133
970,458.3111
971,458.29324
972,458.25443
973,458.19873
974,458.1385
975,458.0886
976,458.05997
977,458.05386
978,458.0598
979,458.05917
980,458.0323
981,457.9665
982,457.8617
983,457.73083
984,457.59576
985,457.47946
986,457.39948
987,457.36304
988,457.3665
989,457.39795
990,457.44186
991,457.484
992,457.51538
993,457.53406
994,457.54514
995,457.55847
996,457.58505
997,457.63382
998,457.70743
999,457.80185
1000,457.90625
1001,458.0072
1002,458.09323
1003,458.15912
1004,458.2079
1005,458.24896
1006,458.29382
1007,458.35062
1008,458.4215
1009,458.5017
1010,462.7415
1011,462.74216
1012,462.74435
1013,462.74863
1014,462.75473
1015,462.76144
1016,462.7672
1017,462.7707
1018,462.7712
1019,462.7691
1020,462.76544
1021,462.76163
1022,462.75867
1023,462.75687
1024,462.75537
1025,462.753
1026,462.7484
1027,462.74057
1028,462.72928
1029,462.7151
1030,462.69955
1031,462.68488
1032,462.67334
1033,462.66745
1034,462.66846
1035,462.676
1036,462.68732
1037,462.69757
1038,462.70084
1039,462.69238
1040,462.67044
1041,462.6377
1042,462.6006
1043,462.5679
1044,462.5476
1045,462.54434
1046,462.5585
1047,462.58636
1048,462.6224
1049,462.66104
1050,462.698
1051,462.72995
1052,462.75354
1053,462.76416
1054,462.75665
1055,462.7265
1056,462.6725
1057,462.59756
1058,462.50912
1059,462.41696
1060,462.33096
1061,462.25842
1062,462.203
1063,462.16467
1064,462.14047
1065,462.12567
1066,462.1149
1067,462.10297
1068,462.08527
1069,462.05884
1070,462.02246
1071,461.97693
1072,461.92322
1073,461.86215
1074,461.79306
1075,461.71402
1076,461.62357
1077,461.52164
1078,461.41037
1079,461.2939
1080,461.17642
1081,461.06122
1082,460.94934
1083,460.84
1084,460.73196
1085,460.62506
1086,460.52072
1087,460.422
1088,460.33237
1089,460.2545
1090,460.189
1091,460.13388
1092,460.0853
1093,460.03864
1094,459.99057
1095,459.93997
1096,459.88828
1097,459.83908
1098,459.79663
1099,459.76428
1100,459.74362
1101,459.7338
1102,459.732
1103,459.73425
1104,459.73654
1105,459.73587
1106,459.73077
1107,459.7211
1108,459.70792
1109,459.69293
1110,459.67783
1111,459.661
1112,459.67615
1113,459.68848
1114,459.69577
1115,459.6972
1116,459.6933
1117,459.6848
1118,459.67166
1119,459.65295
1120,459.62653
1121,459.5902
1122,459.54282
1123,459.48514
1124,459.42017
1125,459.35257
1126,459.28717
1127,459.22684
1128,459.1716
1129,459.11795
1130,459.06052
1131,458.99374
1132,458.9143
1133,458.8223
1134,458.72134
1135,458.61734
1136,458.5171
1137,458.42606
1138,458.34772
1139,458.28314
1140,458.2317
